year,n_units,n_cameras,trap_nights,cams_per_unit_med,extent_km_med,extent_km_max,span_wk_med,span_wk_max
2008,1,1,4,1.0,0.0,0.0,0.6,0.6
2010,1,8,123,8.0,0.6,0.6,20.4,20.4
2011,25,160,2232,4.0,2.3,4.7,7.1,50.9
2012,26,578,16424,18.0,2.9,4.9,15.4,94.4
2013,53,1321,29694,21.0,2.9,5.0,13.1,37.4
2014,183,621,13855,2.0,0.6,5.0,4.7,53.4
2015,246,931,25801,2.0,0.5,5.0,6.3,384.1
2016,237,857,24188,2.0,0.6,5.0,6.6,52.9
2017,323,1381,28357,3.0,0.7,4.9,4.3,53.4
2018,375,1332,28501,2.0,0.9,5.0,5.4,52.4
2019,517,2399,74248,3.0,1.9,5.0,5.7,39.4
2020,236,1476,52529,4.0,2.4,5.0,6.8,213.0
2021,361,3240,125966,7.0,3.1,5.0,6.6,16.4
2022,317,2597,101191,6.0,2.6,4.9,7.6,18.4
2023,328,2584,108293,5.0,2.3,5.0,8.1,44.4
2024,395,3277,147018,6.0,2.3,5.0,8.6,28.9
2025,378,3985,185070,9.0,2.2,5.0,9.3,30.6
