unit_5,n_cameras,trap_nights,extent_km,span_weeks,year,src
Forest_cibola_25__2025#0,16,2464.0,1.446183084613822,22.142857142857142,2025,camera_trap_array
Hoosier NF__2025#1,15,736.0,2.824284873241465,7.428571428571429,2025,camera_trap_array
Hoosier NF__2025#2,10,515.0,3.24066628586381,7.428571428571429,2025,camera_trap_array
Kaibab North Rim__2025#0,1,134.0,0.0,19.142857142857142,2025,camera_trap_array
lower_kaibab__2025#0,21,720.0,1.5652935617859014,15.142857142857142,2025,camera_trap_array
Manti-La Sal Blanding__2025#3,1,148.0,0.0,21.142857142857142,2025,camera_trap_array
Manti-La Sal Blanding__2025#2,14,1670.0,2.017471559857096,18.571428571428573,2025,camera_trap_array
Manti-La Sal Summit__2025#0,13,1543.0,1.1612157118099828,19.714285714285715,2025,camera_trap_array
NM_Forest_Wild_CarsonNF_25__2025#0,19,2345.0,1.5322223658409155,17.714285714285715,2025,camera_trap_array
NM_Forest_Wild_Gila_25__2025#1,17,2012.0,1.2295235224381706,17.857142857142858,2025,camera_trap_array
NM_Forest_Wild_Gila_25__2025#2,15,1351.0,4.4626837651510645,18.0,2025,camera_trap_array
SpringMountain__2025#0,13,1139.0,1.4038010457960828,16.571428571428573,2025,camera_trap_array
Manti-La Sal Blanding__2025#1,7,340.0,1.5053042492577902,22.571428571428573,2025,camera_trap_array
Marckworth (B)__2024#0,23,645.0,2.3554572200095008,4.714285714285714,2024,camera_trap_array
Spar (D)__2024#0,24,673.0,2.1490148198410344,4.285714285714286,2024,camera_trap_array
Superior (Z)__2024#0,16,448.0,1.6866792394663623,4.0,2024,camera_trap_array
Swans (H)__2024#0,18,519.0,2.0452194010971207,4.428571428571429,2024,camera_trap_array
Kootenai(F)__2024#0,20,580.0,1.9330977710344317,4.142857142857143,2024,camera_trap_array
DOLO__2023#0,27,774.0,2.463675179704548,5.142857142857143,2023,camera_trap_array
BOCA__2023#0,23,884.0,2.5486189149387375,7.285714285714286,2023,camera_trap_array
Colville (C)__2024#0,24,682.0,2.0424644603502093,4.142857142857143,2024,camera_trap_array
St. Regis (Y)__2024#0,27,626.0,1.955070797092702,4.0,2024,camera_trap_array
MON__2023#0,28,830.0,2.894983080866566,5.0,2023,camera_trap_array
HOND__2023#0,29,722.0,2.6168380583526525,5.0,2023,camera_trap_array
Olympia(A)__2024#0,26,686.0,3.6559763245761525,4.285714285714286,2024,camera_trap_array
Howard (E)__2024#0,30,868.0,1.9386074971712788,4.285714285714286,2024,camera_trap_array
CEBO__2023#0,18,770.0,2.6959904766560885,44.42857142857143,2023,camera_trap_array
Ovando (GI)__2024#1,14,411.0,1.5957812339752224,4.285714285714286,2024,camera_trap_array
CEBO__2020#0,1,1.0,0.0,0.14285714285714285,2020,camera_trap_array
Ovando (GI)__2020#0,1,1491.0,0.0,213.0,2020,camera_trap_array
Ovando (GI)__2024#2,1,30.0,0.0,4.285714285714286,2024,camera_trap_array
PA_Forest_Rural_Gettysburg_24__2024#0,17,717.0,1.5826121463595573,6.285714285714286,2024,camera_trap_array
NY_Forest_Urban_NYC_24__2024#3,4,84.0,2.196889173425669,3.0,2024,camera_trap_array
NY_Forest_Suburban_ScenicHudson_24__2024#0,15,405.0,3.139410210804258,3.857142857142857,2024,camera_trap_array
MT_Forest_Rural_RiverTrail_24__2024#0,6,484.0,0.7160467385374594,13.428571428571429,2024,camera_trap_array
WV_Forest_Suburban_MarshallUniv_24__2024#0,48,423.0,4.540052123422426,5.0,2024,camera_trap_array
MI_Forest_Rural_BoothWolfLake_24__2024#0,10,595.0,0.9769033595942311,8.857142857142858,2024,camera_trap_array
CA_Chaparral_Rural_Pepperdine_24__2024#0,19,1020.0,1.6538032375386253,11.142857142857142,2024,camera_trap_array
NV_Wetland_Rural_TruckeeMeadows_24__2024#0,25,535.0,1.858213958226181,13.714285714285714,2024,camera_trap_array
MI_Forest_Wild_Tawas_24__2024#0,11,477.0,2.0517825443578714,8.428571428571429,2024,camera_trap_array
TX_Grassland_Wild_Matador_24__2024#1,3,135.0,4.627672730505039,7.0,2024,camera_trap_array
NJ_Forest_Urban_Rutgers_24__2024#0,34,771.0,1.5602135706171567,9.285714285714286,2024,camera_trap_array
MA_Forest_Suburban_Grafton_24__2024#0,12,840.0,2.1877259431798772,10.0,2024,camera_trap_array
SD_Grassland_Rural_OakLakeFS_24__2024#0,28,865.0,3.501512470457284,9.142857142857142,2024,camera_trap_array
FL_Forest_Suburban_Morningside_24__2024#2,26,984.0,4.392833584315665,12.428571428571429,2024,camera_trap_array
NY_Anthropogenic_Urban_YorkCollegeCUNY_24__2024#0,8,501.0,0.7861795503280984,9.857142857142858,2024,camera_trap_array
VA_Forest_Rural_SCBI_24__2024#0,18,905.0,1.9762249509691923,10.0,2024,camera_trap_array
OR_Grassland_Rural_McMinnville_24__2024#0,4,97.0,0.6012899764935644,4.857142857142857,2024,camera_trap_array
FL_Forest_Suburban_JZGPumpkinHill_24__2024#1,6,210.0,1.9471256226485012,10.0,2024,camera_trap_array
MO_Forest_Rural_MOHansen2_24__2024#0,19,537.0,1.7160682397040394,8.714285714285714,2024,camera_trap_array
FL_Forest_Suburban_JZGPumpkinHill_24__2024#3,18,665.0,4.068106092133743,11.0,2024,camera_trap_array
MS_Forest_Wild_UniversityOfMississippi_24__2024#0,22,1308.0,2.4333158152538052,10.571428571428571,2024,camera_trap_array
TX_Grassland_Wild_Matador_24__2024#2,2,52.0,2.232186991210725,4.285714285714286,2024,camera_trap_array
NY_Forest_Rural_CaryInstitute_24__2024#0,35,2048.0,3.9857385526845066,9.714285714285714,2024,camera_trap_array
OK_Forest_Rural_JamesCollins_24__2024#2,10,350.0,4.113804568152618,5.0,2024,camera_trap_array
OK_Forest_Rural_JamesCollins_24__2024#1,10,350.0,3.581902984553021,5.0,2024,camera_trap_array
OK_Grassland_Rural_Falconhead_24__2024#0,17,592.0,4.316875024007895,5.714285714285714,2024,camera_trap_array
FL_Forest_Suburban_JZGPumpkinHill_24__2024#2,9,262.0,3.215431854230118,11.0,2024,camera_trap_array
NM_Forest_Rural_NMSLO_24__2024#0,12,593.0,1.4419639827093544,9.0,2024,camera_trap_array
CA_Beach_Rural_PointReyes_24__2024#1,12,244.0,2.1570456200877164,8.857142857142858,2024,camera_trap_array
NC_Forest_Rural_UNCP_24__2024#0,9,416.0,1.2374060863054968,9.0,2024,camera_trap_array
TX_Grassland_Wild_YoakumDunes_24__2024#2,8,355.0,4.956002020291166,6.857142857142857,2024,camera_trap_array
FL_Grassland_Wild_Torreya_24__2024#1,18,737.0,3.9630959929395266,12.0,2024,camera_trap_array
SC_Forest_Rural_BuchholtzCEF_24__2024#2,9,522.0,3.9610021219762666,12.0,2024,camera_trap_array
NC_Forest_Suburban_Umstead_24__2024#0,45,2505.0,4.427032683072041,9.0,2024,camera_trap_array
NC_Forest_Suburban_Wesleyan_24__2024#0,8,434.0,0.7855439673795194,9.0,2024,camera_trap_array
NC_Forest_Suburban_Iredell_24__2024#2,8,398.0,2.745941589801645,7.571428571428571,2024,camera_trap_array
VT_Forest_Wild_Breadloaf_24__2024#0,24,1171.0,1.5302587596302417,7.571428571428571,2024,camera_trap_array
OK_Grassland_Rural_Burneyville_24__2024#0,16,542.0,4.417436833799328,6.0,2024,camera_trap_array
NC_Forest_Suburban_Schenck_24__2024#0,13,817.0,1.2926757581896533,9.0,2024,camera_trap_array
OH_Forest_Rural_Athens_24__2024#0,12,540.0,1.3406360537558666,6.428571428571429,2024,camera_trap_array
MA_Forest_Suburban_WT_24__2024#0,14,586.0,2.3024293701687872,8.142857142857142,2024,camera_trap_array
CA_Forest_Suburban_Greenspace_24__2024#0,17,492.0,1.4522111988666266,10.142857142857142,2024,camera_trap_array
OR_Wetland_Suburban_IslandCWS_24__2024#0,11,462.0,1.0348304416781342,6.0,2024,camera_trap_array
UT_Anthropogenic_Urban_SLC_24__2024#3,2,127.0,0.4746691229471545,9.285714285714286,2024,camera_trap_array
TX_Forest_Suburban_SanMarcos_24__2024#0,14,693.0,1.439491802850831,8.0,2024,camera_trap_array
DE_Forest_Suburban_UDFarm_24__2024#0,8,427.0,1.1065849759519841,8.0,2024,camera_trap_array
CT_Forest_Rural_NyeHolman_24__2024#0,16,811.0,2.8173214009168817,10.0,2024,camera_trap_array
TX_Grassland_Wild_Matador_24__2024#4,3,132.0,2.3578261754887255,6.285714285714286,2024,camera_trap_array
FL_Forest_Rural_KeyDeerRefuge_24__2024#1,4,231.0,0.867188844411259,8.428571428571429,2024,camera_trap_array
