cell100,count,x100,y100,xi,yi,in_iucn,in_expanded,in_presence
1,60,-1975000,3210000,-20,32,TRUE,TRUE,TRUE
3,15,-2075000,3110000,-21,31,FALSE,TRUE,TRUE
4,29,-1975000,3110000,-20,31,FALSE,TRUE,TRUE
5,13,-1875000,3110000,-19,31,TRUE,TRUE,TRUE
6,6,-1775000,3110000,-18,31,TRUE,TRUE,TRUE
7,6,-1675000,3110000,-17,31,TRUE,TRUE,TRUE
8,5,-1575000,3110000,-16,31,TRUE,TRUE,TRUE
10,4,-2075000,3010000,-21,30,TRUE,TRUE,TRUE
11,147,-1975000,3010000,-20,30,TRUE,TRUE,TRUE
16,3,-1475000,3010000,-15,30,TRUE,TRUE,TRUE
17,0,-1375000,3010000,-14,30,TRUE,TRUE,FALSE
18,0,-1275000,3010000,-13,30,TRUE,TRUE,FALSE
12,7,-1875000,3010000,-19,30,TRUE,TRUE,TRUE
19,0,-1175000,3010000,-12,30,TRUE,TRUE,FALSE
26,5,-1975000,2910000,-20,29,TRUE,TRUE,TRUE
27,5,-1875000,2910000,-19,29,TRUE,TRUE,TRUE
30,4,-1575000,2910000,-16,29,TRUE,TRUE,TRUE
33,0,-1275000,2910000,-13,29,TRUE,TRUE,FALSE
37,0,-875000,2910000,-9,29,TRUE,TRUE,FALSE
39,0,-675000,2910000,-7,29,TRUE,TRUE,FALSE
47,0,125000,2910000,1,29,TRUE,TRUE,FALSE
24,5,-2175000,2910000,-22,29,FALSE,TRUE,TRUE
25,14,-2075000,2910000,-21,29,TRUE,TRUE,TRUE
28,8,-1775000,2910000,-18,29,TRUE,TRUE,TRUE
46,0,25000,2910000,0,29,TRUE,TRUE,FALSE
48,0,1925000,2910000,19,29,TRUE,TRUE,FALSE
51,17,-2175000,2810000,-22,28,FALSE,TRUE,TRUE
52,45,-2075000,2810000,-21,28,TRUE,TRUE,TRUE
57,0,-1575000,2810000,-16,28,TRUE,TRUE,FALSE
58,2,-1475000,2810000,-15,28,TRUE,TRUE,TRUE
59,3,-1375000,2810000,-14,28,TRUE,TRUE,TRUE
66,0,-675000,2810000,-7,28,TRUE,TRUE,FALSE
53,8,-1975000,2810000,-20,28,TRUE,TRUE,TRUE
55,1,-1775000,2810000,-18,28,TRUE,TRUE,TRUE
76,1,325000,2810000,3,28,TRUE,TRUE,TRUE
77,1,425000,2810000,4,28,TRUE,TRUE,TRUE
84,3,2225000,2810000,22,28,TRUE,TRUE,TRUE
