cell50,n,x50,y50,in_range
1,60,-1950000,3185000,TRUE
2,0,-2100000,3135000,TRUE
3,0,-2000000,3135000,FALSE
4,23,-1950000,3135000,TRUE
5,11,-1900000,3135000,TRUE
6,0,-1850000,3135000,TRUE
7,1,-1800000,3135000,TRUE
8,1,-1750000,3135000,TRUE
9,2,-2100000,3085000,TRUE
10,13,-2050000,3085000,TRUE
11,4,-2000000,3085000,TRUE
12,2,-1950000,3085000,TRUE
13,2,-1900000,3085000,TRUE
14,0,-1850000,3085000,TRUE
15,2,-1800000,3085000,TRUE
16,2,-1750000,3085000,TRUE
17,4,-1700000,3085000,TRUE
18,2,-1650000,3085000,TRUE
19,4,-1600000,3085000,TRUE
20,1,-1550000,3085000,TRUE
21,0,-2100000,3035000,TRUE
22,1,-2050000,3035000,TRUE
23,8,-2000000,3035000,TRUE
24,60,-1950000,3035000,TRUE
25,1,-1900000,3035000,TRUE
26,0,-1850000,3035000,TRUE
27,4,-1800000,3035000,TRUE
28,1,-1750000,3035000,TRUE
29,0,-1700000,3035000,TRUE
30,0,-1650000,3035000,TRUE
31,0,-1600000,3035000,TRUE
32,8,-1550000,3035000,TRUE
33,0,-1500000,3035000,TRUE
34,0,-1450000,3035000,TRUE
35,0,-1400000,3035000,TRUE
36,0,-1350000,3035000,TRUE
37,0,-1300000,3035000,TRUE
38,0,2100000,3035000,TRUE
39,0,-2100000,2985000,TRUE
40,3,-2050000,2985000,TRUE
41,0,-2000000,2985000,TRUE
42,79,-1950000,2985000,TRUE
43,1,-1900000,2985000,TRUE
44,5,-1850000,2985000,TRUE
45,0,-1800000,2985000,TRUE
46,1,-1750000,2985000,TRUE
47,0,-1700000,2985000,TRUE
48,1,-1650000,2985000,TRUE
49,5,-1600000,2985000,TRUE
50,0,-1550000,2985000,TRUE
51,3,-1500000,2985000,TRUE
52,0,-1450000,2985000,TRUE
53,0,-1400000,2985000,TRUE
54,0,-1350000,2985000,TRUE
55,0,-1300000,2985000,TRUE
56,0,-1250000,2985000,TRUE
57,0,-1200000,2985000,TRUE
58,0,-1150000,2985000,TRUE
59,0,-1100000,2985000,TRUE
60,0,-1050000,2985000,TRUE
61,0,-1000000,2985000,TRUE
62,0,2000000,2985000,TRUE
63,0,2050000,2985000,TRUE
64,0,2100000,2985000,TRUE
65,2,2150000,2985000,TRUE
66,0,-2150000,2935000,TRUE
67,3,-2100000,2935000,TRUE
68,1,-2050000,2935000,TRUE
69,4,-2000000,2935000,TRUE
70,0,-1950000,2935000,TRUE
71,0,-1900000,2935000,TRUE
72,3,-1850000,2935000,TRUE
73,2,-1800000,2935000,TRUE
74,0,-1750000,2935000,TRUE
75,0,-1700000,2935000,TRUE
76,0,-1650000,2935000,TRUE
77,1,-1600000,2935000,TRUE
78,0,-1550000,2935000,TRUE
79,0,-1500000,2935000,TRUE
80,0,-1450000,2935000,TRUE
81,0,-1400000,2935000,TRUE
82,0,-1350000,2935000,TRUE
83,0,-1300000,2935000,TRUE
84,0,-1250000,2935000,TRUE
85,0,-1200000,2935000,TRUE
86,0,-1150000,2935000,TRUE
87,0,-1100000,2935000,TRUE
88,0,-1050000,2935000,TRUE
89,0,-1000000,2935000,TRUE
90,0,-950000,2935000,TRUE
91,0,-900000,2935000,TRUE
92,0,-850000,2935000,TRUE
93,0,-800000,2935000,TRUE
94,0,-750000,2935000,TRUE
95,0,-700000,2935000,TRUE
96,0,-650000,2935000,TRUE
97,0,-600000,2935000,TRUE
98,0,50000,2935000,TRUE
99,0,100000,2935000,TRUE
100,0,2000000,2935000,TRUE
101,0,2050000,2935000,TRUE
102,0,2100000,2935000,TRUE
103,0,2150000,2935000,TRUE
104,5,-2150000,2885000,TRUE
105,9,-2100000,2885000,TRUE
106,1,-2050000,2885000,TRUE
107,0,-2000000,2885000,TRUE
108,1,-1950000,2885000,TRUE
109,0,-1900000,2885000,TRUE
110,2,-1850000,2885000,TRUE
111,6,-1800000,2885000,TRUE
112,0,-1750000,2885000,TRUE
113,0,-1700000,2885000,TRUE
114,1,-1650000,2885000,TRUE
115,1,-1600000,2885000,TRUE
116,2,-1550000,2885000,TRUE
117,1,-1500000,2885000,TRUE
118,1,-1450000,2885000,TRUE
119,1,-1400000,2885000,TRUE
120,0,-1350000,2885000,TRUE
121,0,-1300000,2885000,TRUE
122,0,-1250000,2885000,TRUE
123,0,-1200000,2885000,TRUE
124,0,-1150000,2885000,TRUE
125,0,-1100000,2885000,TRUE
126,0,-1050000,2885000,TRUE
127,0,-1000000,2885000,TRUE
128,0,-950000,2885000,TRUE
129,0,-900000,2885000,TRUE
130,0,-850000,2885000,TRUE
131,0,-800000,2885000,TRUE
132,0,-750000,2885000,TRUE
133,0,-700000,2885000,TRUE
134,0,-650000,2885000,TRUE
135,0,-600000,2885000,TRUE
136,0,-550000,2885000,TRUE
137,0,-500000,2885000,TRUE
138,0,-450000,2885000,TRUE
139,0,-400000,2885000,TRUE
140,0,-350000,2885000,TRUE
141,0,-300000,2885000,TRUE
142,0,-250000,2885000,TRUE
144,0,-150000,2885000,TRUE
145,0,-100000,2885000,TRUE
146,0,-50000,2885000,TRUE
147,0,0,2885000,TRUE
148,0,50000,2885000,TRUE
149,0,100000,2885000,TRUE
150,0,1950000,2885000,TRUE
151,0,2000000,2885000,TRUE
152,0,2050000,2885000,TRUE
153,1,2100000,2885000,TRUE
154,0,2150000,2885000,TRUE
155,13,-2150000,2835000,TRUE
156,6,-2100000,2835000,TRUE
157,3,-2050000,2835000,TRUE
158,0,-2000000,2835000,TRUE
159,1,-1950000,2835000,TRUE
160,0,-1900000,2835000,TRUE
161,0,-1850000,2835000,TRUE
162,1,-1800000,2835000,TRUE
163,0,-1750000,2835000,TRUE
164,0,-1700000,2835000,TRUE
165,0,-1650000,2835000,TRUE
166,0,-1600000,2835000,TRUE
167,0,-1550000,2835000,TRUE
168,0,-1500000,2835000,TRUE
169,2,-1450000,2835000,TRUE
170,0,-1400000,2835000,TRUE
171,2,-1350000,2835000,TRUE
172,0,-1300000,2835000,TRUE
173,0,-1250000,2835000,TRUE
174,0,-1200000,2835000,TRUE
175,0,-1150000,2835000,TRUE
176,0,-1100000,2835000,TRUE
177,0,-1050000,2835000,TRUE
178,0,-1000000,2835000,TRUE
179,0,-950000,2835000,TRUE
180,0,-900000,2835000,TRUE
181,0,-850000,2835000,TRUE
182,0,-800000,2835000,TRUE
183,0,-750000,2835000,TRUE
184,0,-700000,2835000,TRUE
185,0,-650000,2835000,TRUE
186,0,-600000,2835000,TRUE
187,0,-550000,2835000,TRUE
188,0,-500000,2835000,TRUE
189,0,-450000,2835000,TRUE
190,0,-400000,2835000,TRUE
191,0,-350000,2835000,TRUE
192,0,-300000,2835000,TRUE
193,0,-250000,2835000,TRUE
194,0,-200000,2835000,TRUE
195,0,-150000,2835000,TRUE
196,0,-100000,2835000,TRUE
197,0,-50000,2835000,TRUE
198,0,0,2835000,TRUE
199,0,50000,2835000,TRUE
200,0,100000,2835000,TRUE
201,0,150000,2835000,TRUE
202,0,200000,2835000,TRUE
203,0,250000,2835000,TRUE
204,0,300000,2835000,TRUE
205,0,400000,2835000,TRUE
206,0,550000,2835000,TRUE
207,0,1950000,2835000,TRUE
208,0,2000000,2835000,TRUE
209,0,2050000,2835000,TRUE
210,0,2100000,2835000,TRUE
211,0,2150000,2835000,TRUE
212,1,2200000,2835000,TRUE
213,0,-2200000,2785000,TRUE
214,4,-2150000,2785000,TRUE
215,13,-2100000,2785000,TRUE
216,23,-2050000,2785000,TRUE
217,3,-2000000,2785000,TRUE
218,4,-1950000,2785000,TRUE
219,2,-1900000,2785000,TRUE
220,0,-1850000,2785000,TRUE
221,0,-1800000,2785000,TRUE
222,0,-1750000,2785000,TRUE
223,0,-1700000,2785000,TRUE
224,0,-1650000,2785000,TRUE
225,0,-1600000,2785000,TRUE
226,0,-1550000,2785000,TRUE
227,0,-1500000,2785000,TRUE
228,0,-1450000,2785000,TRUE
229,0,-1400000,2785000,TRUE
230,1,-1350000,2785000,TRUE
231,0,-1300000,2785000,TRUE
232,0,-1250000,2785000,TRUE
233,1,-1200000,2785000,TRUE
234,0,-1150000,2785000,TRUE
235,0,-1100000,2785000,TRUE
236,0,-1050000,2785000,TRUE
237,0,-1000000,2785000,TRUE
238,0,-950000,2785000,TRUE
239,0,-900000,2785000,TRUE
240,0,-850000,2785000,TRUE
241,0,-800000,2785000,TRUE
243,0,-700000,2785000,TRUE
244,0,-650000,2785000,TRUE
