project,deployments,yr_min,yr_max,trap_nights
NS_North Carolina's Candid Critters,2610,2016.0,2019.0,52269.0
NS_Recreation Effects on Wildlife Project,1894,2012.0,2013.0,45438.0
Snapshot USA 2020,1454,2020.0,2020.0,50634.0
Snapshot USA 2019,958,2019.0,2019.0,37004.0
NS_NA,767,2015.0,2021.0,24850.0
NS_Triangle Camera Trap Survey Project,324,2014.0,2016.0,7174.0
CA_2002687,316,2021.0,2023.0,16546.0
CA_2003012,297,2021.0,2022.0,12285.0
CA_2002690,234,2015.0,2022.0,10473.0
CA_2002691,204,2021.0,2022.0,9070.0
CA_2003085,201,2021.0,2021.0,8614.0
North Carolina's Candid Critters,192,2019.0,2019.0,3933.0
NS_Students Discover North Carolina,191,2014.0,2017.0,4933.0
NS_Prairie Ridge Project,185,2013.0,2018.0,6842.0
NS_NCSU-Parks,137,2016.0,2019.0,3151.0
NS_Wildlands Red Wolf Survey Project,128,2011.0,2017.0,6493.0
CA_2002689,116,2021.0,2022.0,4843.0
Smithsonian Grassland Ecology Program,92,2019.0,2019.0,951.0
NS_The NC Chapter of The Nature Conservancy Preserve Camtraps,91,2016.0,2018.0,3317.0
NS_Museums Connect United States,78,2014.0,2017.0,1800.0
NS_NCSU-Greenways,76,2014.0,2016.0,1361.0
NS_NCSU-Golf,67,2014.0,2014.0,1247.0
Montana Ranch Survey,65,2019.0,2019.0,4197.0
NS_NCSU-Cemeteries,50,2015.0,2015.0,998.0
Smithsonian Environmental Research Center ForestGEO,49,2019.0,2019.0,908.0
D.C. Wildlife Project,29,2019.0,2019.0,406.0
NS_Carl Sandburg Home NHS Bear Project,28,2015.0,2015.0,741.0
NS_NCSU-Wolfpack Citizen Science Challenge,28,2016.0,2016.0,591.0
Wasatch Wildlife Watch,27,2019.0,2019.0,807.0
NCSU Camera Trapping,21,2019.0,2019.0,455.0
Crocodile Lake Inventory and Monitoring Project,15,2019.0,2019.0,823.0
"NS_Blue Ridge Parkway, NC/VA Wildlife Survey Project",14,2017.0,2018.0,384.0
WVU Wildlife and Fisheries Techniques Class,12,2019.0,2019.0,203.0
Seattle Urban Carnivore Project,10,2019.0,2019.0,478.0
NS_NCSU-NRM,10,2015.0,2015.0,179.0
NS_NCSU-Lake Johnson 2018,9,2018.0,2018.0,181.0
Lex SKUNK,9,2022.0,2022.0,471.0
NS_NCSU-Pearl Creek Inventory,8,2017.0,2017.0,206.0
NS_NCSU-Walnut Creek 2019,7,2019.0,2019.0,133.0
NS_Charlotte Urban-Wild,6,2015.0,2015.0,118.0
