"row_id","abundance","scenario","rep_id","n_sites","lambda_true_med","ncam_mean","ncam_med","ncam_q99","ncam_max","ncam_draw_max","frac_site_gt50","frac_site_gt200"
541,"bobcat_baseline","null",1,705,0.113748224571343,0.445123581560284,0.1645,3.34007,5.154375,22,0,0
542,"bobcat_baseline","null",2,705,0.113748224571343,0.348496985815603,0.108,2.864635,3.51725,24,0,0
543,"bobcat_baseline","null",3,705,0.113748224571343,0.397474290780142,0.146375,2.476285,3.375875,70,0,0
544,"bobcat_baseline","null",4,705,0.113748224571343,0.434049822695035,0.181875,2.65520500000001,3.6385,22,0,0
545,"bobcat_baseline","null",5,705,0.113748224571343,0.332363120567376,0.125,2.21126,2.94975,15,0,0
546,"bobcat_baseline","null",6,705,0.113748224571343,0.393534219858156,0.1075,2.82048,4.460125,27,0,0
547,"bobcat_baseline","null",7,705,0.113748224571343,0.370552304964539,0.160125,2.48193,3.768125,20,0,0
548,"bobcat_baseline","null",8,705,0.113748224571343,0.31101524822695,0.107375,1.98595,3.2625,20,0,0
549,"bobcat_baseline","null",9,705,0.113748224571343,0.328021808510638,0.1135,2.25597,3.150625,18,0,0
550,"bobcat_baseline","null",10,705,0.113748224571343,0.37278634751773,0.10725,3.076415,4.389375,22,0,0
551,"bobcat_baseline","null",11,705,0.113748224571343,0.371439539007092,0.11975,2.398085,3.175375,20,0,0
552,"bobcat_baseline","null",12,705,0.113748224571343,0.384187234042553,0.111875,2.8407,3.867375,27,0,0
553,"bobcat_baseline","null",13,705,0.113748224571343,0.699636879432624,0.138,10.026725,15.300125,104,0,0
554,"bobcat_baseline","null",14,705,0.113748224571343,0.312964184397163,0.094375,2.37633,2.927125,15,0,0
555,"bobcat_baseline","null",15,705,0.113748224571343,0.401375709219858,0.106125,3.179995,4.380375,21,0,0
556,"bobcat_baseline","null",16,705,0.113748224571343,0.353730496453901,0.141,2.39797000000001,3.279625,16,0,0
557,"bobcat_baseline","null",17,705,0.113748224571343,0.289012056737589,0.086125,2.623835,3.308125,21,0,0
558,"bobcat_baseline","null",18,705,0.113748224571343,0.380631382978723,0.106,2.55342000000001,4.200875,27,0,0
559,"bobcat_baseline","null",19,705,0.113748224571343,0.351329787234043,0.12275,2.162205,3.03125,17,0,0
560,"bobcat_baseline","null",20,705,0.113748224571343,0.27782109929078,0.087875,1.83595,2.918,16,0,0
561,"bobcat_baseline","null",21,705,0.113748224571343,0.376089184397163,0.180125,2.396695,4.18375,21,0,0
562,"bobcat_baseline","null",22,705,0.113748224571343,0.246757624113475,0.0855,1.83685,2.49375,15,0,0
563,"bobcat_baseline","null",23,705,0.113748224571343,0.359987943262411,0.128125,2.555645,4.5985,23,0,0
564,"bobcat_baseline","null",24,705,0.113748224571343,0.293495212765957,0.087625,1.988055,2.4245,13,0,0
565,"bobcat_baseline","null",25,705,0.113748224571343,0.332706028368794,0.096375,2.21786,3.1665,17,0,0
566,"bobcat_baseline","null",26,705,0.113748224571343,0.399956914893617,0.1905,2.68908,3.562375,29,0,0
567,"bobcat_baseline","null",27,705,0.113748224571343,0.374272517730496,0.13225,2.78114000000001,4.39375,22,0,0
568,"bobcat_baseline","null",28,705,0.113748224571343,0.284193262411348,0.088875,1.92695,2.86425,11,0,0
569,"bobcat_baseline","null",29,705,0.113748224571343,0.398345567375887,0.115625,2.97776000000002,4.323,54,0,0
570,"bobcat_baseline","null",30,705,0.113748224571343,0.346988829787234,0.062625,3.31075,8.02025,53,0,0
571,"bobcat_baseline","varying",1,705,0.113748224571343,0.333709929078014,0.117125,1.942745,4.381375,42,0,0
572,"bobcat_baseline","varying",2,705,0.113748224571343,0.242020567375887,0.056375,1.77878,2.8455,14,0,0
573,"bobcat_baseline","varying",3,705,0.113748224571343,0.45366719858156,0.162,2.884875,4.12,26,0,0
574,"bobcat_baseline","varying",4,705,0.113748224571343,0.353650354609929,0.116,2.716505,3.191875,16,0,0
575,"bobcat_baseline","varying",5,705,0.113748224571343,0.388337056737589,0.12775,2.72249,3.809875,28,0,0
576,"bobcat_baseline","varying",6,705,0.113748224571343,0.293677836879433,0.095875,2.01018000000001,3.18925,22,0,0
577,"bobcat_baseline","varying",7,705,0.113748224571343,0.326371808510638,0.118,1.82293,2.336375,12,0,0
578,"bobcat_baseline","varying",8,705,0.113748224571343,0.41472890070922,0.0915,3.903335,5.286375,27,0,0
579,"bobcat_baseline","varying",9,705,0.113748224571343,0.420503014184397,0.1395,2.85677500000001,7.986875,60,0,0
580,"bobcat_baseline","varying",10,705,0.113748224571343,0.326926773049645,0.114625,2.26526,3.288,20,0,0
581,"bobcat_baseline","varying",11,705,0.113748224571343,0.469980673758865,0.232875,2.46864,3.1485,13,0,0
582,"bobcat_baseline","varying",12,705,0.113748224571343,0.444743439716312,0.1295,3.23908,4.79275,22,0,0
583,"bobcat_baseline","varying",13,705,0.113748224571343,0.328156205673759,0.082875,2.533275,3.35375,15,0,0
584,"bobcat_baseline","varying",14,705,0.113748224571343,0.409640425531915,0.08375,4.09699500000001,7.58825,133,0,0
585,"bobcat_baseline","varying",15,705,0.113748224571343,0.403215957446808,0.169375,2.23264,6.277,31,0,0
586,"bobcat_baseline","varying",16,705,0.113748224571343,0.369316312056738,0.11375,3.21331000000002,3.983,145,0,0
587,"bobcat_baseline","varying",17,705,0.113748224571343,0.405019326241135,0.15025,2.58442500000001,3.796875,26,0,0
588,"bobcat_baseline","varying",18,705,0.113748224571343,0.498731560283688,0.15025,3.369155,5.296,41,0,0
589,"bobcat_baseline","varying",19,705,0.113748224571343,0.251145390070922,0.0755,1.79328,2.62375,20,0,0
590,"bobcat_baseline","varying",20,705,0.113748224571343,0.58252890070922,0.236,3.312755,4.281625,29,0,0
591,"bobcat_baseline","varying",21,705,0.113748224571343,0.404828368794326,0.1215,2.766055,3.86925,19,0,0
592,"bobcat_baseline","varying",22,705,0.113748224571343,0.407513120567376,0.193125,2.464405,3.14825,22,0,0
593,"bobcat_baseline","varying",23,705,0.113748224571343,0.469772340425532,0.22375,2.71044000000001,3.529375,18,0,0
594,"bobcat_baseline","varying",24,705,0.113748224571343,0.357690602836879,0.150375,1.98094,3.2485,21,0,0
595,"bobcat_baseline","varying",25,705,0.113748224571343,0.279425,0.060125,2.424875,3.406875,19,0,0
596,"bobcat_baseline","varying",26,705,0.113748224571343,0.351618085106383,0.106125,2.69366000000001,4.400625,17,0,0
597,"bobcat_baseline","varying",27,705,0.113748224571343,0.347334219858156,0.16275,2.104865,2.502125,19,0,0
598,"bobcat_baseline","varying",28,705,0.113748224571343,0.393691843971631,0.130375,2.50836,5.07675,78,0,0
599,"bobcat_baseline","varying",29,705,0.113748224571343,0.372727304964539,0.13775,2.21079,3.627625,14,0,0
600,"bobcat_baseline","varying",30,705,0.113748224571343,0.363291489361702,0.171625,2.2951,3.526,19,0,0
601,"common_deerlike","null",1,705,0.113748224571343,0.34069219858156,0.130125,1.98171,2.7665,14,0,0
602,"common_deerlike","null",2,705,0.113748224571343,0.382346808510638,0.14425,2.545345,3.280875,16,0,0
603,"common_deerlike","null",3,705,0.113748224571343,0.361840425531915,0.14275,2.249925,3.31825,24,0,0
604,"common_deerlike","null",4,705,0.113748224571343,0.374174113475177,0.12875,2.74109,3.641375,20,0,0
