cell50,x50,y50,lon,lat
1,-1950000,3185000,-122.749194297365,49.1868671048878
2,-2100000,3135000,-124.489391406407,48.3601320162984
3,-2000000,3135000,-123.207339945658,48.6225827983547
4,-1950000,3135000,-122.562442819728,48.7494891062452
5,-1900000,3135000,-121.915024980145,48.8734874561575
7,-1800000,3135000,-120.612805474797,49.1126837672064
8,-1750000,3135000,-119.958104358564,49.2278348396007
9,-2100000,3085000,-124.293377787665,47.926568736824
10,-2050000,3085000,-123.657540480218,48.0581188146871
11,-2000000,3085000,-123.019144537295,48.186821189378
14,-1850000,3085000,-121.089036419193,48.555629878705
15,-1800000,3085000,-120.440842673788,48.672733234681
17,-1700000,3085000,-119.137500463454,48.8980721978474
19,-1600000,3085000,-117.825219759276,49.1114538833663
20,-1550000,3085000,-117.165854351124,49.213617147949
22,-2050000,3035000,-123.467970072329,47.6238961621237
24,-1950000,3035000,-122.196495251938,47.8763215113421
34,-1450000,3035000,-115.701143087202,48.9630258969627
36,-1350000,3035000,-114.377255928809,49.1442541785679
37,-1300000,3035000,-113.712561201883,49.2302453010975
41,-2000000,2985000,-122.650254590656,47.3166860139761
42,-1950000,2985000,-122.017180535465,47.4404518461417
43,-1900000,2985000,-121.38173212877,47.5613594571599
44,-1850000,2985000,-120.743949213934,47.6793926503527
54,-1350000,2985000,-114.248169681455,48.6976058532625
55,-1300000,2985000,-113.587922894349,48.7828372654218
58,-1150000,2985000,-111.597088955517,49.0199886045093
69,-2000000,2935000,-122.469463838129,46.8822360983555
70,-1950000,2935000,-121.840247928893,47.0050027689066
71,-1900000,2935000,-121.208696652315,47.1249312186619
77,-1600000,2935000,-117.372920136676,47.7838610764382
83,-1300000,2935000,-113.465009639246,48.3361436908319
92,-850000,2935000,-107.493395159889,48.9573499576627
95,-700000,2935000,-105.479992810071,49.1077733970027
99,100000,2935000,-94.6413159797165,49.4197691644798
104,-2150000,2885000,-124.153147969917,46.0660070848613
106,-2050000,2885000,-122.914128785432,46.3235504182303
111,-1800000,2885000,-119.775877298694,46.9183249863319
112,-1750000,2885000,-119.141581849918,47.0287215778343
121,-1300000,2885000,-113.343781962921,47.890121558013
122,-1250000,2885000,-112.690610518949,47.9708590123778
129,-900000,2885000,-108.076908219285,48.449939696739
130,-850000,2885000,-107.412587066948,48.505935287017
147,0,2885000,-96.0000064893933,48.9706680856778
150,1950000,2885000,-70.3343511214951,46.5699500753741
155,-2150000,2835000,-123.966007739587,45.6351958572938
157,-2050000,2835000,-122.734314669015,45.8907662864064
166,-1600000,2835000,-117.081487575634,46.9016186184269
168,-1500000,2835000,-115.802904751804,47.094512472278
170,-1400000,2835000,-114.517008587968,47.2755858069188
184,-700000,2835000,-105.347220483236,48.2030710034329
214,-2150000,2785000,-123.781267248108,45.2046176331853
216,-2050000,2785000,-122.556822048144,45.45825935181
217,-2000000,2785000,-121.941159763896,45.5809533858978
