"model","chain","n_draws","n_chunks","param","rhat_all_chunks","rhat_resumed_only"
"moose_v1fix_national_scalar","1",50000,5,"MCMT_tau",1.03083718325785,1.00039472256696
"moose_v1fix_national_scalar","1",50000,5,"MWMT_tau",1.0316130085998,1.00101452881206
"moose_v1fix_national_scalar","1",50000,5,"det_intercept",1.02971474777881,1.02249280525146
"moose_v1fix_national_scalar","1",50000,5,"intercept_tau",1.0323218822272,1.00187555416513
"moose_v1fix_national_scalar","1",50000,5,"occ_beta[1]",1.20736250729495,1.21599411844864
"moose_v1fix_national_scalar","1",50000,5,"occ_beta[2]",1.02252065809291,1.02973661027895
"moose_v1fix_national_scalar","1",50000,5,"occ_beta[3]",1.09387090060533,1.0881712147601
"moose_v1fix_national_scalar","1",50000,5,"occ_beta[4]",1.01880340114441,1.00634080279979
"moose_v1fix_national_scalar","1",50000,5,"occ_beta[5]",1.02736587099493,1.03565541663926
"moose_v1fix_national_scalar","1",50000,5,"occ_beta[6]",1.12839349330551,1.15130926714841
"moose_v1fix_national_scalar","1",50000,5,"occ_beta[7]",1.05895088119108,1.07685580871256
"moose_v1fix_national_scalar","1",50000,5,"occ_beta[8]",1.1666369185163,1.08182683760562
"moose_v1fix_national_scalar","1",50000,5,"occ_beta[9]",1.14009556348701,1.15757519179661
"moose_v1fix_national_scalar","1",50000,5,"occ_beta[10]",1.20356200326413,1.1163510907196
"moose_v1fix_national_scalar","1",50000,5,"overdisp_inat",1.0518429443508,1.02280814958524
"moose_v1fix_national_scalar","1",50000,5,"p_beta[1]",1.00354394233753,1.00360917371486
"moose_v1fix_national_scalar","1",50000,5,"p_beta[2]",1.00585645995021,1.00444226515913
"moose_v1fix_national_scalar","1",50000,5,"p_beta[3]",1.00350618257018,1.00164907335199
"moose_v1fix_national_scalar","1",50000,5,"p_beta[4]",1.00598691040737,1.00297674982503
"moose_v1fix_national_scalar","1",50000,5,"theta0",1.14697450452669,1.04922279740023
"moose_v1fix_national_scalar","1",50000,5,"theta1",1.12327807578063,1.07825330254522
"moose_v1fix_national_scalar","1",50000,5,"total_var_beta",1.04513815220173,1.03404643875502
"moose_v1fix_national_scalar","1",50000,5,"trend_robust_indicator",1.00111312071039,1.00058007278287
"moose_v1fix_national_scalar","1",50000,5,"year_beta",1.01967365836503,1.02785118399582
"moose_v1fix_national_scalar","1",50000,5,"year_var",1.01339086262587,1.00492704148685
"moose_v1fix_national_scalar","2",50000,5,"MCMT_tau",1.03134729271839,1.00090302092479
"moose_v1fix_national_scalar","2",50000,5,"MWMT_tau",1.03143777367632,1.00086184414408
"moose_v1fix_national_scalar","2",50000,5,"det_intercept",1.01418102506189,1.00702297598727
"moose_v1fix_national_scalar","2",50000,5,"intercept_tau",1.03141819669656,1.00083601154822
"moose_v1fix_national_scalar","2",50000,5,"occ_beta[1]",1.09318556744674,1.10891723335161
"moose_v1fix_national_scalar","2",50000,5,"occ_beta[2]",1.01738596689182,1.02069669830386
"moose_v1fix_national_scalar","2",50000,5,"occ_beta[3]",1.01683997490192,1.0235780130326
"moose_v1fix_national_scalar","2",50000,5,"occ_beta[4]",1.0333876170055,1.03213216238456
"moose_v1fix_national_scalar","2",50000,5,"occ_beta[5]",1.04183122565134,1.05469060417096
"moose_v1fix_national_scalar","2",50000,5,"occ_beta[6]",1.0778260522011,1.09353463820545
