cell50,year,species_count,total_mammal_count_same_cell
147,2008,1,7
263,2008,0,1
266,2008,0,2
275,2008,0,4
338,2008,0,2
400,2008,0,1
401,2008,0,2
402,2008,0,1
409,2008,0,1
410,2008,0,4
472,2008,0,1
474,2008,0,1
475,2008,0,5
476,2008,2,6
480,2008,0,1
482,2008,0,2
483,2008,0,4
485,2008,0,1
535,2008,0,2
540,2008,0,1
552,2008,0,4
556,2008,0,1
557,2008,0,3
559,2008,0,1
561,2008,0,1
614,2008,0,1
619,2008,0,1
621,2008,0,1
623,2008,0,1
626,2008,1,19
630,2008,0,4
631,2008,0,1
636,2008,0,4
640,2008,0,1
691,2008,0,1
692,2008,0,1
696,2008,0,1
701,2008,0,1
709,2008,0,1
713,2008,0,1
715,2008,9,25
716,2008,0,3
717,2008,0,1
770,2008,0,1
772,2008,1,1
775,2008,0,4
776,2008,0,1
787,2008,0,4
792,2008,0,14
793,2008,0,1
795,2008,0,1
796,2008,5,12
797,2008,0,1
850,2008,0,2
869,2008,1,1
870,2008,0,3
872,2008,1,1
878,2008,1,1
879,2008,0,2
880,2008,1,3
881,2008,1,1
882,2008,0,1
936,2008,0,1
943,2008,0,1
949,2008,2,8
953,2008,3,4
957,2008,1,2
958,2008,3,9
961,2008,1,4
964,2008,0,2
966,2008,0,1
967,2008,0,1
1025,2008,0,1
1026,2008,0,1
1027,2008,0,1
1028,2008,0,1
1029,2008,1,3
1030,2008,0,1
1033,2008,0,1
1039,2008,0,1
1042,2008,0,2
1110,2008,1,3
1111,2008,0,7
1112,2008,0,1
1113,2008,1,4
1115,2008,0,3
1116,2008,0,1
1117,2008,6,37
1118,2008,3,19
1119,2008,2,7
1124,2008,0,1
1125,2008,0,1
1130,2008,0,3
1131,2008,1,8
1132,2008,0,1
1133,2008,0,1
1134,2008,1,2
1135,2008,0,2
1195,2008,2,5
1197,2008,0,1
1198,2008,0,2
1199,2008,0,5
1200,2008,1,5
1202,2008,1,6
1203,2008,0,1
1204,2008,0,2
1206,2008,0,3
1214,2008,0,1
1216,2008,0,1
1217,2008,14,22
1218,2008,0,1
1270,2008,0,1
1279,2008,0,4
1280,2008,0,2
1285,2008,0,1
1287,2008,0,3
1289,2008,1,2
1290,2008,0,5
1292,2008,0,1
1296,2008,0,2
1300,2008,0,2
1302,2008,0,1
1355,2008,0,2
1359,2008,0,1
1360,2008,0,3
1364,2008,0,1
1366,2008,0,1
1368,2008,0,1
1375,2008,1,5
1383,2008,1,2
1385,2008,0,2
1386,2008,0,1
1391,2008,0,3
1392,2008,0,10
1435,2008,0,1
1458,2008,0,1
1462,2008,0,3
1463,2008,0,1
1468,2008,0,1
1469,2008,0,2
1471,2008,0,1
1473,2008,0,6
1530,2008,0,2
1537,2008,0,1
1541,2008,0,1
1546,2008,0,1
1548,2008,0,1
1550,2008,0,4
1551,2008,1,5
1552,2008,2,6
1554,2008,0,1
1555,2008,0,1
1556,2008,1,7
1557,2008,0,25
1615,2008,1,2
1618,2008,0,3
1623,2008,0,1
1624,2008,0,2
1630,2008,0,2
1633,2008,0,2
1634,2008,4,11
1635,2008,0,4
1636,2008,0,1
1637,2008,0,1
1640,2008,0,11
1700,2008,0,1
1704,2008,0,1
1709,2008,1,1
1713,2008,0,3
1715,2008,0,8
1717,2008,1,2
1721,2008,0,3
1722,2008,0,24
1782,2008,0,1
1787,2008,0,1
1801,2008,0,1
1803,2008,1,5
1850,2008,0,1
1853,2008,0,1
1856,2008,0,2
1880,2008,0,1
1881,2008,1,2
1934,2008,0,2
1940,2008,1,1
1959,2008,0,2
1962,2008,5,14
1964,2008,1,1
2034,2008,0,1
2040,2008,1,2
2046,2008,0,1
2101,2008,0,1
2108,2008,0,3
2117,2008,0,1
2127,2008,0,3
2177,2008,0,1
2196,2008,0,1
2201,2008,0,1
2202,2008,1,2
2206,2008,0,1
2207,2008,1,2
2272,2008,0,2
2275,2008,0,1
2279,2008,0,1
2284,2008,1,4
2285,2008,1,3
2354,2008,0,3
2358,2008,0,4
2360,2008,0,1
2363,2008,0,2
2412,2008,0,1
2419,2008,0,1
2422,2008,1,4
2433,2008,0,1
2436,2008,1,1
2437,2008,0,1
2438,2008,1,1
2441,2008,0,1
2509,2008,0,2
2524,2008,1,1
2577,2008,0,1
2591,2008,0,1
2597,2008,0,3
2643,2008,0,1
2659,2008,0,1
2661,2008,0,1
2709,2008,0,3
2724,2008,0,1
2729,2008,0,2
2736,2008,0,1
2772,2008,0,1
2790,2008,0,1
2859,2008,0,1
2862,2008,0,1
2896,2008,0,6
2897,2008,0,2
2967,2008,1,1
2975,2008,0,1
2976,2008,0,2
2983,2008,0,1
3055,2008,0,1
3061,2008,0,3
3064,2008,0,1
3079,2008,0,1
3083,2008,0,2
3099,2008,0,2
3105,2008,0,1
3109,2008,0,1
3123,2008,0,1
3145,2008,0,1
3147,2008,0,2
3148,2008,0,1
3151,2008,0,1
3156,2008,0,1
3157,2008,1,1
3162,2008,0,2
3174,2008,0,1
3176,2008,0,1
3191,2008,0,2
3192,2008,0,13
3203,2008,0,2
3216,2008,0,1
3228,2008,0,9
3232,2008,0,2
3233,2008,1,1
3234,2008,0,1
3235,2008,0,1
3236,2008,0,1
3248,2008,0,1
3249,2008,1,1
3266,2008,0,1
3275,2008,0,1
3276,2008,0,1
3277,2008,2,3
3279,2008,0,2
3289,2008,0,1
3292,2008,0,1
3294,2008,1,1
3295,2008,0,1
3296,2008,0,1
3297,2008,0,1
3308,2008,0,1
3309,2008,0,1
3324,2008,0,1
3325,2008,0,2
3334,2008,1,8
3335,2008,2,5
3344,2008,0,1
3345,2008,0,1
3347,2008,0,1
3355,2008,1,1
3362,2008,1,1
144,2009,0,1
207,2009,0,1
255,2009,1,1
257,2009,0,1
263,2009,0,1
266,2009,0,5
275,2009,0,2
383,2009,0,1
385,2009,0,2
389,2009,0,4
396,2009,0,1
400,2009,0,4
401,2009,1,9
402,2009,0,3
403,2009,0,2
407,2009,0,1
408,2009,0,1
409,2009,0,2
455,2009,0,1
462,2009,0,1
469,2009,0,5
472,2009,0,2
474,2009,0,2
475,2009,0,10
476,2009,0,4
479,2009,0,1
482,2009,0,5
483,2009,0,2
535,2009,0,1
536,2009,0,1
547,2009,0,2
550,2009,0,3
552,2009,0,3
553,2009,0,2
554,2009,0,2
555,2009,0,4
556,2009,0,4
557,2009,0,3
559,2009,0,3
561,2009,1,5
614,2009,0,2
615,2009,0,1
619,2009,1,1
620,2009,1,2
626,2009,0,11
631,2009,0,2
632,2009,0,1
633,2009,0,2
636,2009,0,2
637,2009,0,1
638,2009,0,1
691,2009,0,2
692,2009,0,1
697,2009,0,1
704,2009,0,4
708,2009,0,1
710,2009,0,1
711,2009,0,1
713,2009,0,9
715,2009,5,7
716,2009,0,3
717,2009,0,10
718,2009,0,4
769,2009,1,3
770,2009,0,3
772,2009,2,4
787,2009,0,1
791,2009,0,1
792,2009,0,5
794,2009,0,4
796,2009,3,8
797,2009,0,5
848,2009,1,3
849,2009,0,1
850,2009,0,4
852,2009,0,1
857,2009,0,1
868,2009,0,1
869,2009,0,1
870,2009,2,3
871,2009,1,3
872,2009,0,2
876,2009,0,2
877,2009,0,2
878,2009,1,3
879,2009,0,1
881,2009,0,1
882,2009,0,2
943,2009,0,1
944,2009,0,4
949,2009,1,4
953,2009,3,7
954,2009,1,1
955,2009,0,3
957,2009,0,1
958,2009,0,4
959,2009,0,1
963,2009,0,1
966,2009,2,2
967,2009,0,2
968,2009,0,2
1026,2009,0,1
1027,2009,0,1
1028,2009,0,1
1029,2009,0,2
1030,2009,0,1
1037,2009,0,3
1039,2009,0,1
1040,2009,0,2
1048,2009,0,3
1051,2009,0,1
1052,2009,0,2
1110,2009,0,1
1111,2009,0,2
1113,2009,2,6
1114,2009,0,3
1116,2009,0,1
1117,2009,2,30
1118,2009,6,27
1119,2009,0,4
1120,2009,0,1
1122,2009,0,3
1124,2009,0,2
1131,2009,0,6
1133,2009,1,4
1190,2009,0,3
1195,2009,1,2
1197,2009,0,6
1199,2009,1,3
1202,2009,0,3
1203,2009,1,2
1204,2009,0,2
1206,2009,0,4
1213,2009,0,3
1214,2009,0,1
1216,2009,0,2
1217,2009,10,17
1218,2009,0,1
1270,2009,0,1
1273,2009,0,1
1276,2009,0,1
1279,2009,1,17
1280,2009,0,2
1285,2009,0,1
1286,2009,0,1
1287,2009,0,6
1290,2009,0,12
1292,2009,0,1
1294,2009,0,2
1296,2009,0,3
1300,2009,0,1
1301,2009,0,6
1302,2009,0,7
1303,2009,0,1
1355,2009,0,1
1364,2009,0,1
1365,2009,1,5
1368,2009,0,1
1373,2009,0,1
1375,2009,1,8
1380,2009,0,1
1385,2009,1,5
1386,2009,2,7
1391,2009,0,6
1392,2009,0,3
1435,2009,0,1
1449,2009,0,1
1453,2009,0,1
1458,2009,0,2
1461,2009,0,1
1462,2009,1,1
1463,2009,0,1
1469,2009,2,4
1471,2009,0,2
1473,2009,0,26
1476,2009,0,1
1530,2009,0,2
1534,2009,0,1
1540,2009,1,2
1541,2009,0,4
1546,2009,0,2
1548,2009,0,1
1550,2009,0,3
1551,2009,0,6
1552,2009,2,8
1554,2009,0,3
1555,2009,0,4
1556,2009,4,13
1557,2009,0,33
1608,2009,0,1
1615,2009,0,2
1618,2009,0,24
1619,2009,0,3
1620,2009,1,4
1623,2009,0,1
1624,2009,0,4
1630,2009,0,5
1634,2009,12,22
1635,2009,0,4
1636,2009,0,1
