"camera_level","n_site_keep","inat_level","global_mult","ecoregion","n_reps","rmse","bias","coverage","mean_n_site_region","mean_cam_detections_region","mean_inat_count_region","convergence_filter"
"0.5x",350,"0.25x",0.25,"EASTERN TEMPERATE FORESTS",30,0.320324229366036,0.15158661601712,1,44,6.46666666666667,5.03333333333333,"all_reps"
"0.5x",350,"0.25x",0.25,"GREAT PLAINS",30,0.387021497944642,0.316428405954119,1,44,12.4666666666667,21.7333333333333,"all_reps"
"0.5x",350,"0.25x",0.25,"MARINE WEST COAST FOREST",30,0.33534912554907,-0.00886583171817327,1,44,10,105.966666666667,"all_reps"
"0.5x",350,"0.25x",0.25,"MEDITERRANEAN CALIFORNIA",30,0.230338050691209,0.12233978511565,1,44,28.1333333333333,58.1666666666667,"all_reps"
"0.5x",350,"0.25x",0.25,"NORTH AMERICAN DESERTS",30,0.299122892933242,-0.136768629776156,1,44,20.9,4.9,"all_reps"
"0.5x",350,"0.25x",0.25,"NORTHERN FORESTS",30,0.225689161156892,-0.0672762085759453,1,44,8,10.4,"all_reps"
"0.5x",350,"0.25x",0.25,"NORTHWESTERN FORESTED MOUNTAINS",30,0.434281758658657,-0.376430567809547,1,44,5.36666666666667,9.63333333333333,"all_reps"
"0.5x",350,"0.25x",0.25,"WATER",30,0.350706092188587,-0.252418597080957,1,44,11.7,6.86666666666667,"all_reps"
"0.5x",350,"1x",1,"EASTERN TEMPERATE FORESTS",30,0.266519044791721,0.201475306794441,0.9,44,5.73333333333333,17.9333333333333,"all_reps"
"0.5x",350,"1x",1,"GREAT PLAINS",30,0.349844179041161,0.265090678210583,1,44,11.4,92.3666666666667,"all_reps"
"0.5x",350,"1x",1,"MARINE WEST COAST FOREST",30,0.180257883626119,0.0554218625290666,1,44,9.23333333333333,427.4,"all_reps"
"0.5x",350,"1x",1,"MEDITERRANEAN CALIFORNIA",30,0.423814904457479,-0.0441792903856402,1,44,28.4333333333333,224.833333333333,"all_reps"
"0.5x",350,"1x",1,"NORTH AMERICAN DESERTS",30,0.114515332413976,-0.0584416279049908,1,44,19.9333333333333,20.1,"all_reps"
"0.5x",350,"1x",1,"NORTHERN FORESTS",30,0.175566929966373,-0.0819700160390891,1,44,7.23333333333333,35.2333333333333,"all_reps"
"0.5x",350,"1x",1,"NORTHWESTERN FORESTED MOUNTAINS",30,0.299731338156864,-0.1900602844093,0.9,44,5.93333333333333,40.1333333333333,"all_reps"
"0.5x",350,"1x",1,"WATER",30,0.304634601107529,-0.223972070543034,0.933333333333333,44,10.2666666666667,29.4,"all_reps"
"0.5x",350,"4x",4,"EASTERN TEMPERATE FORESTS",30,0.285047770250542,0.249888501187867,0.833333333333333,44,6.56666666666667,73.2666666666667,"all_reps"
"0.5x",350,"4x",4,"GREAT PLAINS",30,0.207020112308824,0.157250729616725,1,44,12.9,338.666666666667,"all_reps"
"0.5x",350,"4x",4,"MARINE WEST COAST FOREST",30,0.153738684146099,0.0929168507531233,0.966666666666667,44,9.66666666666667,1789.4,"all_reps"
"0.5x",350,"4x",4,"MEDITERRANEAN CALIFORNIA",30,0.108195547463204,0.0337869490568259,1,44,29.0333333333333,930.766666666667,"all_reps"
"0.5x",350,"4x",4,"NORTH AMERICAN DESERTS",30,0.108234898722541,-0.0680103696081232,1,44,19.6333333333333,82.4666666666667,"all_reps"
"0.5x",350,"4x",4,"NORTHERN FORESTS",30,0.112293637823218,-0.0614403333345145,1,44,7.03333333333333,150.866666666667,"all_reps"
"0.5x",350,"4x",4,"NORTHWESTERN FORESTED MOUNTAINS",30,0.226573707056586,-0.204428511904838,1,44,7,166.7,"all_reps"
"0.5x",350,"4x",4,"WATER",30,0.268384569783863,-0.223184757196231,0.866666666666667,44,12.4,115.133333333333,"all_reps"
