"rep","camera_level","n_site_keep","site_replace","inat_level","global_mult","sigma_region_mean","ecoregion","est","err","covered","n_site_region","cam_detections_region","n_cell50_region","inat_count_region"
1,"0.5x",350,FALSE,"0.25x",0.25,0.533531562224212,"EASTERN TEMPERATE FORESTS",-0.148473117495871,0.137300685828833,1,44,5,27,5
1,"0.5x",350,FALSE,"0.25x",0.25,0.533531562224212,"GREAT PLAINS",0.451419672507064,0.655543817738996,1,44,10,27,23
1,"0.5x",350,FALSE,"0.25x",0.25,0.533531562224212,"MARINE WEST COAST FOREST",0.148088360497533,0.270562847636692,1,44,7,27,93
1,"0.5x",350,FALSE,"0.25x",0.25,0.533531562224212,"MEDITERRANEAN CALIFORNIA",0.146533795221166,0.187358624267552,1,44,28,27,54
1,"0.5x",350,FALSE,"0.25x",0.25,0.533531562224212,"NORTH AMERICAN DESERTS",-0.100155782598933,-0.14098061164532,1,44,23,27,3
1,"0.5x",350,FALSE,"0.25x",0.25,0.533531562224212,"NORTHERN FORESTS",-0.14761277839585,-0.270087265535009,1,44,8,27,10
1,"0.5x",350,FALSE,"0.25x",0.25,0.533531562224212,"NORTHWESTERN FORESTED MOUNTAINS",-0.47969948656114,-0.683823631793071,1,44,4,27,8
1,"0.5x",350,FALSE,"0.25x",0.25,0.533531562224212,"WATER",0.146520489087497,-0.139253314237207,1,44,14,27,10
2,"0.5x",350,FALSE,"0.25x",0.25,0.631647403666203,"EASTERN TEMPERATE FORESTS",-0.356015456852293,-0.0702416535275884,1,44,3,27,4
2,"0.5x",350,FALSE,"0.25x",0.25,0.631647403666203,"GREAT PLAINS",-0.0981032380601435,0.106020907171788,1,44,19,27,23
2,"0.5x",350,FALSE,"0.25x",0.25,0.631647403666203,"MARINE WEST COAST FOREST",-0.392536395814544,-0.270061908675385,1,44,18,27,92
2,"0.5x",350,FALSE,"0.25x",0.25,0.631647403666203,"MEDITERRANEAN CALIFORNIA",0.21632490804467,0.257149737091056,1,44,35,27,60
2,"0.5x",350,FALSE,"0.25x",0.25,0.631647403666203,"NORTH AMERICAN DESERTS",0.122388713836298,0.0815638847899113,1,44,19,27,10
2,"0.5x",350,FALSE,"0.25x",0.25,0.631647403666203,"NORTHERN FORESTS",-0.0915876777334908,-0.21406216487265,1,44,7,27,10
2,"0.5x",350,FALSE,"0.25x",0.25,0.631647403666203,"NORTHWESTERN FORESTED MOUNTAINS",-0.254297583354178,-0.458421728586109,1,44,2,27,3
2,"0.5x",350,FALSE,"0.25x",0.25,0.631647403666203,"WATER",0.311458941419692,0.0256851380949878,1,44,7,27,9
3,"0.5x",350,FALSE,"0.25x",0.25,0.314058222400434,"EASTERN TEMPERATE FORESTS",-0.158816610030012,0.126957193294692,1,44,14,27,4
3,"0.5x",350,FALSE,"0.25x",0.25,0.314058222400434,"GREAT PLAINS",0.00772988903058672,0.211854034262518,1,44,10,27,15
3,"0.5x",350,FALSE,"0.25x",0.25,0.314058222400434,"MARINE WEST COAST FOREST",0.0774437196571898,0.199918206796349,1,44,11,27,153
3,"0.5x",350,FALSE,"0.25x",0.25,0.314058222400434,"MEDITERRANEAN CALIFORNIA",0.0617679356788088,0.102592764725195,1,44,31,27,46
3,"0.5x",350,FALSE,"0.25x",0.25,0.314058222400434,"NORTH AMERICAN DESERTS",-0.0901382911145023,-0.130963120160889,1,44,12,27,3
3,"0.5x",350,FALSE,"0.25x",0.25,0.314058222400434,"NORTHERN FORESTS",0.0972403498152723,-0.0252341373238866,1,44,7,27,12
3,"0.5x",350,FALSE,"0.25x",0.25,0.314058222400434,"NORTHWESTERN FORESTED MOUNTAINS",-0.134138500572792,-0.338262645804723,1,44,8,27,11
3,"0.5x",350,FALSE,"0.25x",0.25,0.314058222400434,"WATER",-0.00115077486476919,-0.286924578189473,1,44,6,27,8
4,"0.5x",350,FALSE,"0.25x",0.25,0.930364728854501,"EASTERN TEMPERATE FORESTS",-0.165708288669472,0.120065514655232,1,44,7,27,5
4,"0.5x",350,FALSE,"0.25x",0.25,0.930364728854501,"GREAT PLAINS",-0.0945152737367754,0.109608871495156,1,44,17,27,26
4,"0.5x",350,FALSE,"0.25x",0.25,0.930364728854501,"MARINE WEST COAST FOREST",0.997007992516777,1.11948247965594,1,44,6,27,82
4,"0.5x",350,FALSE,"0.25x",0.25,0.930364728854501,"MEDITERRANEAN CALIFORNIA",-0.085087817919137,-0.0442629888727507,1,44,20,27,71
4,"0.5x",350,FALSE,"0.25x",0.25,0.930364728854501,"NORTH AMERICAN DESERTS",0.312567174688323,0.271742345641937,1,44,32,27,11
4,"0.5x",350,FALSE,"0.25x",0.25,0.930364728854501,"NORTHERN FORESTS",-0.407168144154967,-0.529642631294126,1,44,9,27,9
4,"0.5x",350,FALSE,"0.25x",0.25,0.930364728854501,"NORTHWESTERN FORESTED MOUNTAINS",-0.526286580988546,-0.730410726220477,1,44,6,27,15
4,"0.5x",350,FALSE,"0.25x",0.25,0.930364728854501,"WATER",-0.712259207321431,-0.998033010646135,1,44,6,27,6
5,"0.5x",350,FALSE,"0.25x",0.25,1.04395957212869,"EASTERN TEMPERATE FORESTS",-0.204441873092824,0.0813319302318799,1,44,5,27,6
5,"0.5x",350,FALSE,"0.25x",0.25,1.04395957212869,"GREAT PLAINS",0.242797917677948,0.44692206290988,1,44,20,27,24
5,"0.5x",350,FALSE,"0.25x",0.25,1.04395957212869,"MARINE WEST COAST FOREST",-0.300467700051056,-0.177993212911897,1,44,8,27,154
5,"0.5x",350,FALSE,"0.25x",0.25,1.04395957212869,"MEDITERRANEAN CALIFORNIA",0.438100495886102,0.478925324932488,1,44,27,27,76
5,"0.5x",350,FALSE,"0.25x",0.25,1.04395957212869,"NORTH AMERICAN DESERTS",-0.290043638879416,-0.330868467925802,1,44,17,27,0
5,"0.5x",350,FALSE,"0.25x",0.25,1.04395957212869,"NORTHERN FORESTS",-0.0535367633193463,-0.176011250458505,1,44,7,27,10
5,"0.5x",350,FALSE,"0.25x",0.25,1.04395957212869,"NORTHWESTERN FORESTED MOUNTAINS",-0.91081487003509,-1.11493901526702,1,44,7,27,2
5,"0.5x",350,FALSE,"0.25x",0.25,1.04395957212869,"WATER",-0.00197146643202699,-0.287745269756731,1,44,9,27,7
6,"0.5x",350,FALSE,"0.25x",0.25,0.530155217979479,"EASTERN TEMPERATE FORESTS",-0.119972452591469,0.165801350733235,1,44,11,27,6
6,"0.5x",350,FALSE,"0.25x",0.25,0.530155217979479,"GREAT PLAINS",-0.373716633661856,-0.169592488429925,1,44,14,27,4
6,"0.5x",350,FALSE,"0.25x",0.25,0.530155217979479,"MARINE WEST COAST FOREST",-0.203220420029163,-0.0807459328900046,1,44,10,27,107
6,"0.5x",350,FALSE,"0.25x",0.25,0.530155217979479,"MEDITERRANEAN CALIFORNIA",0.112021969717852,0.152846798764238,1,44,23,27,48
6,"0.5x",350,FALSE,"0.25x",0.25,0.530155217979479,"NORTH AMERICAN DESERTS",0.0536952001785246,0.0128703711321383,1,44,22,27,5
6,"0.5x",350,FALSE,"0.25x",0.25,0.530155217979479,"NORTHERN FORESTS",0.182917277468809,0.0604427903296498,1,44,10,27,13
6,"0.5x",350,FALSE,"0.25x",0.25,0.530155217979479,"NORTHWESTERN FORESTED MOUNTAINS",0.258882269286588,0.054758124054657,1,44,6,27,19
6,"0.5x",350,FALSE,"0.25x",0.25,0.530155217979479,"WATER",-0.357134292575172,-0.642908095899877,1,44,20,27,3
7,"0.5x",350,FALSE,"0.25x",0.25,1.34386327321235,"EASTERN TEMPERATE FORESTS",-0.897588479789411,-0.611814676464707,1,44,5,27,2
7,"0.5x",350,FALSE,"0.25x",0.25,1.34386327321235,"GREAT PLAINS",0.669403176811039,0.873527322042971,1,44,7,27,15
7,"0.5x",350,FALSE,"0.25x",0.25,1.34386327321235,"MARINE WEST COAST FOREST",-1.0377948197071,-0.915320332567937,1,44,4,27,64
7,"0.5x",350,FALSE,"0.25x",0.25,1.34386327321235,"MEDITERRANEAN CALIFORNIA",0.517048705942295,0.557873534988681,1,44,33,27,55
7,"0.5x",350,FALSE,"0.25x",0.25,1.34386327321235,"NORTH AMERICAN DESERTS",-0.643462209359297,-0.684287038405683,1,44,23,27,1
7,"0.5x",350,FALSE,"0.25x",0.25,1.34386327321235,"NORTHERN FORESTS",-0.205808611578065,-0.328283098717224,1,44,5,27,14
7,"0.5x",350,FALSE,"0.25x",0.25,1.34386327321235,"NORTHWESTERN FORESTED MOUNTAINS",-0.427283259009864,-0.631407404241796,1,44,3,27,7
7,"0.5x",350,FALSE,"0.25x",0.25,1.34386327321235,"WATER",0.00539971092405624,-0.280374092400648,1,44,14,27,4
8,"0.5x",350,FALSE,"0.25x",0.25,0.319410545606168,"EASTERN TEMPERATE FORESTS",-0.0604089933999825,0.225364809924722,1,44,0,27,5
8,"0.5x",350,FALSE,"0.25x",0.25,0.319410545606168,"GREAT PLAINS",-0.0136262994530425,0.190497845778889,1,44,17,27,24
8,"0.5x",350,FALSE,"0.25x",0.25,0.319410545606168,"MARINE WEST COAST FOREST",-0.199699937806314,-0.0772254506671548,1,44,12,27,92
8,"0.5x",350,FALSE,"0.25x",0.25,0.319410545606168,"MEDITERRANEAN CALIFORNIA",0.122330383109143,0.16315521215553,1,44,24,27,46
8,"0.5x",350,FALSE,"0.25x",0.25,0.319410545606168,"NORTH AMERICAN DESERTS",0.049389204893776,0.00856437584738969,1,44,18,27,5
8,"0.5x",350,FALSE,"0.25x",0.25,0.319410545606168,"NORTHERN FORESTS",0.051114955124453,-0.0713595320147059,1,44,7,27,7
8,"0.5x",350,FALSE,"0.25x",0.25,0.319410545606168,"NORTHWESTERN FORESTED MOUNTAINS",-0.146680800876066,-0.350804946107997,1,44,2,27,8
8,"0.5x",350,FALSE,"0.25x",0.25,0.319410545606168,"WATER",0.0556208021884612,-0.230153001136243,1,44,6,27,6
9,"0.5x",350,FALSE,"0.25x",0.25,0.282903008763341,"EASTERN TEMPERATE FORESTS",0.0492930203969665,0.335066823721671,1,44,8,27,10
9,"0.5x",350,FALSE,"0.25x",0.25,0.282903008763341,"GREAT PLAINS",0.0268513537590898,0.230975498991021,1,44,17,27,38
9,"0.5x",350,FALSE,"0.25x",0.25,0.282903008763341,"MARINE WEST COAST FOREST",-0.0569953565656433,0.0654791305735156,1,44,22,27,114
9,"0.5x",350,FALSE,"0.25x",0.25,0.282903008763341,"MEDITERRANEAN CALIFORNIA",-0.00430770029290381,0.0365171287534825,1,44,23,27,67
9,"0.5x",350,FALSE,"0.25x",0.25,0.282903008763341,"NORTH AMERICAN DESERTS",-0.179669974648091,-0.220494803694477,1,44,23,27,3
9,"0.5x",350,FALSE,"0.25x",0.25,0.282903008763341,"NORTHERN FORESTS",0.123539414945657,0.00106492780649768,1,44,8,27,5
9,"0.5x",350,FALSE,"0.25x",0.25,0.282903008763341,"NORTHWESTERN FORESTED MOUNTAINS",-0.0062831508235,-0.210407296055432,1,44,3,27,15
9,"0.5x",350,FALSE,"0.25x",0.25,0.282903008763341,"WATER",0.0380392090783476,-0.247734594246357,1,44,23,27,5
10,"0.5x",350,FALSE,"0.25x",0.25,0.477870446784594,"EASTERN TEMPERATE FORESTS",-0.131293231363016,0.154480571961689,1,44,10,27,1
10,"0.5x",350,FALSE,"0.25x",0.25,0.477870446784594,"GREAT PLAINS",0.0527588533068152,0.256882998538747,1,44,7,27,16
10,"0.5x",350,FALSE,"0.25x",0.25,0.477870446784594,"MARINE WEST COAST FOREST",-0.298799823163494,-0.176325336024335,1,44,7,27,97
10,"0.5x",350,FALSE,"0.25x",0.25,0.477870446784594,"MEDITERRANEAN CALIFORNIA",0.0362180663270242,0.0770428953734105,1,44,29,27,60
10,"0.5x",350,FALSE,"0.25x",0.25,0.477870446784594,"NORTH AMERICAN DESERTS",-0.104366896319568,-0.145191725365954,1,44,16,27,7
10,"0.5x",350,FALSE,"0.25x",0.25,0.477870446784594,"NORTHERN FORESTS",-0.0824949155666993,-0.204969402705858,1,44,12,27,5
10,"0.5x",350,FALSE,"0.25x",0.25,0.477870446784594,"NORTHWESTERN FORESTED MOUNTAINS",-0.0133358292699287,-0.21745997450186,1,44,5,27,12
10,"0.5x",350,FALSE,"0.25x",0.25,0.477870446784594,"WATER",0.216629309436751,-0.0691444938879533,1,44,6,27,4
11,"0.5x",350,FALSE,"0.25x",0.25,0.382164503891472,"EASTERN TEMPERATE FORESTS",-0.0395050349502283,0.246268768374476,1,44,4,27,5
11,"0.5x",350,FALSE,"0.25x",0.25,0.382164503891472,"GREAT PLAINS",-0.00765155536945125,0.19647258986248,1,44,15,27,19
11,"0.5x",350,FALSE,"0.25x",0.25,0.382164503891472,"MARINE WEST COAST FOREST",-0.0227175499567031,0.0997569371824558,1,44,17,27,108
11,"0.5x",350,FALSE,"0.25x",0.25,0.382164503891472,"MEDITERRANEAN CALIFORNIA",0.219503039828463,0.26032786887485,1,44,28,27,47
11,"0.5x",350,FALSE,"0.25x",0.25,0.382164503891472,"NORTH AMERICAN DESERTS",-0.1761682410415,-0.216993070087887,1,44,17,27,2
11,"0.5x",350,FALSE,"0.25x",0.25,0.382164503891472,"NORTHERN FORESTS",0.0542439155245017,-0.0682305716146571,1,44,17,27,18
11,"0.5x",350,FALSE,"0.25x",0.25,0.382164503891472,"NORTHWESTERN FORESTED MOUNTAINS",-0.138974587013272,-0.343098732245203,1,44,3,27,7
11,"0.5x",350,FALSE,"0.25x",0.25,0.382164503891472,"WATER",-0.0621911154126575,-0.347964918737362,1,44,16,27,4
12,"0.5x",350,FALSE,"0.25x",0.25,0.207146769469005,"EASTERN TEMPERATE FORESTS",-0.0073234506279061,0.278450352696798,1,44,7,27,3
12,"0.5x",350,FALSE,"0.25x",0.25,0.207146769469005,"GREAT PLAINS",0.0542639652491547,0.258388110481086,1,44,20,27,44
12,"0.5x",350,FALSE,"0.25x",0.25,0.207146769469005,"MARINE WEST COAST FOREST",-0.0888311491658328,0.0336433379733261,1,44,16,27,101
12,"0.5x",350,FALSE,"0.25x",0.25,0.207146769469005,"MEDITERRANEAN CALIFORNIA",0.0546885869641591,0.0955134160105454,1,44,32,27,69
12,"0.5x",350,FALSE,"0.25x",0.25,0.207146769469005,"NORTH AMERICAN DESERTS",0.0333750705241281,-0.00744975852225818,1,44,16,27,10
12,"0.5x",350,FALSE,"0.25x",0.25,0.207146769469005,"NORTHERN FORESTS",-0.0279703716803999,-0.150444858819559,1,44,12,27,3
12,"0.5x",350,FALSE,"0.25x",0.25,0.207146769469005,"NORTHWESTERN FORESTED MOUNTAINS",0.0245290421578033,-0.179595103074128,1,44,7,27,18
12,"0.5x",350,FALSE,"0.25x",0.25,0.207146769469005,"WATER",0.137275473163171,-0.148498330161533,1,44,5,27,10
13,"0.5x",350,FALSE,"0.25x",0.25,0.225303019624679,"EASTERN TEMPERATE FORESTS",-0.0261461092053507,0.259627694119353,1,44,13,27,8
13,"0.5x",350,FALSE,"0.25x",0.25,0.225303019624679,"GREAT PLAINS",0.0418676304840826,0.245991775716014,1,44,12,27,24
