"ecoregion","target_rmse","camera_level","inat_level","achieved_rmse","note"
"EASTERN TEMPERATE FORESTS",0.1,NA,NA,NA,"not achieved anywhere in grid"
"GREAT PLAINS",0.1,NA,NA,NA,"not achieved anywhere in grid"
"MARINE WEST COAST FOREST",0.1,"2x","16x",0.0967436124641579,""
"MEDITERRANEAN CALIFORNIA",0.1,"1x","4x",0.0780421312344882,""
"NORTH AMERICAN DESERTS",0.1,"4x","4x",0.0941520602080891,""
"NORTHERN FORESTS",0.1,NA,NA,NA,"not achieved anywhere in grid"
"NORTHWESTERN FORESTED MOUNTAINS",0.1,NA,NA,NA,"not achieved anywhere in grid"
"WATER",0.1,NA,NA,NA,"not achieved anywhere in grid"
"EASTERN TEMPERATE FORESTS",0.15,NA,NA,NA,"not achieved anywhere in grid"
"GREAT PLAINS",0.15,NA,NA,NA,"not achieved anywhere in grid"
"MARINE WEST COAST FOREST",0.15,"1x","1x",0.111796705627757,""
"MEDITERRANEAN CALIFORNIA",0.15,"2x","0.25x",0.114263605429455,""
"NORTH AMERICAN DESERTS",0.15,"0.5x","1x",0.114589470270374,""
"NORTHERN FORESTS",0.15,"2x","0.25x",0.144111047092807,""
"NORTHWESTERN FORESTED MOUNTAINS",0.15,NA,NA,NA,"not achieved anywhere in grid"
"WATER",0.15,NA,NA,NA,"not achieved anywhere in grid"
"EASTERN TEMPERATE FORESTS",0.2,NA,NA,NA,"not achieved anywhere in grid"
"GREAT PLAINS",0.2,"1x","4x",0.187981327922136,""
"MARINE WEST COAST FOREST",0.2,"1x","0.25x",0.187467085623401,""
"MEDITERRANEAN CALIFORNIA",0.2,"0.5x","0.25x",0.189163939166399,""
"NORTH AMERICAN DESERTS",0.2,"0.5x","0.25x",0.166346905548976,""
"NORTHERN FORESTS",0.2,"0.5x","0.25x",0.188418823310604,""
"NORTHWESTERN FORESTED MOUNTAINS",0.2,"0.5x","16x",0.181826389019384,""
"WATER",0.2,"4x","16x",0.184188196836757,""
