"estimator","abundance","scenario","n_rep","detect_rate","bias","ci_width","coverage","tri_rate","auc","spearman","field_rmse","elapsed_med"
"array_occ","bobcat_baseline","null",3,0,-0.029810644081395,4.76377966723518,1,0,0.740898329096237,0.52982593646685,13.5201851939613,2083.69303631783
"array_rn","bobcat_baseline","null",3,0.333333333333333,0.26054137249031,0.920966730952018,0.666666666666667,0,0.693095150303712,0.379834924562645,3.38597663126069,2055.5901260376
"camera_occ","bobcat_baseline","null",3,0,-0.00918204790923655,1.48555337889343,1,0,0.727409161184317,0.517575394061999,1.41157046004398,2463.59087133408
"array_occ","common_deerlike","null",3,0,-0.299004597750864,4.41062366059071,1,0,0.598573942181425,0.188520712782632,10.0884029916475,2026.84199404716
"array_rn","common_deerlike","null",3,0.333333333333333,0.171233674244414,1.06747599835538,0.666666666666667,0,0.395916215464431,-0.203142319292909,2.93056431687486,2232.90247797966
"camera_occ","common_deerlike","null",3,0.333333333333333,-0.619607415701248,2.39534236788898,1,0,0.730105054111924,0.475896485412764,1.37452193431852,2330.52062082291
"array_occ","moderate","null",3,0,-0.204360507396524,5.06066697633925,1,0,0.69678077716755,0.456356590105338,21.9796034207179,2026.84271526337
"array_rn","moderate","null",3,0.333333333333333,-0.294209868599596,1.0509872414785,0.666666666666667,0,0.621740508580929,0.33082873684257,3.25145742841692,2012.81704282761
"camera_occ","moderate","null",3,0.333333333333333,-0.310575725357817,1.92350442028761,0.666666666666667,0,0.700568288407175,0.440277919840612,1.13798720017915,2296.61079692841
"array_occ","bobcat_baseline","varying",3,0,-0.422381983865494,5.53501989697117,1,0,0.760000840950403,0.528395946802933,8.4730163145401,1834.78550410271
"array_rn","bobcat_baseline","varying",3,0,0.157695387520252,0.965939201424241,1,0,0.740065464754475,0.537886786070406,2.82012753117348,2175.0307571888
"camera_occ","bobcat_baseline","varying",3,0.333333333333333,-0.00977962571690197,1.79228551705976,1,0,0.759189000368724,0.561768329983482,1.80527858260701,2052.53149199486
"array_occ","common_deerlike","varying",3,0,-0.474151019313798,5.16943550898006,1,0,0.702618913621456,0.469283669523595,16.0793940934697,2001.92974948883
"array_rn","common_deerlike","varying",3,0,0.124433474193677,0.967451313470004,1,0,0.719227684087278,0.510328108322394,3.28075331907112,2102.4515311718
"camera_occ","common_deerlike","varying",3,0,0.101118268793085,0.955623198433383,1,0,0.695068149326916,0.458818633200205,1.13419392322129,2439.29678702354
"array_occ","moderate","varying",3,0,-1.08354444972257,5.10836505316797,1,0,0.814838893309269,0.644657616439922,17.8205687378331,2109.24183440208
"array_rn","moderate","varying",3,0.333333333333333,0.112710492477127,0.909561571905682,1,0,0.48657390336833,0.0050455909891656,2.72147940674113,2209.32032632828
"camera_occ","moderate","varying",3,0.333333333333333,0.102826560006014,2.12231901348224,1,0,0.615627446033625,0.226311751040663,1.81504240179167,2366.85915017128
