cell50,year,species,species_count,total_mammal_count_same_cell
8,2008,american_badger,0,1
8,2010,american_badger,0,1
8,2011,american_badger,0,1
8,2012,american_badger,0,7
8,2013,american_badger,0,1
8,2014,american_badger,0,6
8,2015,american_badger,0,9
8,2016,american_badger,0,4
8,2017,american_badger,0,4
8,2018,american_badger,0,10
8,2019,american_badger,0,35
8,2020,american_badger,1,49
8,2021,american_badger,0,25
8,2022,american_badger,0,58
8,2023,american_badger,1,48
8,2024,american_badger,0,65
8,2025,american_badger,0,48
16,2010,american_badger,0,1
16,2013,american_badger,0,1
16,2014,american_badger,0,6
16,2015,american_badger,0,1
16,2016,american_badger,0,2
16,2017,american_badger,0,1
16,2018,american_badger,0,2
16,2019,american_badger,0,14
16,2020,american_badger,1,37
16,2021,american_badger,1,54
16,2022,american_badger,0,105
16,2023,american_badger,0,110
16,2024,american_badger,1,38
16,2025,american_badger,1,35
17,2008,american_badger,0,3
17,2010,american_badger,0,7
17,2011,american_badger,0,1
17,2012,american_badger,0,2
17,2013,american_badger,0,2
17,2014,american_badger,0,4
17,2015,american_badger,0,1
17,2016,american_badger,0,5
17,2017,american_badger,0,9
17,2018,american_badger,0,3
17,2019,american_badger,0,14
17,2020,american_badger,1,25
17,2021,american_badger,1,32
17,2022,american_badger,1,42
17,2023,american_badger,1,93
17,2024,american_badger,0,121
17,2025,american_badger,1,118
18,2016,american_badger,0,1
18,2018,american_badger,0,4
18,2019,american_badger,0,7
18,2020,american_badger,0,6
18,2021,american_badger,0,10
18,2022,american_badger,0,22
18,2023,american_badger,0,43
18,2024,american_badger,1,33
18,2025,american_badger,0,29
28,2009,american_badger,0,1
28,2012,american_badger,0,1
28,2014,american_badger,0,1
28,2016,american_badger,0,1
28,2018,american_badger,0,2
28,2019,american_badger,0,3
28,2020,american_badger,0,3
28,2021,american_badger,0,4
28,2022,american_badger,0,17
28,2023,american_badger,0,15
28,2024,american_badger,1,37
28,2025,american_badger,0,53
29,2016,american_badger,0,1
29,2018,american_badger,0,1
29,2019,american_badger,0,1
29,2021,american_badger,0,2
29,2022,american_badger,1,6
29,2023,american_badger,0,3
29,2024,american_badger,0,2
29,2025,american_badger,0,8
31,2012,american_badger,1,3
31,2013,american_badger,0,1
31,2017,american_badger,0,1
31,2018,american_badger,0,5
31,2019,american_badger,0,2
31,2020,american_badger,0,4
31,2021,american_badger,0,3
31,2022,american_badger,0,19
31,2023,american_badger,0,16
31,2024,american_badger,0,4
31,2025,american_badger,0,6
35,2011,american_badger,0,1
35,2018,american_badger,0,2
35,2019,american_badger,0,6
35,2021,american_badger,0,22
35,2022,american_badger,0,13
35,2023,american_badger,0,16
35,2024,american_badger,3,37
35,2025,american_badger,1,9
37,2008,american_badger,0,3
37,2009,american_badger,0,10
37,2010,american_badger,0,15
37,2011,american_badger,0,17
37,2012,american_badger,0,13
37,2013,american_badger,0,11
37,2014,american_badger,0,12
37,2015,american_badger,0,35
37,2016,american_badger,0,30
37,2017,american_badger,0,31
37,2018,american_badger,0,21
37,2019,american_badger,0,46
37,2020,american_badger,0,64
37,2021,american_badger,0,129
37,2022,american_badger,3,179
37,2023,american_badger,3,158
37,2024,american_badger,2,247
37,2025,american_badger,1,265
46,2015,american_badger,0,2
46,2017,american_badger,0,1
46,2018,american_badger,0,1
46,2019,american_badger,0,5
46,2020,american_badger,0,7
46,2021,american_badger,0,3
46,2022,american_badger,2,8
46,2023,american_badger,0,4
46,2024,american_badger,0,2
46,2025,american_badger,0,22
47,2009,american_badger,0,1
47,2013,american_badger,0,1
47,2020,american_badger,0,4
47,2021,american_badger,0,13
47,2022,american_badger,0,5
47,2023,american_badger,0,11
47,2024,american_badger,1,18
47,2025,american_badger,0,8
55,2008,american_badger,0,20
55,2009,american_badger,0,20
55,2010,american_badger,0,48
55,2011,american_badger,0,28
55,2012,american_badger,0,34
55,2013,american_badger,0,44
55,2014,american_badger,0,49
55,2015,american_badger,0,59
55,2016,american_badger,0,141
55,2017,american_badger,0,195
55,2018,american_badger,0,236
55,2019,american_badger,0,379
55,2020,american_badger,4,206
55,2021,american_badger,0,490
55,2022,american_badger,0,483
55,2023,american_badger,0,610
55,2024,american_badger,0,743
55,2025,american_badger,0,733
56,2011,american_badger,0,1
56,2017,american_badger,0,1
56,2018,american_badger,0,1
56,2021,american_badger,0,2
56,2022,american_badger,0,2
56,2023,american_badger,2,5
56,2024,american_badger,0,1
56,2025,american_badger,0,8
57,2010,american_badger,0,2
57,2011,american_badger,0,1
57,2016,american_badger,0,1
57,2018,american_badger,0,1
57,2020,american_badger,0,4
57,2021,american_badger,0,4
57,2022,american_badger,0,1
57,2023,american_badger,3,7
57,2024,american_badger,0,5
57,2025,american_badger,1,6
58,2008,american_badger,0,2
58,2009,american_badger,0,6
58,2010,american_badger,0,3
58,2011,american_badger,0,1
58,2012,american_badger,0,1
58,2013,american_badger,0,2
58,2014,american_badger,0,4
58,2015,american_badger,0,1
58,2016,american_badger,0,8
58,2018,american_badger,0,6
58,2019,american_badger,0,4
58,2020,american_badger,2,16
58,2021,american_badger,0,36
58,2022,american_badger,0,20
58,2023,american_badger,0,24
58,2024,american_badger,1,18
58,2025,american_badger,0,34
59,2009,american_badger,1,2
59,2013,american_badger,0,1
59,2019,american_badger,0,2
59,2020,american_badger,0,1
59,2021,american_badger,1,2
59,2022,american_badger,0,8
59,2023,american_badger,3,7
59,2024,american_badger,0,3
59,2025,american_badger,2,11
60,2012,american_badger,0,1
60,2014,american_badger,0,1
60,2016,american_badger,0,1
60,2017,american_badger,0,2
60,2019,american_badger,0,1
60,2020,american_badger,0,4
60,2021,american_badger,0,4
60,2022,american_badger,0,5
60,2023,american_badger,0,19
60,2024,american_badger,4,13
60,2025,american_badger,1,17
61,2009,american_badger,1,1
61,2013,american_badger,0,2
61,2021,american_badger,0,3
61,2022,american_badger,1,3
61,2023,american_badger,0,1
61,2024,american_badger,0,5
61,2025,american_badger,0,6
73,2015,american_badger,0,1
73,2018,american_badger,0,7
73,2019,american_badger,0,2
73,2020,american_badger,0,5
73,2021,american_badger,0,17
73,2022,american_badger,0,21
73,2023,american_badger,1,7
73,2024,american_badger,0,11
73,2025,american_badger,0,21
75,2019,american_badger,0,3
75,2022,american_badger,0,3
75,2023,american_badger,1,1
75,2024,american_badger,0,1
75,2025,american_badger,0,7
76,2017,american_badger,0,4
76,2018,american_badger,0,4
76,2019,american_badger,0,1
76,2020,american_badger,0,5
76,2021,american_badger,1,7
76,2022,american_badger,0,9
76,2023,american_badger,0,17
76,2024,american_badger,0,51
76,2025,american_badger,1,30
77,2008,american_badger,0,1
77,2009,american_badger,0,1
77,2010,american_badger,0,1
77,2011,american_badger,0,2
77,2013,american_badger,0,2
77,2014,american_badger,0,2
77,2015,american_badger,0,2
77,2016,american_badger,0,9
77,2017,american_badger,0,28
77,2018,american_badger,1,69
77,2019,american_badger,0,179
77,2020,american_badger,0,77
77,2021,american_badger,0,155
77,2022,american_badger,0,290
77,2023,american_badger,0,219
77,2024,american_badger,1,185
77,2025,american_badger,0,259
91,2014,american_badger,0,1
91,2019,american_badger,1,1
91,2021,american_badger,1,2
91,2023,american_badger,1,3
92,2008,american_badger,0,4
92,2009,american_badger,1,6
92,2011,american_badger,1,5
92,2012,american_badger,0,4
92,2013,american_badger,1,1
92,2014,american_badger,1,1
92,2015,american_badger,1,16
