species,national_slope,local_mean_slope,local_median_slope,local_sd,n_cells,mean_minus_median
american_black_bear,-0.1116531111725894,-0.17582027503125935,0.06505935754666936,1.150936884532074,846,-0.24087963257792872
moose,-0.11135471287242418,-0.18003536012448107,0.07184066394970597,1.4894169996117175,202,-0.251876024074187
elk,-0.07790268718896141,0.018098588218621973,0.12684353097992004,1.131757035978094,367,-0.10874494276129806
golden_mantled_ground_squirrel,-0.06560118308165683,-0.040422255592040574,0.11785503830288749,1.1594608347096003,221,-0.15827729389492806
brown_bear,-0.048772750988625296,-0.1752932218476789,0.01654461231821958,0.8331168904323312,19,-0.19183783416589847
north_american_porcupine,-0.0461148968748755,-0.13887445141527457,0.04516139035644904,0.9921206956880065,494,-0.1840358417717236
bobcat,-0.033217140711747035,-0.06223919948019753,0.05720691223891754,0.6853299376530844,1121,-0.11944611171911507
pronghorn,-0.03180946483891162,0.158544619856574,0.23252376853406864,1.5508992947867224,232,-0.07397914867749464
red_fox,-0.0269525805694023,-0.06163531583473324,0.0806757742598383,0.7175124359552705,1030,-0.14231109009457155
black-tailed_jackrabbit,-0.024055850956716637,-0.19405586045476605,0.04188949340510192,1.1813937934895893,543,-0.23594535385986798
collared_peccary,-0.022761580906639094,0.09532388823455981,0.13730250769968497,1.270623178379116,138,-0.041978619465125155
grey_wolf,-0.021562444083933298,-0.18299386972200798,0.04351944208143198,1.0476368598260422,53,-0.22651331180343998
snowshoe_hare,-0.02133387604173798,-0.056343922942119706,0.050510228222639286,0.7551478744710188,293,-0.10685415116475899
rock_squirrel,-0.020844942530517982,-0.05074745375516366,0.17097926583220702,1.2019186266603792,189,-0.22172671958737067
american_badger,-0.01587737546330467,-0.06682339404499202,0.035430485379022596,0.859842977384778,565,-0.10225387942401462
puma,-0.014179594739192109,-0.02977064901756198,0.045117667483572,0.5630016792699468,380,-0.07488831650113398
grey_fox,-0.005965332222896931,-0.05702516654871214,0.04611674887467093,0.7424347443275338,934,-0.10314191542338308
fisher,-0.0037487567728149026,0.02045965281749007,0.05637591575091574,0.32033817808813436,163,-0.03591626293342567
kit_fox,-0.0034240200885473477,0.12937266677494072,0.06652660303629654,0.6671117106716218,89,0.06284606373864418
white-tailed_antelope_squirrel,-0.0021769162961517183,0.05529828902505771,0.11271956554975424,1.438495490258364,118,-0.05742127652469652
red_squirrel,0.002083424097520022,0.12751576880842733,0.1811594202898552,0.9399941443306888,585,-0.053643651481427884
western_gray_squirrel,0.0028838528000179444,0.07959356658757905,0.08666522363285215,0.6057933926133241,134,-0.0070716570452731
douglas_s_squirrel,0.005074354144688277,0.091320843025721,0.13656452899775073,0.7011242837406593,152,-0.04524368597202974
mule_deer,0.005471654594123382,0.17469445909120626,0.2911078693539756,1.5191688811486819,718,-0.11641341026276933
nine-banded_armadillo,0.012540078625335724,-0.13024586714866124,0.17804045699063903,1.3907934719551205,478,-0.30828632413930024
striped_skunk,0.019840135004092332,-0.055653655611343826,0.07387441024878272,0.794853673149373,1290,-0.12952806586012655
groundhog,0.0298060617776382,-0.009211350834258891,0.19943693022001707,0.9524126355973346,706,-0.20864828105427596
california_ground_squirrel,0.047243544466434764,0.26521132602695463,0.24952041688123694,0.9369264423931912,105,0.01569090914571769
coyote,0.049272036553935895,-0.01572253040333093,0.11316297835592953,0.9154957397892303,1696,-0.12888550875926047
eastern_chipmunk,0.06689152025766508,-0.04681896323554227,0.2241510933828909,1.2316332840118815,712,-0.2709700566184332
virginia_opossum,0.06982343484693478,-0.004479476546578667,0.1354895104895105,0.8200756072636275,1059,-0.13996898703608918
northern_raccoon,0.07583916008009609,-0.004748740723590208,0.15422644349960427,0.9756713340244008,1629,-0.15897518422319448
eastern_fox_squirrel,0.22329278427090943,0.04381412349488799,0.11137808168802708,1.2644450786463801,833,-0.0675639581931391
white-tailed_deer,0.3303905337492534,0.3263427094787314,0.39640256016683695,1.6695482163375523,1380,-0.07005985068810555
eastern_gray_squirrel,0.5641723664245878,0.4551684444880911,0.4740357681534152,1.3684098844477954,965,-0.01886732366532412
