"year","species","raw_count","total_mammal_count"
2008,"bobcat",32,2798
2009,"bobcat",41,3736
2010,"bobcat",44,4286
2011,"bobcat",52,4862
2012,"bobcat",76,6516
2013,"bobcat",174,9437
2014,"bobcat",229,12273
2015,"bobcat",321,16831
2016,"bobcat",398,27533
2017,"bobcat",590,46085
2018,"bobcat",1142,87416
2019,"bobcat",1406,121465
2020,"bobcat",1956,189489
2021,"bobcat",2238,212782
2022,"bobcat",2036,239445
2023,"bobcat",2171,263228
2024,"bobcat",2636,317378
2025,"bobcat",2996,369355
2008,"moose",32,2798
2009,"moose",30,3736
2010,"moose",20,4286
2011,"moose",34,4862
2012,"moose",33,6516
2013,"moose",49,9437
2014,"moose",81,12273
2015,"moose",84,16831
2016,"moose",134,27533
2017,"moose",226,46085
2018,"moose",401,87416
2019,"moose",562,121465
2020,"moose",688,189489
2021,"moose",799,212782
2022,"moose",909,239445
2023,"moose",933,263228
2024,"moose",1157,317378
2025,"moose",1120,369355
2008,"white-tailed_deer",133,2798
2009,"white-tailed_deer",212,3736
2010,"white-tailed_deer",247,4286
2011,"white-tailed_deer",315,4862
2012,"white-tailed_deer",404,6516
2013,"white-tailed_deer",551,9437
2014,"white-tailed_deer",762,12273
2015,"white-tailed_deer",1084,16831
2016,"white-tailed_deer",2030,27533
2017,"white-tailed_deer",3822,46085
2018,"white-tailed_deer",7748,87416
2019,"white-tailed_deer",11405,121465
2020,"white-tailed_deer",19421,189489
2021,"white-tailed_deer",19594,212782
2022,"white-tailed_deer",21765,239445
2023,"white-tailed_deer",26035,263228
2024,"white-tailed_deer",32435,317378
2025,"white-tailed_deer",38998,369355
