"year","species","raw_count","total_mammal_count"
2008,"american_badger",12,2798
2009,"american_badger",14,3736
2010,"american_badger",12,4286
2011,"american_badger",11,4862
2012,"american_badger",15,6516
2013,"american_badger",30,9437
2014,"american_badger",39,12273
2015,"american_badger",63,16831
2016,"american_badger",83,27533
2017,"american_badger",111,46085
2018,"american_badger",120,87416
2019,"american_badger",230,121465
2020,"american_badger",279,189489
2021,"american_badger",306,212782
2022,"american_badger",286,239445
2023,"american_badger",351,263228
2024,"american_badger",399,317378
2025,"american_badger",458,369355
2008,"american_black_bear",73,2798
2009,"american_black_bear",110,3736
2010,"american_black_bear",152,4286
2011,"american_black_bear",180,4862
2012,"american_black_bear",196,6516
2013,"american_black_bear",244,9437
2014,"american_black_bear",312,12273
2015,"american_black_bear",396,16831
2016,"american_black_bear",588,27533
2017,"american_black_bear",969,46085
2018,"american_black_bear",1847,87416
2019,"american_black_bear",2621,121465
2020,"american_black_bear",3241,189489
2021,"american_black_bear",3244,212782
2022,"american_black_bear",3984,239445
2023,"american_black_bear",4384,263228
2024,"american_black_bear",5083,317378
2025,"american_black_bear",5503,369355
2008,"black-tailed_jackrabbit",26,2798
2009,"black-tailed_jackrabbit",37,3736
2010,"black-tailed_jackrabbit",31,4286
2011,"black-tailed_jackrabbit",31,4862
2012,"black-tailed_jackrabbit",60,6516
2013,"black-tailed_jackrabbit",113,9437
2014,"black-tailed_jackrabbit",118,12273
2015,"black-tailed_jackrabbit",200,16831
2016,"black-tailed_jackrabbit",336,27533
2017,"black-tailed_jackrabbit",495,46085
2018,"black-tailed_jackrabbit",793,87416
2019,"black-tailed_jackrabbit",993,121465
2020,"black-tailed_jackrabbit",1429,189489
2021,"black-tailed_jackrabbit",1282,212782
2022,"black-tailed_jackrabbit",1418,239445
2023,"black-tailed_jackrabbit",1447,263228
2024,"black-tailed_jackrabbit",2122,317378
2025,"black-tailed_jackrabbit",1683,369355
2008,"bobcat",39,2798
2009,"bobcat",42,3736
2010,"bobcat",46,4286
2011,"bobcat",66,4862
2012,"bobcat",80,6516
2013,"bobcat",188,9437
2014,"bobcat",242,12273
2015,"bobcat",328,16831
2016,"bobcat",422,27533
2017,"bobcat",623,46085
2018,"bobcat",1187,87416
2019,"bobcat",1493,121465
2020,"bobcat",2081,189489
2021,"bobcat",2370,212782
2022,"bobcat",2212,239445
2023,"bobcat",2379,263228
2024,"bobcat",2847,317378
2025,"bobcat",3224,369355
2008,"brown_bear",25,2798
2009,"brown_bear",30,3736
2010,"brown_bear",39,4286
2011,"brown_bear",33,4862
2012,"brown_bear",46,6516
2013,"brown_bear",31,9437
2014,"brown_bear",36,12273
2015,"brown_bear",34,16831
2016,"brown_bear",60,27533
2017,"brown_bear",77,46085
2018,"brown_bear",148,87416
2019,"brown_bear",213,121465
2020,"brown_bear",97,189489
2021,"brown_bear",255,212782
2022,"brown_bear",513,239445
2023,"brown_bear",327,263228
2024,"brown_bear",357,317378
2025,"brown_bear",340,369355
2008,"california_ground_squirrel",35,2798
2009,"california_ground_squirrel",57,3736
2010,"california_ground_squirrel",64,4286
2011,"california_ground_squirrel",54,4862
2012,"california_ground_squirrel",74,6516
2013,"california_ground_squirrel",145,9437
2014,"california_ground_squirrel",160,12273
2015,"california_ground_squirrel",222,16831
2016,"california_ground_squirrel",462,27533
2017,"california_ground_squirrel",824,46085
2018,"california_ground_squirrel",1656,87416
2019,"california_ground_squirrel",2312,121465
2020,"california_ground_squirrel",2996,189489
2021,"california_ground_squirrel",4086,212782
2022,"california_ground_squirrel",4661,239445
2023,"california_ground_squirrel",5504,263228
2024,"california_ground_squirrel",5815,317378
2025,"california_ground_squirrel",7229,369355
2008,"collared_peccary",26,2798
2009,"collared_peccary",26,3736
2010,"collared_peccary",35,4286
2011,"collared_peccary",19,4862
2012,"collared_peccary",19,6516
2013,"collared_peccary",52,9437
2014,"collared_peccary",47,12273
2015,"collared_peccary",85,16831
