"year","species","raw_count","total_mammal_count","pct_grid_masked"
2008,"american_badger",8,2798,0.3393
2009,"american_badger",12,3736,0.3163
2010,"american_badger",11,4286,0.3337
2011,"american_badger",8,4862,0.333
2012,"american_badger",13,6516,0.342
2013,"american_badger",28,9437,0.3272
2014,"american_badger",35,12273,0.3294
2015,"american_badger",54,16831,0.3261
2016,"american_badger",60,27533,0.3221
2017,"american_badger",101,46085,0.3162
2018,"american_badger",106,87416,0.3145
2019,"american_badger",200,121465,0.3144
2020,"american_badger",251,189489,0.3042
2021,"american_badger",280,212782,0.2991
2022,"american_badger",242,239445,0.2959
2023,"american_badger",295,263228,0.2937
2024,"american_badger",352,317378,0.2872
2025,"american_badger",413,369355,0.2855
2008,"american_black_bear",38,2798,0.3198
2009,"american_black_bear",58,3736,0.3464
2010,"american_black_bear",77,4286,0.3423
2011,"american_black_bear",107,4862,0.3513
2012,"american_black_bear",105,6516,0.33
2013,"american_black_bear",185,9437,0.3676
2014,"american_black_bear",219,12273,0.3622
2015,"american_black_bear",290,16831,0.378
2016,"american_black_bear",454,27533,0.3985
2017,"american_black_bear",678,46085,0.4174
2018,"american_black_bear",1401,87416,0.4318
2019,"american_black_bear",1853,121465,0.4333
2020,"american_black_bear",2440,189489,0.4491
2021,"american_black_bear",2249,212782,0.4516
2022,"american_black_bear",2672,239445,0.4518
2023,"american_black_bear",2965,263228,0.4576
2024,"american_black_bear",3481,317378,0.4658
2025,"american_black_bear",3820,369355,0.4641
2008,"black-tailed_jackrabbit",20,2798,0.5795
2009,"black-tailed_jackrabbit",32,3736,0.5582
2010,"black-tailed_jackrabbit",28,4286,0.5521
2011,"black-tailed_jackrabbit",23,4862,0.5652
2012,"black-tailed_jackrabbit",54,6516,0.5817
2013,"black-tailed_jackrabbit",91,9437,0.5418
2014,"black-tailed_jackrabbit",112,12273,0.5549
2015,"black-tailed_jackrabbit",183,16831,0.5446
2016,"black-tailed_jackrabbit",304,27533,0.5644
2017,"black-tailed_jackrabbit",454,46085,0.5597
2018,"black-tailed_jackrabbit",739,87416,0.5658
2019,"black-tailed_jackrabbit",897,121465,0.5705
2020,"black-tailed_jackrabbit",1288,189489,0.563
2021,"black-tailed_jackrabbit",1173,212782,0.5642
2022,"black-tailed_jackrabbit",1275,239445,0.5598
2023,"black-tailed_jackrabbit",1269,263228,0.5592
2024,"black-tailed_jackrabbit",1916,317378,0.5516
2025,"black-tailed_jackrabbit",1529,369355,0.5481
2008,"bobcat",32,2798,0.1055
2009,"bobcat",41,3736,0.0889
2010,"bobcat",44,4286,0.0834
2011,"bobcat",52,4862,0.087
2012,"bobcat",76,6516,0.0772
2013,"bobcat",174,9437,0.08
2014,"bobcat",229,12273,0.0762
2015,"bobcat",321,16831,0.0728
2016,"bobcat",398,27533,0.0704
2017,"bobcat",590,46085,0.063
2018,"bobcat",1142,87416,0.0623
2019,"bobcat",1406,121465,0.0606
2020,"bobcat",1956,189489,0.0586
2021,"bobcat",2238,212782,0.0577
2022,"bobcat",2036,239445,0.0573
2023,"bobcat",2171,263228,0.0572
2024,"bobcat",2636,317378,0.0562
2025,"bobcat",2996,369355,0.0568
2008,"brown_bear",1,2798,0.9497
2009,"brown_bear",2,3736,0.9634
2010,"brown_bear",5,4286,0.9681
2011,"brown_bear",2,4862,0.968
2012,"brown_bear",1,6516,0.9599
2013,"brown_bear",3,9437,0.9719
2014,"brown_bear",6,12273,0.9694
2015,"brown_bear",6,16831,0.9724
2016,"brown_bear",13,27533,0.97
2017,"brown_bear",15,46085,0.9701
2018,"brown_bear",25,87416,0.9739
2019,"brown_bear",28,121465,0.9758
2020,"brown_bear",8,189489,0.9762
