cell50,x50,y50,total_count,in_range
1,-1950000,3185000,0,FALSE
2,-2100000,3135000,0,FALSE
3,-2000000,3135000,0,FALSE
4,-1950000,3135000,0,FALSE
5,-1900000,3135000,0,FALSE
7,-1800000,3135000,11,TRUE
8,-1750000,3135000,5,TRUE
9,-2100000,3085000,0,FALSE
10,-2050000,3085000,0,FALSE
11,-2000000,3085000,0,FALSE
14,-1850000,3085000,2,TRUE
15,-1800000,3085000,4,TRUE
17,-1700000,3085000,9,TRUE
19,-1600000,3085000,7,TRUE
20,-1550000,3085000,6,TRUE
22,-2050000,3035000,0,FALSE
24,-1950000,3035000,0,FALSE
34,-1450000,3035000,4,TRUE
36,-1350000,3035000,15,TRUE
37,-1300000,3035000,47,TRUE
41,-2000000,2985000,0,FALSE
42,-1950000,2985000,0,FALSE
43,-1900000,2985000,0,FALSE
44,-1850000,2985000,0,TRUE
54,-1350000,2985000,10,TRUE
55,-1300000,2985000,281,TRUE
58,-1150000,2985000,0,FALSE
69,-2000000,2935000,0,FALSE
70,-1950000,2935000,0,FALSE
71,-1900000,2935000,0,FALSE
77,-1600000,2935000,85,TRUE
83,-1300000,2935000,71,TRUE
92,-850000,2935000,0,FALSE
95,-700000,2935000,0,FALSE
99,100000,2935000,0,TRUE
104,-2150000,2885000,0,FALSE
106,-2050000,2885000,0,FALSE
111,-1800000,2885000,0,FALSE
112,-1750000,2885000,0,FALSE
121,-1300000,2885000,0,TRUE
122,-1250000,2885000,2,TRUE
129,-900000,2885000,0,FALSE
130,-850000,2885000,0,FALSE
147,0,2885000,1,TRUE
150,1950000,2885000,10,TRUE
155,-2150000,2835000,0,FALSE
157,-2050000,2835000,0,FALSE
166,-1600000,2835000,124,TRUE
168,-1500000,2835000,3,TRUE
170,-1400000,2835000,1,TRUE
184,-700000,2835000,0,FALSE
214,-2150000,2785000,0,FALSE
216,-2050000,2785000,0,FALSE
217,-2000000,2785000,0,FALSE
222,-1750000,2785000,0,FALSE
230,-1350000,2785000,13,TRUE
263,300000,2785000,21,TRUE
264,350000,2785000,16,TRUE
265,400000,2785000,78,TRUE
266,450000,2785000,34,TRUE
275,2250000,2785000,9,TRUE
276,-2200000,2735000,0,FALSE
311,-450000,2735000,0,FALSE
328,400000,2735000,27,TRUE
333,1950000,2735000,25,TRUE
338,2200000,2735000,4,TRUE
339,2250000,2735000,3,TRUE
340,-2200000,2685000,0,FALSE
341,-2150000,2685000,0,FALSE
351,-1650000,2685000,0,TRUE
372,-600000,2685000,0,FALSE
400,850000,2685000,5,TRUE
401,900000,2685000,157,TRUE
402,1800000,2685000,5,TRUE
404,1900000,2685000,89,TRUE
409,2150000,2685000,7,TRUE
410,2200000,2685000,8,TRUE
411,-2250000,2635000,0,FALSE
412,-2200000,2635000,0,FALSE
413,-2150000,2635000,0,FALSE
418,-1900000,2635000,0,FALSE
423,-1650000,2635000,0,TRUE
437,-950000,2635000,0,FALSE
467,550000,2635000,5,TRUE
472,800000,2635000,0,TRUE
474,900000,2635000,5,TRUE
475,950000,2635000,33,TRUE
476,1650000,2635000,11,TRUE
480,1850000,2635000,72,TRUE
482,1950000,2635000,147,TRUE
483,2000000,2635000,11,TRUE
485,2100000,2635000,6,TRUE
487,-2250000,2585000,0,FALSE
492,-2000000,2585000,0,FALSE
501,-1550000,2585000,5,TRUE
