cell50,year,species_count,total_mammal_count_same_cell
7,2008,0,4
8,2008,0,1
14,2008,0,4
15,2008,0,2
17,2008,0,3
19,2008,0,1
20,2008,0,5
34,2008,0,1
36,2008,0,2
37,2008,1,3
54,2008,0,7
55,2008,4,20
77,2008,0,1
83,2008,0,3
122,2008,0,1
147,2008,0,7
150,2008,1,3
166,2008,2,3
168,2008,0,1
170,2008,0,4
230,2008,0,1
263,2008,0,1
264,2008,0,2
265,2008,1,1
266,2008,0,2
275,2008,0,4
328,2008,0,2
333,2008,1,1
338,2008,0,2
339,2008,0,6
400,2008,0,1
401,2008,0,2
402,2008,0,1
404,2008,0,1
409,2008,0,1
410,2008,0,4
467,2008,0,1
474,2008,0,1
475,2008,0,5
476,2008,0,6
480,2008,1,1
482,2008,0,2
483,2008,0,4
485,2008,0,1
501,2008,0,1
508,2008,1,1
552,2008,0,4
556,2008,0,1
557,2008,0,3
559,2008,0,1
561,2008,0,1
586,2008,3,23
630,2008,0,4
631,2008,0,1
636,2008,3,4
662,2008,0,2
663,2008,0,2
664,2008,0,35
713,2008,0,1
715,2008,0,25
716,2008,0,3
717,2008,0,1
740,2008,0,1
741,2008,0,1
742,2008,1,2
792,2008,0,14
793,2008,0,1
795,2008,0,1
796,2008,0,12
820,2008,2,9
821,2008,5,7
991,2008,0,1
1241,2008,0,2
1325,2008,4,16
1326,2008,1,3
1409,2008,1,10
6,2009,0,2
7,2009,0,6
14,2009,0,4
28,2009,0,1
36,2009,0,1
37,2009,0,10
51,2009,0,1
54,2009,0,3
55,2009,2,20
77,2009,0,1
81,2009,0,1
83,2009,0,1
100,2009,2,2
116,2009,0,1
117,2009,0,2
141,2009,0,1
151,2009,1,1
167,2009,0,1
170,2009,0,4
173,2009,0,1
206,2009,0,1
207,2009,0,1
225,2009,0,1
226,2009,1,1
263,2009,0,1
265,2009,0,1
266,2009,1,5
275,2009,0,2
293,2009,0,1
339,2009,0,4
356,2009,0,2
385,2009,0,2
389,2009,0,4
396,2009,0,1
400,2009,1,4
401,2009,0,9
402,2009,0,3
403,2009,1,2
408,2009,0,1
409,2009,0,2
467,2009,0,1
469,2009,0,5
473,2009,0,1
474,2009,0,2
475,2009,0,10
476,2009,0,4
479,2009,0,1
482,2009,4,5
483,2009,0,2
508,2009,0,1
552,2009,0,3
554,2009,1,2
555,2009,0,4
556,2009,1,4
557,2009,0,3
559,2009,2,3
561,2009,0,5
585,2009,0,1
586,2009,0,31
620,2009,0,2
631,2009,0,2
632,2009,0,1
633,2009,0,2
636,2009,0,2
637,2009,0,1
638,2009,0,1
655,2009,0,1
660,2009,1,1
661,2009,0,1
663,2009,0,9
664,2009,1,35
710,2009,0,1
711,2009,0,1
713,2009,0,9
715,2009,1,7
716,2009,0,3
717,2009,0,10
742,2009,0,3
791,2009,0,1
792,2009,0,5
794,2009,0,4
796,2009,0,8
820,2009,5,16
821,2009,0,3
1075,2009,2,2
1158,2009,0,3
1160,2009,0,1
1240,2009,1,2
1325,2009,0,12
1327,2009,0,1
1409,2009,0,5
1410,2009,2,5
1411,2009,0,1
7,2010,0,29
8,2010,0,1
14,2010,0,6
15,2010,0,3
16,2010,0,1
17,2010,0,7
19,2010,0,4
20,2010,0,5
32,2010,1,1
34,2010,1,1
36,2010,1,4
37,2010,0,15
54,2010,0,7
55,2010,0,48
77,2010,0,1
82,2010,0,1
115,2010,0,2
150,2010,0,1
166,2010,0,1
170,2010,0,4
206,2010,0,3
209,2010,0,2
230,2010,0,3
264,2010,0,1
265,2010,1,6
266,2010,0,9
267,2010,0,1
273,2010,0,3
275,2010,0,3
327,2010,0,3
334,2010,0,2
385,2010,0,2
389,2010,0,4
391,2010,0,3
400,2010,0,4
401,2010,0,7
402,2010,0,3
403,2010,2,5
405,2010,1,1
409,2010,0,1
430,2010,0,4
466,2010,0,2
469,2010,0,2
473,2010,0,1
475,2010,0,12
476,2010,0,2
480,2010,0,2
481,2010,1,2
482,2010,2,3
483,2010,0,4
485,2010,0,1
500,2010,0,1
506,2010,0,1
508,2010,0,2
542,2010,0,1
543,2010,0,2
552,2010,0,4
554,2010,0,1
556,2010,1,17
557,2010,0,7
560,2010,0,1
561,2010,0,3
586,2010,1,24
620,2010,0,10
630,2010,0,4
631,2010,0,1
633,2010,0,1
635,2010,0,1
636,2010,0,2
655,2010,0,2
657,2010,0,1
664,2010,0,17
714,2010,0,1
715,2010,0,4
716,2010,0,6
717,2010,0,5
740,2010,0,1
742,2010,0,5
792,2010,0,2
793,2010,0,2
794,2010,0,1
796,2010,0,30
820,2010,6,21
821,2010,0,5
990,2010,0,1
1158,2010,0,3
1240,2010,1,2
1241,2010,0,2
1325,2010,1,7
1326,2010,0,3
1327,2010,0,1
1409,2010,0,5
1410,2010,0,2
7,2011,0,2
8,2011,0,1
14,2011,0,2
17,2011,0,1
30,2011,0,1
35,2011,0,1
36,2011,0,3
37,2011,0,17
51,2011,0,1
54,2011,0,6
55,2011,3,28
56,2011,0,1
77,2011,1,2
83,2011,0,3
116,2011,0,3
117,2011,1,2
141,2011,0,1
166,2011,0,2
170,2011,0,5
171,2011,0,2
201,2011,0,1
203,2011,0,2
209,2011,1,1
210,2011,1,1
225,2011,0,1
229,2011,0,2
265,2011,1,2
266,2011,0,2
267,2011,3,6
271,2011,0,1
273,2011,0,1
275,2011,0,3
292,2011,0,2
293,2011,0,1
295,2011,1,2
327,2011,0,2
336,2011,0,2
339,2011,0,2
356,2011,0,3
357,2011,1,1
389,2011,0,2
396,2011,0,1
400,2011,0,1
401,2011,0,5
403,2011,0,2
408,2011,1,1
409,2011,0,2
410,2011,0,4
431,2011,0,1
470,2011,0,1
473,2011,0,2
475,2011,0,2
479,2011,0,1
481,2011,0,1
482,2011,0,13
483,2011,1,3
505,2011,0,2
506,2011,0,1
543,2011,0,1
552,2011,0,4
555,2011,0,2
557,2011,0,5
560,2011,0,1
561,2011,0,3
586,2011,0,60
620,2011,0,1
630,2011,0,16
631,2011,0,3
634,2011,0,1
635,2011,0,6
636,2011,1,5
637,2011,0,3
638,2011,0,1
639,2011,0,1
655,2011,0,2
663,2011,0,9
664,2011,1,62
711,2011,0,1
713,2011,0,2
714,2011,0,1
715,2011,0,5
716,2011,0,2
717,2011,0,8
742,2011,3,8
792,2011,0,3
793,2011,0,6
794,2011,0,3
795,2011,0,2
796,2011,0,22
820,2011,11,31
821,2011,2,9
1158,2011,0,2
1240,2011,0,1
1241,2011,0,1
1325,2011,0,5
1326,2011,0,4
1409,2011,1,3
6,2012,0,3
7,2012,0,19
8,2012,0,7
14,2012,0,2
17,2012,0,2
19,2012,0,2
20,2012,0,1
27,2012,1,1
28,2012,0,1
31,2012,1,3
32,2012,1,1
36,2012,0,6
37,2012,0,13
50,2012,0,1
54,2012,0,6
55,2012,3,34
64,2012,0,1
78,2012,0,1
82,2012,0,2
83,2012,0,2
102,2012,0,1
116,2012,1,1
119,2012,0,1
147,2012,0,1
153,2012,0,4
166,2012,0,5
170,2012,0,2
171,2012,0,1
202,2012,0,3
203,2012,0,1
206,2012,0,4
209,2012,1,1
229,2012,0,2
230,2012,0,2
