lon,lat,total_count,state
-108.335,39.373,1,CO
-108.26,38.931,4,CO
-108.039,37.604,2,CO
-107.967,37.161,1,CO
-107.827,39.873,3,CO
-107.754,39.43,4,CO
-107.611,38.544,1,CO
-107.541,38.102,53,CO
-107.472,37.659,65,CO
-107.382,40.813,2,CO
-107.241,39.927,10,CO
-107.103,39.04,103,CO
-107.036,38.597,4,CO
-106.969,38.154,22,CO
-106.903,37.711,15,CO
-106.838,37.268,2,CO
-106.788,40.865,16,CO
-106.721,40.421,90,CO
-106.654,39.978,4,CO
-106.589,39.534,69,CO
-106.524,39.091,29,CO
-106.46,38.648,45,CO
-106.397,38.204,6,CO
-106.334,37.761,6,CO
-106.272,37.317,5,CO
-106.194,40.914,50,CO
-106.13,40.47,360,CO
-106.067,40.026,144,CO
-106.005,39.583,343,CO
-105.944,39.139,39,CO
-105.883,38.695,4,CO
-105.823,38.252,2,CO
-105.598,40.96,71,CO
-105.538,40.516,751,CO
-105.479,40.072,639,CO
-105.42,39.628,127,CO
-105.363,39.184,23,CO
-105.306,38.74,8,CO
-104.946,40.56,5,CO
-104.89,40.115,1,CO
-104.835,39.671,1,CO
-104.781,39.227,6,CO
-104.727,38.783,9,CO
-73.434,41.584,2,CT
-73.291,42.018,26,CT
-72.701,41.911,8,CT
-72.113,41.801,2,CT
-114.415,42.253,83,ID
-113.815,42.338,3,ID
-73.146,42.452,18,MA
-72.553,42.344,98,MA
-71.961,42.234,16,MA
-88.092,47.383,1,MI
-96.651,46.703,2,MN
-112.036,48.049,2,MT
-111.925,47.602,1,MT
-111.708,46.71,2,MT
-111.273,47.676,1,MT
-110.962,46.337,2,MT
-110.861,45.892,10,MT
-110.762,45.448,10,MT
-110.321,46.407,2,MT
-110.225,45.961,2,MT
-110.129,45.516,4,MT
-110.035,45.071,149,MT
-109.406,45.136,26,MT
-109.126,46.983,1,MT
-107.993,48.0,1,MT
-107.493,48.957,12,MT
-107.413,48.506,1,MT
-106.672,48.108,1,MT
-104.745,48.698,1,MT
-103.963,47.834,2,ND
-102.734,48.809,6,ND
-102.64,47.904,1,ND
-102.549,47.001,1,ND
-102.504,46.55,1,ND
-101.391,48.867,4,ND
-101.353,48.414,4,ND
-101.316,47.961,1,ND
-101.279,47.508,2,ND
-100.718,48.892,2,ND
-100.685,48.438,2,ND
-100.62,47.532,3,ND
-100.588,47.08,3,ND
-100.557,46.629,9,ND
-99.988,48.005,1,ND
-99.348,48.476,2,ND
-99.301,47.57,1,ND
-98.66,48.037,2,ND
-98.623,47.132,2,ND
-97.303,46.699,1,ND
-103.857,41.528,11,NE
-107.896,36.718,1,NM
-105.591,36.476,1,NM
-116.204,41.982,1,NV
-116.076,41.546,1,NV
-115.826,40.672,1,NV
-115.485,41.638,2,NV
-114.892,41.727,1,NV
-114.773,41.289,1,NV
-103.542,44.241,1,SD
-99.169,44.866,1,SD
-97.285,45.797,1,SD
-96.622,43.556,1,SD
-96.614,42.661,1,SD
-113.702,41.899,4,UT
-113.105,41.98,2,UT
-111.997,39.858,1,UT
-111.415,39.932,5,UT
-111.32,39.491,3,UT
-110.248,40.07,1,UT
-109.748,40.577,4,UT
-109.158,40.64,3,UT
-120.575,47.242,1,WA
-118.976,48.457,4,WA
-118.83,46.152,1,WA
-117.867,47.241,2,WA
-117.718,46.801,1,WA
-90.223,45.68,1,WI
-109.942,44.627,8,WY
-109.834,41.019,9,WY
-109.76,43.739,11,WY
-109.671,43.296,13,WY
-109.582,42.853,30,WY
-109.495,42.41,1,WY
-109.325,41.525,1,WY
-109.317,44.691,3,WY
-108.973,42.915,4,WY
-108.89,42.472,6,WY
-108.443,43.419,2,WY
-108.362,42.975,1,WY
-108.063,44.81,20,WY
-107.675,42.587,1,WY
-107.434,44.866,66,WY
-107.359,44.42,52,WY
-107.284,43.975,19,WY
-106.856,41.309,3,WY
-106.733,44.472,13,WY
-106.663,44.026,5,WY
-106.323,41.802,1,WY
-106.258,41.358,151,WY
-105.659,41.405,39,WY
-105.059,41.449,18,WY
-105.002,41.004,16,WY
-110.262,49.162,1,
-106.152,49.061,1,
-104.133,49.192,1,
-88.698,47.87,64,
