cell100,count,x100,y100,xi,yi,in_iucn,in_expanded,in_presence
1,0,-1975000,3210000,-20,32,FALSE,FALSE,FALSE
3,0,-2075000,3110000,-21,31,FALSE,FALSE,FALSE
4,0,-1975000,3110000,-20,31,FALSE,FALSE,FALSE
5,3,-1875000,3110000,-19,31,FALSE,TRUE,TRUE
6,55,-1775000,3110000,-18,31,TRUE,TRUE,TRUE
7,11,-1675000,3110000,-17,31,TRUE,TRUE,TRUE
8,13,-1575000,3110000,-16,31,TRUE,TRUE,TRUE
10,0,-2075000,3010000,-21,30,FALSE,FALSE,FALSE
11,0,-1975000,3010000,-20,30,FALSE,FALSE,FALSE
16,23,-1475000,3010000,-15,30,TRUE,TRUE,TRUE
17,28,-1375000,3010000,-14,30,TRUE,TRUE,TRUE
18,329,-1275000,3010000,-13,30,TRUE,TRUE,TRUE
12,0,-1875000,3010000,-19,30,FALSE,FALSE,FALSE
19,0,-1175000,3010000,-12,30,FALSE,FALSE,FALSE
26,0,-1975000,2910000,-20,29,FALSE,FALSE,FALSE
27,1,-1875000,2910000,-19,29,FALSE,FALSE,TRUE
30,260,-1575000,2910000,-16,29,TRUE,TRUE,TRUE
33,74,-1275000,2910000,-13,29,TRUE,TRUE,TRUE
37,13,-875000,2910000,-9,29,FALSE,FALSE,TRUE
39,1,-675000,2910000,-7,29,FALSE,FALSE,TRUE
47,0,125000,2910000,1,29,TRUE,TRUE,FALSE
24,0,-2175000,2910000,-22,29,FALSE,FALSE,FALSE
25,0,-2075000,2910000,-21,29,FALSE,FALSE,FALSE
28,0,-1775000,2910000,-18,29,FALSE,FALSE,FALSE
46,1,25000,2910000,0,29,TRUE,TRUE,TRUE
48,10,1925000,2910000,19,29,TRUE,TRUE,TRUE
51,0,-2175000,2810000,-22,28,FALSE,FALSE,FALSE
52,0,-2075000,2810000,-21,28,FALSE,FALSE,FALSE
57,137,-1575000,2810000,-16,28,TRUE,TRUE,TRUE
