cell50,n,x50,y50,in_range
1,0,-1950000,3185000,FALSE
2,0,-2100000,3135000,FALSE
3,0,-2000000,3135000,FALSE
4,0,-1950000,3135000,FALSE
5,0,-1900000,3135000,FALSE
6,1,-1850000,3135000,TRUE
7,11,-1800000,3135000,TRUE
8,5,-1750000,3135000,TRUE
9,0,-2100000,3085000,FALSE
10,0,-2050000,3085000,FALSE
11,0,-2000000,3085000,FALSE
12,0,-1950000,3085000,FALSE
13,0,-1900000,3085000,FALSE
14,2,-1850000,3085000,TRUE
15,4,-1800000,3085000,TRUE
16,35,-1750000,3085000,TRUE
17,9,-1700000,3085000,TRUE
18,2,-1650000,3085000,TRUE
19,7,-1600000,3085000,TRUE
20,6,-1550000,3085000,TRUE
21,0,-2100000,3035000,FALSE
22,0,-2050000,3035000,FALSE
23,0,-2000000,3035000,FALSE
24,0,-1950000,3035000,FALSE
25,0,-1900000,3035000,FALSE
26,0,-1850000,3035000,TRUE
27,7,-1800000,3035000,TRUE
28,8,-1750000,3035000,TRUE
29,4,-1700000,3035000,FALSE
30,4,-1650000,3035000,TRUE
31,4,-1600000,3035000,TRUE
32,14,-1550000,3035000,TRUE
33,5,-1500000,3035000,TRUE
34,4,-1450000,3035000,TRUE
35,3,-1400000,3035000,TRUE
36,15,-1350000,3035000,TRUE
37,47,-1300000,3035000,TRUE
38,3,2100000,3035000,TRUE
39,0,-2100000,2985000,FALSE
40,0,-2050000,2985000,FALSE
41,0,-2000000,2985000,FALSE
42,0,-1950000,2985000,FALSE
43,0,-1900000,2985000,FALSE
44,0,-1850000,2985000,TRUE
45,0,-1800000,2985000,TRUE
46,0,-1750000,2985000,TRUE
47,0,-1700000,2985000,FALSE
48,9,-1650000,2985000,TRUE
49,101,-1600000,2985000,TRUE
50,17,-1550000,2985000,TRUE
51,10,-1500000,2985000,TRUE
52,4,-1450000,2985000,TRUE
53,0,-1400000,2985000,TRUE
54,10,-1350000,2985000,TRUE
55,281,-1300000,2985000,TRUE
56,1,-1250000,2985000,TRUE
57,0,-1200000,2985000,FALSE
58,0,-1150000,2985000,FALSE
59,0,-1100000,2985000,FALSE
60,0,-1050000,2985000,FALSE
61,0,-1000000,2985000,FALSE
62,4,2000000,2985000,TRUE
63,10,2050000,2985000,TRUE
64,18,2100000,2985000,TRUE
65,6,2150000,2985000,TRUE
66,0,-2150000,2935000,FALSE
67,0,-2100000,2935000,FALSE
68,0,-2050000,2935000,FALSE
69,0,-2000000,2935000,FALSE
70,0,-1950000,2935000,FALSE
71,0,-1900000,2935000,FALSE
72,1,-1850000,2935000,FALSE
73,0,-1800000,2935000,FALSE
74,0,-1750000,2935000,FALSE
75,0,-1700000,2935000,FALSE
76,25,-1650000,2935000,TRUE
77,85,-1600000,2935000,TRUE
78,29,-1550000,2935000,TRUE
79,6,-1500000,2935000,TRUE
80,1,-1450000,2935000,TRUE
81,3,-1400000,2935000,TRUE
82,10,-1350000,2935000,TRUE
83,71,-1300000,2935000,TRUE
84,1,-1250000,2935000,TRUE
85,0,-1200000,2935000,FALSE
86,0,-1150000,2935000,FALSE
87,0,-1100000,2935000,FALSE
88,0,-1050000,2935000,FALSE
89,0,-1000000,2935000,FALSE
90,0,-950000,2935000,FALSE
91,0,-900000,2935000,FALSE
92,12,-850000,2935000,FALSE
93,0,-800000,2935000,FALSE
94,1,-750000,2935000,FALSE
95,0,-700000,2935000,FALSE
96,0,-650000,2935000,FALSE
97,1,-600000,2935000,FALSE
98,0,50000,2935000,TRUE
99,0,100000,2935000,TRUE
100,14,2000000,2935000,TRUE
101,8,2050000,2935000,TRUE
102,5,2100000,2935000,TRUE
103,13,2150000,2935000,TRUE
104,0,-2150000,2885000,FALSE
105,0,-2100000,2885000,FALSE
106,0,-2050000,2885000,FALSE
107,0,-2000000,2885000,FALSE
108,0,-1950000,2885000,FALSE
109,0,-1900000,2885000,FALSE
110,0,-1850000,2885000,FALSE
111,0,-1800000,2885000,FALSE
112,0,-1750000,2885000,FALSE
113,0,-1700000,2885000,FALSE
114,2,-1650000,2885000,FALSE
115,100,-1600000,2885000,TRUE
116,46,-1550000,2885000,TRUE
117,10,-1500000,2885000,TRUE
118,5,-1450000,2885000,TRUE
119,10,-1400000,2885000,TRUE
120,0,-1350000,2885000,TRUE
121,0,-1300000,2885000,TRUE
122,2,-1250000,2885000,TRUE
123,2,-1200000,2885000,FALSE
124,0,-1150000,2885000,FALSE
125,0,-1100000,2885000,FALSE
126,0,-1050000,2885000,FALSE
127,0,-1000000,2885000,FALSE
128,0,-950000,2885000,FALSE
129,0,-900000,2885000,FALSE
130,1,-850000,2885000,FALSE
131,0,-800000,2885000,FALSE
132,0,-750000,2885000,FALSE
133,0,-700000,2885000,FALSE
134,1,-650000,2885000,FALSE
135,0,-600000,2885000,FALSE
136,0,-550000,2885000,FALSE
137,6,-500000,2885000,FALSE
138,0,-450000,2885000,FALSE
139,4,-400000,2885000,FALSE
140,2,-350000,2885000,FALSE
141,1,-300000,2885000,TRUE
142,0,-250000,2885000,TRUE
144,0,-150000,2885000,TRUE
145,0,-100000,2885000,TRUE
146,1,-50000,2885000,TRUE
147,1,0,2885000,TRUE
148,0,50000,2885000,TRUE
149,0,100000,2885000,TRUE
150,10,1950000,2885000,TRUE
151,11,2000000,2885000,TRUE
152,27,2050000,2885000,TRUE
153,31,2100000,2885000,TRUE
154,9,2150000,2885000,TRUE
155,0,-2150000,2835000,FALSE
156,0,-2100000,2835000,FALSE
157,0,-2050000,2835000,FALSE
158,0,-2000000,2835000,FALSE
159,0,-1950000,2835000,FALSE
160,0,-1900000,2835000,FALSE
161,0,-1850000,2835000,FALSE
162,0,-1800000,2835000,FALSE
163,0,-1750000,2835000,FALSE
164,0,-1700000,2835000,FALSE
165,1,-1650000,2835000,FALSE
166,124,-1600000,2835000,TRUE
167,4,-1550000,2835000,TRUE
168,3,-1500000,2835000,TRUE
169,6,-1450000,2835000,TRUE
170,1,-1400000,2835000,TRUE
171,1,-1350000,2835000,TRUE
172,0,-1300000,2835000,TRUE
173,5,-1250000,2835000,TRUE
174,1,-1200000,2835000,FALSE
175,1,-1150000,2835000,FALSE
176,0,-1100000,2835000,FALSE
177,0,-1050000,2835000,FALSE
178,0,-1000000,2835000,FALSE
179,0,-950000,2835000,FALSE
180,1,-900000,2835000,FALSE
181,0,-850000,2835000,FALSE
182,1,-800000,2835000,FALSE
183,0,-750000,2835000,FALSE
184,0,-700000,2835000,FALSE
185,0,-650000,2835000,FALSE
186,0,-600000,2835000,FALSE
187,0,-550000,2835000,FALSE
188,0,-500000,2835000,FALSE
189,0,-450000,2835000,FALSE
190,4,-400000,2835000,FALSE
191,2,-350000,2835000,FALSE
192,0,-300000,2835000,FALSE
193,2,-250000,2835000,FALSE
194,1,-200000,2835000,TRUE
195,1,-150000,2835000,TRUE
196,0,-100000,2835000,TRUE
197,0,-50000,2835000,TRUE
198,1,0,2835000,TRUE
199,3,50000,2835000,TRUE
200,1,100000,2835000,TRUE
201,4,150000,2835000,TRUE
202,4,200000,2835000,TRUE
