"cell100","link_occ_intercept_mean","link_occ_intercept_q025","link_occ_intercept_q975","MWMT_effect_mean","MWMT_effect_q025","MWMT_effect_q975","MCMT_effect_mean","MCMT_effect_q025","MCMT_effect_q975","x","y","lon","lat"
1,-2.78629317338785,-12.3701472666808,6.29562877223222,1.07939326289525,-5.26876369701541,7.53787153763429,-5.2671928707036,-15.9146536355524,4.55853846362221,NA,NA,-123.169325592467,49.3418514172384
2,-3.09596330493661,-11.5640779238172,4.92027988272022,1.11013374266137,-4.4670191158545,6.74397394009419,-5.16170245820913,-14.4298649031853,3.34233642448502,NA,NA,-125.34278383401,47.9398318622962
3,-3.01400062794741,-10.7966251084476,4.20085467395026,1.10460739331934,-3.61202136081265,5.92092879412789,-5.23026178042635,-13.5649531630188,2.28949450404979,NA,NA,-124.072494736524,48.2097010749556
4,-2.78025619841053,-10.1352888650221,3.92061099188209,1.06711825624681,-2.80855566008238,5.07224200449837,-5.29020652060634,-13.0072855161816,1.58153491495356,NA,NA,-122.791789339332,48.4681839714966
5,-2.11897877613598,-9.12135887651116,3.90750753559569,0.848342848127685,-0.971816809196844,3.40880067882936,-5.14124431107593,-12.3441710137358,0.684136533594118,NA,NA,-121.501009306634,48.7151138832371
6,-0.791583950263667,-6.68867563997806,4.25855911375507,0.60169521171152,-0.314187849472344,1.45882291851635,-5.10810568799014,-12.4664389927587,3.43931659130416,NA,NA,-120.200515518212,48.950330479974
7,-2.86763368921918,-8.45016588037367,1.70482697278517,0.820909937626867,-1.68824230007343,3.4317911352827,-3.42174829067827,-9.17390121364249,2.74808622996017,NA,NA,-118.890692449359,49.173665496168
8,-2.39909905604286,-8.04062511379996,2.68861197765025,-0.671160653493724,-2.37880435753517,1.18009469966616,-1.34599840757718,-6.62992451998134,3.91110820336755,NA,NA,-117.57193502443,49.3849715064046
9,-3.19550185381067,-11.0307292734717,4.14167095752056,1.10481936381452,-3.88187891757121,6.16008897670017,-5.1031016436587,-13.4989408397806,2.48789343426123,NA,NA,-124.944602195595,47.0768315721678
10,-3.17525330358434,-10.3885521702265,3.46435250082465,1.13788775244269,-3.09168678304146,5.46448710705683,-5.20379188408998,-12.7701120213648,1.61306736974995,NA,NA,-123.689487635121,47.3423221219025
11,-3.19931498380102,-10.045720992962,2.95380616335996,1.23758102312405,-2.259119696898,4.87375020618258,-5.49142384166226,-12.3744104435478,0.650444805359583,NA,NA,-122.424349185026,47.5965515324135
12,-3.49510782143812,-10.1042785123893,2.0693471731129,1.56745075350857,-0.147373692152538,3.66048413449798,-6.43684134145734,-12.0376671676214,-1.42305782431812,NA,NA,-121.149526306278,47.839361849303
13,-1.6926438474952,-7.84138773969352,3.45940193362677,0.753981514264218,-0.656598109133037,3.39251612266755,-3.91107462323431,-9.02578993338815,1.2533007356698,NA,NA,-119.865365081081,48.0705979891592
14,-2.56223892648216,-7.64956539649903,1.91981363973347,2.07937366729957,-0.116929666350424,4.61199094908886,-0.815745887677222,-4.93018154413439,3.55448154702657,NA,NA,-118.572236234479,48.2901120225146
