"cell100","link_occ_intercept_mean","link_occ_intercept_q025","link_occ_intercept_q975","MWMT_effect_mean","MWMT_effect_q025","MWMT_effect_q975","MCMT_effect_mean","MCMT_effect_q025","MCMT_effect_q975","x","y","lon","lat"
1,-2.86704269990167,-12.7765709323617,6.05669964979723,1.06620805534626,-5.45513282005569,7.80566536566212,-5.02744138364861,-15.7459871344306,4.47371322405196,-1975000,3210000,-123.169325592467,49.3418514172384
2,-3.15135211521177,-11.9952172396219,4.62517427568505,1.11274754913209,-4.63898751729967,7.05963910491959,-4.96116856728628,-14.4021890130446,3.27177905373062,-2175000,3110000,-125.34278383401,47.9398318622962
3,-3.08332882194904,-11.1790314288764,3.8919137645622,1.10735210208793,-3.69560785299904,6.15613030918933,-4.99931506333269,-13.4148660790699,2.19438214504566,-2075000,3110000,-124.072494736524,48.2097010749556
4,-2.87171710287495,-10.5046315358333,3.64766171893411,1.06659428058908,-2.86355514563975,5.26539416170981,-5.01947685411569,-12.7702202144851,1.45180070892558,-1975000,3110000,-122.791789339332,48.4681839714966
5,-2.27870155463598,-9.38368748249397,3.69843655416094,0.858141905620711,-0.931657378486628,3.54650694579505,-4.78656401593107,-12.0203077302547,0.632270086966116,-1875000,3110000,-121.501009306634,48.7151138832371
6,-1.02206317633709,-7.21556466311349,3.99388041601071,0.59598441237412,-0.30606151191388,1.47660471320339,-4.5135071733452,-12.510094478532,3.70304368366443,-1775000,3110000,-120.200515518212,48.950330479974
7,-3.02617544853837,-8.88697203803114,1.41381148624543,0.791123853837758,-1.67485045979814,3.39002979867723,-3.17461998133464,-8.96289724876621,2.55308261050227,-1675000,3110000,-118.890692449359,49.173665496168
8,-2.47802450083177,-8.23068852524663,2.55580259905695,-0.667879007644696,-2.37978359655244,1.12447764806006,-1.26512784099492,-6.49817468574131,3.85852924145355,-1575000,3110000,-117.57193502443,49.3849715064046
9,-3.22249495635239,-11.3536421126072,3.80304194192609,1.10753114028556,-3.98809182526025,6.41161836045495,-4.93453472348383,-13.4855812539462,2.46336228400825,-2175000,3010000,-124.944602195595,47.0768315721678
10,-3.22311953114588,-10.7632409420507,3.18792803578882,1.13719123174808,-3.18873822193707,5.72411157108611,-5.01220131434168,-12.7391949925685,1.50761268007687,-2075000,3010000,-123.689487635121,47.3423221219025
