"cell100","link_occ_intercept_mean","link_occ_intercept_q025","link_occ_intercept_q975","MWMT_effect_mean","MWMT_effect_q025","MWMT_effect_q975","MCMT_effect_mean","MCMT_effect_q025","MCMT_effect_q975","x","y","lon","lat"
1,-2.92246302834553,-12.3692831956895,6.0314393760356,1.02676287989592,-5.1523928162622,7.40865621761441,-4.67005077968509,-15.2440767054345,4.53737904042085,-1975000,3210000,-123.169325592467,49.3418514172384
2,-3.20617735665303,-11.4745431709017,4.55072702598912,1.01036299297819,-4.44821810168873,6.66238081504533,-4.61250668882297,-13.829434135295,3.41175582903456,-2175000,3110000,-125.34278383401,47.9398318622962
3,-3.1369056457924,-10.7052918780329,3.88148198070623,1.02882340264189,-3.56262388629203,5.84205365103786,-4.64101801098802,-12.9022525459119,2.34099174534598,-2075000,3110000,-124.072494736524,48.2097010749556
4,-2.92901922775577,-10.1714461918479,3.74830640002926,1.0250272804234,-2.75215978748886,5.05172703698565,-4.6577349564203,-12.3757036642639,1.64982611068993,-1975000,3110000,-122.791789339332,48.4681839714966
5,-2.34074843966855,-9.23417224138272,3.96110379621836,0.908102707046972,-0.844782244099375,3.48378951914983,-4.38772801262902,-11.6418006893046,0.665962707997479,-1875000,3110000,-121.501009306634,48.7151138832371
6,-1.08735144528194,-7.01576928450126,4.25929577944794,0.642316589874983,-0.255472453724546,1.47620071112512,-3.87781504430912,-12.2024147902537,3.683719545371,-1775000,3110000,-120.200515518212,48.950330479974
7,-3.0576424384106,-8.47612922665072,1.54322106905785,0.737939119432464,-1.65951071571314,3.3282570485214,-2.90552246948124,-8.86272226972148,2.653676928514,-1675000,3110000,-118.890692449359,49.173665496168
8,-2.53349663863971,-7.99552831191,2.51723143751966,-0.674710690743367,-2.33363953330929,1.11205853082803,-1.09545413548418,-6.42230300557311,3.78281191998147,-1575000,3110000,-117.57193502443,49.3849715064046
9,-3.28366275773898,-10.8619202396681,3.7895507661609,1.00323378425394,-3.84489575947959,6.06182908350273,-4.59154656955938,-12.9660906400309,2.56187154819579,-2175000,3010000,-124.944602195595,47.0768315721678
10,-3.27698484729886,-10.2840144422823,3.17929148846589,1.03881864393737,-3.0976735854918,5.39243938296263,-4.67454749369982,-12.2602155204366,1.65684356119786,-2075000,3010000,-123.689487635121,47.3423221219025
11,-3.31454859783099,-10.0411380183344,2.78725484604951,1.14805826192018,-2.25854733759665,4.79794678882934,-4.93683051200857,-11.9027154430868,0.71565033148343,-1975000,3010000,-122.424349185026,47.5965515324135
12,-3.6292629112812,-10.1753758700784,2.05163595096527,1.4751803522735,-0.139648551510412,3.65027877427533,-5.85408308426739,-11.7830815308875,-0.317146084239303,-1875000,3010000,-121.149526306278,47.839361849303
13,-1.93185750710713,-7.7238443503336,3.26643873540635,0.737484657430776,-0.645663708093246,3.45299137495112,-3.40579070068055,-8.81194734721164,1.32362375306148,-1775000,3010000,-119.865365081081,48.0705979891592
14,-2.65211610218912,-7.55174045221162,1.77980539622985,1.86815153956943,-0.224802101075986,4.39440499092384,-0.54095568038075,-4.65720613823013,3.53167176597434,-1675000,3010000,-118.572236234479,48.2901120225146
15,-2.8478043404614,-6.94903437037338,1.08555076133181,1.35487229129285,0.103801675179193,2.56080266343541,0.820227980080767,-2.18918028201719,3.8025229390957,-1575000,3010000,-117.270533071915,48.4977609801067
16,-2.48470751190562,-6.92829617139787,1.61947238515509,-0.160966224788167,-1.73726686433358,1.45203191032299,-1.49147435290078,-4.9126820966837,1.53125835880127,-1475000,3010000,-115.960661041074,48.6933941718837
17,-2.60387065325912,-7.28917571859931,1.62099952666549,0.189683740372305,-1.19541620661817,1.53602567301037,-4.0507873504215,-8.54352895863658,0,-1375000,3010000,-114.643049676115,48.8768826533956
18,-1.28101373367159,-5.49835230597963,3.12374078792102,0.294078450299372,-0.819079617131638,1.47037228307019,-2.18172044158253,-6.55933979651791,1.5906414137129,-1275000,3010000,-113.318137223694,49.0480950400485
19,-1.47523221980358,-6.53712132486657,3.59596474138556,0.335750185124762,-3.20347860286556,3.95522346239464,-2.06292418804144,-7.93611333294476,3.39542081632585,-1175000,3010000,-111.986386874357,49.2069044582452
20,-1.60109813795583,-7.21302062087143,3.96459135964478,0.388854500875279,-3.8684351458877,4.73216821769451,-2.05610816177015,-8.66012474321745,4.09873774191986,-1075000,3010000,-110.648254645755,49.3531978006547
21,-1.70645303466276,-8.06660052072514,4.56736447461122,0.405959100417983,-4.5238909615653,5.47320776848926,-2.04481812470203,-9.52300169947356,5.0327550363993,-975000,3010000,-109.304253844539,49.4868615079761
22,-0.564509496662149,-6.18819411798814,5.2538858345748,1.0278536772305,-3.48401148794972,5.86355532193906,-1.43589167350213,-4.79263326861457,1.8378928784888,2025000,3010000,-68.9418484895862,47.4708524086458
23,-0.689802210379938,-6.43152229958256,5.08079498917929,1.74080463088555,-2.23143807400489,6.17852717769267,-1.08917363293457,-4.41579947693259,2.251390674676,2125000,3010000,-67.6816786508927,47.210973594439
24,-3.35662452347626,-10.5569578846039,3.30366126599045,0.950115223881004,-3.70747157356138,5.79752628186052,-4.48891795978151,-12.4560685109927,2.26398296462089,-2175000,2910000,-124.556771259415,46.2151445142847
25,-3.37675914117901,-10.0449523091012,2.73871247663258,0.982567566004558,-3.04462167433115,5.24386766660615,-4.53442069821905,-11.7624956837035,1.49391406566788,-2075000,2910000,-123.316508091049,46.476464425411
26,-3.42219401872612,-9.7899614254299,2.32986352371909,1.06139810346777,-2.49981275535004,4.8141929557172,-4.57440524842936,-11.3055675498655,0.931307574291467,-1975000,2910000,-122.066597318278,46.7266416222802
27,-3.43873415727381,-9.54414026678865,1.96889205875212,1.15743995270147,-1.9140270117565,4.50497498225744,-4.38784110650791,-10.4955738226325,0.669783139411824,-1875000,2910000,-120.807383290054,46.9655337435543
28,-3.03818666823322,-8.63747519906985,1.97713907287248,1.0730601821186,-1.80048040280129,4.23717831306074,-2.85362129852809,-8.26637990437056,1.88702357719506,-1775000,2910000,-119.539181916033,47.1929905096932
29,-3.04933015487095,-7.81753824009752,1.2215990975009,1.34658548499688,-1.00089483545068,3.96296976776039,-0.00384374134852612,-3.51360206503507,3.51556283028958,-1675000,2910000,-118.262362517152,47.4088723985633
