"cell100","link_occ_intercept_mean","link_occ_intercept_q025","link_occ_intercept_q975","MWMT_effect_mean","MWMT_effect_q025","MWMT_effect_q975","MCMT_effect_mean","MCMT_effect_q025","MCMT_effect_q975","x","y","lon","lat"
1,-3.90273084956162,-9.52867406163589,0.932452586645596,0.77152766511129,-1.65160902355894,3.30309580043584,-1.92378035297191,-7.64297394100239,3.52827046063813,-1975000,3210000,-123.169325592467,49.3418514172384
2,-3.91345535498833,-8.93708411622711,0.356556371056777,0.618947626969145,-1.52119909124771,2.8150676859334,-1.85624648805225,-6.93237862257465,2.97139169955441,-2175000,3110000,-125.34278383401,47.9398318622962
3,-3.91000851646473,-8.54481713773701,0.0158301587368451,0.667028641794831,-1.15820294898652,2.57608064622961,-1.87161111923503,-6.3016086341582,2.3103340281888,-2075000,3110000,-124.072494736524,48.2097010749556
4,-3.88873973948485,-8.25459345782916,-0.208235111396604,0.771162833381681,-0.76527617155381,2.42023664966814,-1.9218934663828,-5.86593366292954,1.69557519180138,-1975000,3110000,-122.791789339332,48.4681839714966
5,-3.83059963936171,-7.8727482009722,-0.310840725639235,0.968359256580455,-0.0241121521684258,2.18030985992301,-2.02407092688129,-5.36890983340323,0.377485103046349,-1875000,3110000,-121.501009306634,48.7151138832371
6,-2.96882261033729,-6.24670921401351,0.0483992585160406,0.68201714477068,0.0471583848466015,1.19423746961803,-0.548298137318662,-5.86153084435754,2.61927254575652,-1775000,3110000,-120.200515518212,48.950330479974
7,-4.07084932570729,-7.46889971537414,-1,0.539428478343872,-0.585772101654184,1.70092403430614,-1.21981678398777,-4.59478234005688,1.88809786420513,-1675000,3110000,-118.890692449359,49.173665496168
8,-3.313426546366,-6.9823967389898,-0.169230737681656,-0.0864255272186204,-1.34850034899392,1.37569927184539,-0.0537458649118469,-3.05782859645321,2.89745582112664,-1575000,3110000,-117.57193502443,49.3849715064046
9,-3.91207386133694,-8.57386835755603,0.049748126521858,0.570360813452473,-1.34985005806518,2.52925959626123,-1.81208161474131,-6.29722827986054,2.51448494628257,-2175000,3010000,-124.944602195595,47.0768315721678
10,-3.90935379927621,-8.23925456121355,-0.26042722786078,0.6084864643608,-1.06284894458253,2.32816318560363,-1.83750297778891,-5.84077301347814,1.97734817491977,-2075000,3010000,-123.689487635121,47.3423221219025
