"cell100","link_occ_intercept_mean","link_occ_intercept_q025","link_occ_intercept_q975","MWMT_effect_mean","MWMT_effect_q025","MWMT_effect_q975","MCMT_effect_mean","MCMT_effect_q025","MCMT_effect_q975","x","y","lon","lat"
1,-4.07828825753605,-9.63012759553837,0.96790442423716,0.793536692756423,-1.68729633371528,3.33904531462089,-1.96547366981634,-7.72381911374796,3.61009056118191,-1975000,3210000,-123.169325592467,49.3418514172384
2,-4.08956006916251,-9.03676779780582,0.377238489910309,0.636509304300886,-1.55605514000359,2.85304352539647,-1.89903151284208,-6.99461881045636,3.05569922770453,-2175000,3110000,-125.34278383401,47.9398318622962
3,-4.08585771670992,-8.6310309071117,0.0279740194226556,0.686924588308339,-1.19001270372535,2.60831544964908,-1.91259745758528,-6.37592669826284,2.38731529935182,-2075000,3110000,-124.072494736524,48.2097010749556
4,-4.06423740282044,-8.34028927568227,-0.212601109707788,0.794232750688677,-0.781677962051057,2.4459376582842,-1.96320822341105,-5.92343489453993,1.74367862872258,-1975000,3110000,-122.791789339332,48.4681839714966
5,-4.00570924411959,-7.9434812918977,-0.32319950124257,0.998704895835547,-0.012672740492803,2.20087533987646,-2.06446141762508,-5.42126635730116,0.410763869963495,-1875000,3110000,-121.501009306634,48.7151138832371
6,-3.10201792871329,-6.30692417045121,0.0583336612885347,0.708508777014832,0.140311087530165,1.20230836375541,-0.519184859951335,-5.9072604948141,2.67144373473932,-1775000,3110000,-120.200515518212,48.950330479974
7,-4.25671712156104,-7.52967305117611,-1.20128527518433,0.553335645365131,-0.600157891260056,1.7153699199575,-1.22490001634706,-4.64418114907521,1.95463598951017,-1675000,3110000,-118.890692449359,49.173665496168
8,-3.4690524461344,-7.04551009013134,-0.174580944346592,-0.0883600282724608,-1.36873131368847,1.40001511111706,-0.0392913437808592,-3.10162257588063,2.93501930149993,-1575000,3110000,-117.57193502443,49.3849715064046
9,-4.08820668790369,-8.65711978803677,0.0597234170667204,0.58657623013207,-1.37653204816146,2.55677740438498,-1.85251430465464,-6.36362922388316,2.5896700515197,-2175000,3010000,-124.944602195595,47.0768315721678
10,-4.08549215262215,-8.3108678959449,-0.25697564995069,0.626479828940966,-1.08360465573985,2.35495574916391,-1.87783383700194,-5.89890551510126,2.03143378348327,-2075000,3010000,-123.689487635121,47.3423221219025
11,-4.08229025102133,-8.05648973878885,-0.477413866562981,0.70039310724541,-0.7696939227692,2.23410031915264,-1.90421639248793,-5.48944558455376,1.56442993006237,-1975000,3010000,-122.424349185026,47.5965515324135
12,-4.03414598340444,-7.74807529419414,-0.597781651536294,0.80970639921114,-0.414524888969583,2.10356748344926,-1.80612875755384,-4.95517132442904,1.21883341030453,-1875000,3010000,-121.149526306278,47.839361849303
