"cell100","link_occ_intercept_mean","link_occ_intercept_q025","link_occ_intercept_q975","MWMT_effect_mean","MWMT_effect_q025","MWMT_effect_q975","MCMT_effect_mean","MCMT_effect_q025","MCMT_effect_q975","x","y","lon","lat"
1,-4.68618588703898,-10.1823970533204,0.62514818528868,0.807908705415153,-1.76125035560159,3.47733877389078,-1.698443360187,-7.62373114866631,4.06288578349728,NA,NA,-123.169325592467,49.3418514172384
2,-4.67428000455967,-9.44628301986065,0.00724215952478327,0.63154529267149,-1.64869033623022,2.96306572130448,-1.67078731544466,-6.896586783691,3.39263715080745,NA,NA,-125.34278383401,47.9398318622962
3,-4.67368466227194,-8.98865564850662,-0.432784509212681,0.685493970787286,-1.27354641689182,2.71712957268694,-1.69096146400983,-6.26326284233576,2.64856811346477,NA,NA,-124.072494736524,48.2097010749556
4,-4.67287524839764,-8.73599179299316,-0.690528627576782,0.803851341530279,-0.852961720792074,2.55935363946609,-1.70164690838727,-5.7107672195496,2.05660568534573,NA,NA,-122.791789339332,48.4681839714966
5,-4.66720199347324,-8.42515944371439,-0.940918567605645,1.02308938203805,-0.0461151025308389,2.30009169083187,-1.75622327785095,-5.00150921099361,0.595537582273826,NA,NA,-121.501009306634,48.7151138832371
6,-3.64287944115693,-6.64789848771457,-0.336533481552614,0.739566639129459,0.240073617345835,1.24876239650674,0.117323366576144,-5.06791730571395,2.98463104357667,NA,NA,-120.200515518212,48.950330479974
7,-4.8009161991731,-7.73511462007727,-1.76107045011849,0.524117069523971,-0.702724148947746,1.79395987289781,-0.849288117426785,-4.31607186411816,2.08543526898774,NA,NA,-118.890692449359,49.173665496168
8,-3.95671695217163,-7.29388255332922,-0.617762083722206,-0.123073062780448,-1.45164694539798,1.4421887362739,0.236004133405808,-3.00881949490911,3.14811826039826,NA,NA,-117.57193502443,49.3849715064046
9,-4.66819681878397,-9.01085640621095,-0.415812828277997,0.578454081131008,-1.47732013493521,2.68162019562463,-1.65804569129557,-6.35370864307752,2.88526378691145,NA,NA,-124.944602195595,47.0768315721678
10,-4.67361773942857,-8.65841885441404,-0.754139814198435,0.617254183974788,-1.15839283844375,2.46870264315217,-1.67370419039172,-5.84055635937828,2.28119940530216,NA,NA,-123.689487635121,47.3423221219025
11,-4.68284296396643,-8.41460686147183,-1.01789262890639,0.691940180815415,-0.855245827030721,2.30702428741711,-1.67919355538505,-5.37627332238099,1.78784620786978,NA,NA,-122.424349185026,47.5965515324135
12,-4.65126123748442,-8.09973890958898,-1.19096679456871,0.804647372665141,-0.479737069281641,2.17795805856296,-1.53275260222166,-4.79569513171073,1.44522995602813,NA,NA,-121.149526306278,47.839361849303
13,-4.32945532869892,-7.28103822766192,-1.15700345056249,0.904485073194022,0.0129807727276601,1.94472111153053,-0.529592589794578,-3.26604589371805,1.90732204293305,NA,NA,-119.865365081081,48.0705979891592
14,-3.90906532552451,-6.67939822419523,-1.03235979169003,0.889547106409581,-0.214322693427281,2.08076629834639,0.957738043939973,-1.46797067045705,3.30006834611422,NA,NA,-118.572236234479,48.2901120225146
15,-4.06826909018921,-6.82006666481613,-1.29222638571611,0.967186180324799,0.190422265007648,1.82605246690637,1.43197148855176,-0.598525443505444,3.4329726454609,NA,NA,-117.270533071915,48.4977609801067
16,-3.8144361628958,-6.53145157587132,-1.15130549863259,0.00879528381138913,-0.960606158604589,1.03773302017418,-0.476361639454617,-2.7678893971462,1.69219361452898,NA,NA,-115.960661041074,48.6933941718837
17,-4.04506040263256,-6.61031295709275,-1.50593454402843,0.113192449289738,-0.679650410132068,0.922260155303796,-1.86347112013234,-4.64975671306122,0.754198086221401,NA,NA,-114.643049676115,48.8768826533956
18,-3.42872980177008,-5.99289373358987,-1.04044118176004,0.114566868815084,-0.607035266456436,0.81973112875776,-0.804659863328724,-3.48829493829968,1.78499062217075,NA,NA,-113.318137223694,49.0480950400485
19,-3.70212593858682,-6.51459324173381,-1.01922495126005,-0.165156680712932,-1.60730726631711,1.24326492214824,-0.642843182158916,-3.88388626404046,2.61603626743313,NA,NA,-111.986386874357,49.2069044582452
20,-4.24448063560852,-6.97171911067435,-1.75116272159665,-0.385356129506953,-2.03039661459065,1.16871584164529,-0.418509829046592,-3.72136148623314,3.01102944127478,NA,NA,-110.648254645755,49.3531978006547
