"cell50","year","mu_mean","mu_q025","mu_q975","lon","lat"
6,2008,0.00591224444769176,0.00118040352335345,0.0133165649148359,-121.265128723774,48.994555393664
7,2008,0.0157522646082616,0.00781023284022195,0.0297760785156908,-120.612805474797,49.1126837672064
8,2008,0.00510922832949574,0.00175059110315839,0.0151743549732666,-119.958104358564,49.2278348396007
14,2008,0.00970383369331441,0.00206643885613938,0.0216511730535189,-121.089036419193,48.555629878705
15,2008,0.0584152519115235,0.0339414140590196,0.0904066921187125,-120.440842673788,48.672733234681
16,2008,0.0777354668230875,0.0410575828405527,0.132949110083153,-119.790313872131,48.7868865773491
17,2008,0.031538334976825,0.014621469457328,0.0590904464495544,-119.137500463454,48.8980721978474
18,2008,0.0281222467359973,0.0120443917135178,0.0575531570233027,-118.482453966982,49.0062653448723
19,2008,0.0548370046648432,0.0226893532278953,0.107475901316993,-117.825219759276,49.1114538833663
20,2008,0.0392369919237471,0.0128767429103889,0.0948864257047474,-117.165854351124,49.213617147949
27,2008,0.0508454572669025,0.0252116392577986,0.0976181509511365,-120.27121456213,48.2333626190998
28,2008,0.0701950669411441,0.0315320522539821,0.12904073336536,-119.624814650583,48.3465402327626
29,2008,0.135256520170937,0.069421541624367,0.232018665004063,-118.976175551119,48.4567680841763
30,2008,0.171719992225104,0.0937286936415765,0.282976092555619,-118.325346401563,48.564029742441
31,2008,0.187988546566571,0.132999167061445,0.258608067956671,-117.672375597358,48.6683051194705
32,2008,0.111769645330189,0.0695530685107974,0.174263735094571,-117.017316446554,48.7695743758115
33,2008,0.0858568993772998,0.0494666514138773,0.140511809457139,-116.360221072417,48.8678199767522
34,2008,0.0806305683685658,0.0377543032878039,0.142174370218673,-115.701143087202,48.9630258969627
35,2008,0.047492182687227,0.0286909822178848,0.0749425865266877,-115.040136094933,49.0551758980945
36,2008,0.0371288745338731,0.0221766617803793,0.0578719364564107,-114.377255928809,49.1442541785679
37,2008,0.0281307498801803,0.014459024967558,0.0402319237843442,-113.712561201883,49.2302453010975
38,2008,0.029124999763394,0.00698180236891745,0.0725295033085823,-67.9000250105137,47.4934264776634
48,2008,0.304063118818561,0.134725471289376,0.571276594336117,-118.170381383063,48.1224031571419
49,2008,0.261867541907071,0.168181045641789,0.378439905439449,-117.521623369245,48.2257868101742
50,2008,0.186814239689109,0.12745144038772,0.259686402298042,-116.870816677498,48.3261864091953
51,2008,0.0839758443285273,0.047006740960827,0.139057895050419,-116.218015973647,48.4235822996474
52,2008,0.0870350460560807,0.051755635923708,0.136579107310149,-115.56326990492,48.5179625451974
54,2008,0.0642875210607358,0.0388367855584992,0.103426759783739,-114.248169681455,48.6976058532625
55,2008,0.108631288640508,0.0763968168949823,0.164333605426859,-113.587922894349,48.7828372654218
56,2008,0.0530788040510226,0.0195014723224615,0.11252134077152,-112.925954282071,48.8649870003599
60,2008,0.0286002794699304,0.00552113400850632,0.0800063919214981,-110.262024903585,49.1624886658511
62,2008,0.376692445321453,0.175277457141941,0.667213778105541,-69.3497434925368,47.3166834397276
63,2008,0.469461921683583,0.215958635446038,0.860613932966784,-68.7190892921395,47.190084100331
64,2008,0.486893492349863,0.252586412354224,0.812654045674393,-68.0908928553389,47.0606651056672
65,2008,0.112179906099602,0.0383325574527895,0.20291359362332,-67.4651983439585,46.9284486236964
72,2008,0.0104304476649678,0.00150763255510119,0.0306242918003927,-120.574861976244,47.2420031643778
76,2008,0.155893266406354,0.0854815221925874,0.250737944675843,-118.017514067676,47.68134777365
77,2008,0.15383482466621,0.0968937991188043,0.225638535735271,-117.372920136676,47.7838610764382
78,2008,0.233373513656237,0.154699303074922,0.334965863782735,-116.726314268227,47.8834122922538
79,2008,0.156024037098936,0.0919915029961643,0.24113841169009,-116.077755087246,47.9799818698788
80,2008,0.165066048609177,0.103389605344827,0.249159040637978,-115.427287835665,48.0735557608927
81,2008,0.051825862441189,0.0261019688340168,0.0933748750723395,-114.774974410224,48.1641173770118
82,2008,0.0488485025630479,0.0277191218908889,0.0807918933079932,-114.120865028685,48.2516520248398
83,2008,0.17063188337612,0.111782872025698,0.247888947515489,-113.465009639246,48.3361436908319
84,2008,0.0715260666069224,0.0356273776408735,0.133007820878135,-112.807466634735,48.4175783877576
92,2008,0.0290838158119972,0.0135958631603173,0.0557007423776041,-107.493395159889,48.9573499576627
94,2008,0.062552084132222,0.00958159432777309,0.185981405995763,-106.152156667735,49.0608164945375
97,2008,0.22892299809983,0.0141410944522853,0.912244591175845,-104.132855499805,49.1920783173635
100,2008,0.640158372817534,0.402849959098576,0.937818126190051,-69.5305289572354,46.8822366835495
101,2008,0.650035882403158,0.411755684841556,0.949059419147008,-68.9036837191155,46.7566505633992
102,2008,0.345383557093394,0.209057591060003,0.530914412596244,-68.2792539113464,46.6282572225885
103,2008,0.157228365616644,0.0888490291829566,0.23367043433913,-67.6572724385743,46.4970843359059
114,2008,0.150852897865787,0.0747330995391449,0.263077120001316,-117.866704919148,47.2408178782891
115,2008,0.29486458675678,0.185587762235822,0.423138232193668,-117.226219771308,47.3424850688003
116,2008,0.261668324414914,0.181141578223773,0.355920979640386,-116.583766817315,47.4412092581095
117,2008,0.135575712441201,0.0824386150259404,0.207085102590818,-115.939397629601,47.5369728113951
118,2008,0.15370323689894,0.0976886537570268,0.229453365103763,-115.293161243123,47.6297603798853
119,2008,0.0487443411923302,0.0229783259558032,0.0970114766609047,-114.645111768531,47.7195572370623
122,2008,0.116975021137794,0.0719553549568847,0.180531931344767,-112.690610518949,47.9708590123778
123,2008,0.0711820857519958,0.0160064191265113,0.192336838529649,-112.035840782544,48.048549086942
130,2008,0.0319717500537966,0.0106996888649124,0.0774970733456482,-107.412587066948,48.505935287017
134,2008,0.213749241614279,0.0238995261692027,0.724302913773877,-104.744703388572,48.6983867024283
137,2008,0.288282413002878,0.0964227738604722,0.619557640700782,-102.734451266843,48.8093776896219
139,2008,0.150946928181268,0.0527093567877017,0.322639105796252,-101.390806404747,48.8673844104542
140,2008,0.172921570860756,0.0541491114762274,0.391121066475966,-100.718143786867,48.8915713891201
141,2008,0.0820104779787073,0.00840259388517954,0.268021931638556,-100.04500567428,48.9125444540545
146,2008,0.06399171127529,0.00425997458361673,0.21828579588139,-96.6745640527728,48.9690518567947
147,2008,0.0628939872992414,0.00452625733568025,0.210167910240581,-96.0000064893933,48.9706680856778
150,2008,0.150517323828182,0.0472195577142268,0.319353292257715,-70.3343511214951,46.5699500753741
151,2008,0.631437628460991,0.402429704433444,0.923524512731221,-69.7089436445446,46.4481548004831
152,2008,0.610806186012726,0.395414293605665,0.874462078350389,-69.0858685956939,46.3235551326322
153,2008,0.312980976601238,0.208584696501578,0.445865815056553,-68.4651588887034,46.1961684346516
154,2008,0.210460734341049,0.126817244943551,0.321061739969749,-67.8468570793633,46.0660136069417
165,2008,0.0315548930263203,0.00987967288422774,0.0682758083744486,-117.71791068899,46.8007779901175
166,2008,0.14587996338909,0.100003372904865,0.198504404467157,-117.081487575634,46.9016186184269
167,2008,0.195169024767108,0.124084342434559,0.294803431405119,-116.443136033377,46.9995353119642
168,2008,0.0864805289732522,0.0419992937527672,0.15424386153614,-115.802904751804,47.094512472278
169,2008,0.107444712859156,0.0568255049624668,0.184042741374818,-115.160845736921,47.1865339418036
170,2008,0.0116276160119123,0.00450756177886579,0.0194744855412547,-114.517008587968,47.2755858069188
171,2008,0.019681122745635,0.0100660873944194,0.0325656011425032,-113.871445050628,47.3616548062373
173,2008,0.155395098801986,0.0786891399644752,0.285323068270748,-112.575350261847,47.5247839547667
174,2008,0.0211584581058277,0.00489548069336564,0.0588873280337238,-111.924928927009,47.6018169236374
175,2008,0.0265362650672834,0.00695194324932453,0.0678620032919877,-111.27299749329,47.6758117659898
180,2008,0.0325110565187398,0.00579518319359219,0.106193535419413,-107.992691893929,47.9997729188431
182,2008,0.0666562797956211,0.00972550019163167,0.202567529234676,-106.672031972892,48.1076757168689
190,2008,0.0935916571465235,0.0373357810891641,0.178184744827845,-101.352891440655,48.4135621124951
191,2008,0.0962239887355452,0.0332631344544381,0.199161015029663,-100.684939981041,48.4375354833297
193,2008,0.421273844406579,0.0739936586009628,1.16130817903338,-99.3477157576692,48.4759171103027
194,2008,0.170387106995374,0.0397136452022375,0.43867398831978,-98.6785717942889,48.4903184128158
195,2008,0.154579642372974,0.0358918797268004,0.398335562321298,-98.0091610849095,48.5015216972278
198,2008,0.165380587619509,0.050946697787573,0.362985946873867,-96.0000039201961,48.5159308092361
199,2008,0.107942057443928,0.0327356896685059,0.240697276260172,-95.3301960390057,48.5143309353046
200,2008,0.105336788484245,0.0352570303194352,0.222774364596499,-94.6604508757051,48.5095282213004
201,2008,0.0903697945336129,0.0296104623060133,0.195338419266457,-93.9908380770121,48.5015239659039
202,2008,0.0345207937958843,0.0145927631609431,0.0681444206516399,-93.3214253392893,48.4903201870313
203,2008,0.0485954389232447,0.0204951963630829,0.0941857176658262,-92.6522759066935,48.475915935041
204,2008,0.0592022930986995,0.027282445895716,0.100554864122953,-91.9834602721287,48.4583175724916
205,2008,0.0605282703162375,0.0179981376430741,0.101996208460577,-90.6471165275859,48.4135638055177
206,2008,0.169732428625949,0.108941581722062,0.234584305781594,-88.6466915320881,48.3225626176597
207,2008,0.0800936029841741,0.0267777067623161,0.172308388031199,-70.506668638906,46.1352523753917
208,2008,0.503390885157658,0.351833714689402,0.674108212643902,-69.8850338348487,46.0144072259477
209,2008,0.593720963565432,0.414113240382508,0.806713565068918,-69.2656832950739,45.8907710876627
210,2008,0.492145705436765,0.278329205396101,0.78239266003841,-68.6486564041498,45.7643644904214
211,2008,0.194092448945975,0.111149993659367,0.308102360367165,-68.0339922602737,45.6352042746021
212,2008,0.170821694888436,0.0939107887060289,0.28179796608053,-67.4217284444601,45.5033085389255
222,2008,0.00924178569740953,0.000602405166208198,0.0330299390026646,-118.830049766138,46.152469381733
223,2008,0.0331143593324931,0.012169723198908,0.0708720650017565,-118.201563406335,46.2582657048174
225,2008,0.11598080455522,0.0655188494419547,0.188755690198034,-116.938683807989,46.461222370979
226,2008,0.13018259360575,0.0915173024597341,0.181789055241434,-116.304384196972,46.5583517046871
227,2008,0.0750151979736857,0.0264196873175176,0.157955111009364,-115.668241638533,46.6525615767592
228,2008,0.118774451773696,0.0596434335238396,0.211549094358854,-115.030306303664,46.7438354709386
229,2008,0.0140254172043609,0.00735806713913988,0.0207821916359778,-114.390629531162,46.832160286886
230,2008,0.0175280600716053,0.00978275813859847,0.0257038676085687,-113.749260122114,46.9175251022855
232,2008,0.192289751278496,0.110188466556234,0.317959992953438,-112.461655084182,47.0793087013163
245,2008,0.0966059789009943,0.0201566622186644,0.25569733731688,-103.962894873036,47.8339743825041
