file,dir,token,chain,nrow,ncol,iter_total,n_boundaries,boundary,node,pre,post,init,exact_init,stuck_runlen,abs_jump,within_round_sd,jump_in_sd,status,note
/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf/chain_grey_wolf_2.RDS,/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf,grey_wolf,2,400000,2758,4e+05,39,10000,det_intercept,0.076121166,0.5,0.5,TRUE,5,0.423879,0.0158815,26.69,CHECKED,
/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf/chain_grey_wolf_2.RDS,/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf,grey_wolf,2,400000,2758,4e+05,39,10000,intercept_tau,0.0041786387,4423.3379,0.3,FALSE,1,4423.33,0.00646995,683670,CHECKED,
/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf/chain_grey_wolf_2.RDS,/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf,grey_wolf,2,400000,2758,4e+05,39,10000,overdisp_inat,3.3846489,0.1,0.1,TRUE,1,3.28465,0.973369,3.3745,CHECKED,
/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf/chain_grey_wolf_2.RDS,/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf,grey_wolf,2,400000,2758,4e+05,39,10000,theta0,-1.6457192,-5.2527146,-5,FALSE,1,3.607,1.06664,3.3816,CHECKED,
/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf/chain_grey_wolf_2.RDS,/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf,grey_wolf,2,400000,2758,4e+05,39,10000,theta1,-0.17669488,0.61745811,1,FALSE,2,0.794153,0.0616275,12.886,CHECKED,
/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf/chain_grey_wolf_2.RDS,/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf,grey_wolf,2,400000,2758,4e+05,39,10000,year_beta,-0.73065266,-1.0427142,0,FALSE,3,0.312062,0.385834,0.8088,CHECKED,
/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf/chain_grey_wolf_2.RDS,/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf,grey_wolf,2,400000,2758,4e+05,39,10000,year_var,2.0293956,0,0,TRUE,5,2.0294,0.848755,2.391,CHECKED,
/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf/chain_grey_wolf_2.RDS,/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf,grey_wolf,2,400000,2758,4e+05,39,10000,MWMT_tau,0.01063288,4393.5785,0.3,FALSE,1,4393.57,4.6525,944.35,CHECKED,
/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf/chain_grey_wolf_2.RDS,/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf,grey_wolf,2,400000,2758,4e+05,39,10000,MCMT_tau,0.029694957,4613.1796,0.3,FALSE,1,4613.15,0.0340949,135300,CHECKED,
/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf/chain_grey_wolf_2.RDS,/rsstu/users/j/jkpacifi/NSFiSDMs/Arielle_iSDM_temporal/integrated_code/Temporal_trend_final/HPC/Poor_mixing/grey_wolf,grey_wolf,2,400000,2758,4e+05,39,20000,det_intercept,0.095573761,0.5,0.5,TRUE,1,0.404426,0.0360899,11.206,CHECKED,
