"rep","status","abundance","scenario","occ_shift","count_log_mult","bias_all","rmse_all","coverage_all","frac_sign_correct","sigma_region_mean","sigma_region_lb","sigma_region_ub","waic_primary","waic_national","waic_diff","elapsed_sec","est_EASTERN.TEMPERATE.FORESTS","est_GREAT.PLAINS","est_MARINE.WEST.COAST.FOREST","est_MEDITERRANEAN.CALIFORNIA","est_NORTH.AMERICAN.DESERTS","est_NORTHERN.FORESTS","est_NORTHWESTERN.FORESTED.MOUNTAINS","est_WATER","err_EASTERN.TEMPERATE.FORESTS","err_GREAT.PLAINS","err_MARINE.WEST.COAST.FOREST","err_MEDITERRANEAN.CALIFORNIA","err_NORTH.AMERICAN.DESERTS","err_NORTHERN.FORESTS","err_NORTHWESTERN.FORESTED.MOUNTAINS","err_WATER","cov_EASTERN.TEMPERATE.FORESTS","cov_GREAT.PLAINS","cov_MARINE.WEST.COAST.FOREST","cov_MEDITERRANEAN.CALIFORNIA","cov_NORTH.AMERICAN.DESERTS","cov_NORTHERN.FORESTS","cov_NORTHWESTERN.FORESTED.MOUNTAINS","cov_WATER","info_cam_detections_total","info_cam_det_per_site","info_inat_count_total","info_inat_count_per_cell","info_n_site","info_n_cell50"
1,"ok","bobcat_baseline","null",0,0,0.00435931109305227,0.0332275725720819,1,NA,0.142227840564174,0.0130434280790282,0.545085492853144,3060.96579390657,3048.53071516105,-12.4350787455237,2345.71098089218,0.0188868983339893,0.0259656425618119,0.00320812908015965,0.0104555514689935,-0.0675901855731197,0.0304923091327498,-0.0256237785948736,0.0390799223347072,0.0188868983339893,0.0259656425618119,0.00320812908015965,0.0104555514689935,-0.0675901855731197,0.0304923091327498,-0.0256237785948736,0.0390799223347072,1,1,1,1,1,1,1,1,211,0.302292263610315,978,4.52777777777778,698,216
2,"ok","bobcat_baseline","null",0,0,-0.00844183767096619,0.0379848486999522,1,NA,0.139119853009294,0.00438908508446594,0.544313204771676,2992.84829399415,2976.34392739745,-16.5043665967037,2290.55913376808,-0.055023685113468,-0.0243128904208283,-0.00371984176638646,0.0716659366493852,-0.0150412584225874,0.0181692075577786,-0.0448227396876674,-0.0144494301639558,-0.055023685113468,-0.0243128904208283,-0.00371984176638646,0.0716659366493852,-0.0150412584225874,0.0181692075577786,-0.0448227396876674,-0.0144494301639558,1,1,1,1,1,1,1,1,198,0.283667621776504,983,4.55092592592593,698,216
3,"ok","bobcat_baseline","null",0,0,0.00497585646209225,0.197851402270062,1,NA,0.350897355407581,0.0838458019732178,0.959560545668276,2938.15354489465,2936.41927142948,-1.73427346516837,1747.13030838966,0.399606192765921,0.086530122966128,0.165974351202602,-0.111010982698399,-0.0141266781438385,-0.0771195664943314,-0.294191201101235,-0.115855386800109,0.399606192765921,0.086530122966128,0.165974351202602,-0.111010982698399,-0.0141266781438385,-0.0771195664943314,-0.294191201101235,-0.115855386800109,1,1,1,1,1,1,1,1,205,0.293696275071633,908,4.2037037037037,698,216
4,"ok","bobcat_baseline","null",0,0,-0.00410538693407027,0.0286031271194599,1,NA,0.105310841359679,0.00299118695084864,0.368440038018366,2919.99264673902,2904.54485308902,-15.4477936499993,2239.20043730736,0.0157143790942758,0.000578525537503591,0.0523172388140911,-0.0138535745551598,-0.00664635085854303,-0.0124744467769967,-0.0139372629797746,-0.0545416037479585,0.0157143790942758,0.000578525537503591,0.0523172388140911,-0.0138535745551598,-0.00664635085854303,-0.0124744467769967,-0.0139372629797746,-0.0545416037479585,1,1,1,1,1,1,1,1,196,0.28080229226361,931,4.31018518518519,698,216
5,"ok","bobcat_baseline","null",0,0,-0.00975351337730882,0.14358957341156,1,NA,0.335766679606493,0.0458400316742876,1.01207142890048,3070.00441457155,3056.61232416421,-13.3920904073389,1866.76291370392,0.109353119147596,0.0434169085564041,0.195310683974888,0.0658888257366487,-0.12633781332633,-0.144283968978426,0.0431467993208347,-0.264522661450086,0.109353119147596,0.0434169085564041,0.195310683974888,0.0658888257366487,-0.12633781332633,-0.144283968978426,0.0431467993208347,-0.264522661450086,1,1,1,1,1,1,1,1,239,0.342406876790831,751,3.47685185185185,698,216
6,"ok","bobcat_baseline","null",0,0,-0.003863827771239,0.0406133492716238,1,NA,0.168975580354635,0.00865863142630309,0.514940341686358,2994.84678975756,2988.14445848415,-6.70233127341271,2047.30156970024,0.0195902111209718,-0.033209020395968,0.0785087294313654,-0.0592500106157934,-0.00732320183851253,0.00930462475678651,-0.0432679799324907,0.00473602530372884,0.0195902111209718,-0.033209020395968,0.0785087294313654,-0.0592500106157934,-0.00732320183851253,0.00930462475678651,-0.0432679799324907,0.00473602530372884,1,1,1,1,1,1,1,1,213,0.305157593123209,977,4.52314814814815,698,216
7,"ok","bobcat_baseline","null",0,0,0.00337778443220287,0.060991353916745,1,NA,0.229133641586166,0.039281662840399,0.668781727305696,2902.60682855292,2917.40658563947,14.7997570865427,2768.37020874023,-0.0503120386274789,0.0763372205241127,0.0622418486581193,-0.00915716417877855,-0.0551914873844181,0.0780835215538843,-0.0898772130581966,0.0148975879703787,-0.0503120386274789,0.0763372205241127,0.0622418486581193,-0.00915716417877855,-0.0551914873844181,0.0780835215538843,-0.0898772130581966,0.0148975879703787,1,1,1,1,1,1,1,1,222,0.318051575931232,942,4.36111111111111,698,216
8,"ok","bobcat_baseline","null",0,0,0.00721256389405453,0.0821028878716267,1,NA,0.208772840558125,0.0288866274813719,0.59653906979226,3094.26483891014,3096.49128497783,2.22644606768608,2415.82650518417,-0.0111017210709424,0.0492439712160925,0.0812872633483341,0.00196198693385755,-0.184038620790858,-0.0234161735888966,0.0746059739877704,0.0691578311170788,-0.0111017210709424,0.0492439712160925,0.0812872633483341,0.00196198693385755,-0.184038620790858,-0.0234161735888966,0.0746059739877704,0.0691578311170788,1,1,1,1,1,1,1,1,245,0.351002865329513,1129,5.22685185185185,698,216
9,"ok","bobcat_baseline","null",0,0,-0.00875868670025527,0.0696168216095474,1,NA,0.207535842039033,0.0219496268286153,0.603934392930664,3078.61335158936,3072.4635805489,-6.1497710404592,2400.92457580566,-0.114714907899417,0.107641756907634,0.0334930533812839,-0.00780595648029665,-0.0549993737621736,0.0680939328240742,-0.0499030977301398,-0.0518749008430073,-0.114714907899417,0.107641756907634,0.0334930533812839,-0.00780595648029665,-0.0549993737621736,0.0680939328240742,-0.0499030977301398,-0.0518749008430073,1,1,1,1,1,1,1,1,254,0.363896848137536,943,4.36574074074074,698,216
10,"ok","bobcat_baseline","null",0,0,-0.0283219670440089,0.0974995509125381,1,NA,0.289227784406098,0.0215838718109566,1.00703434484245,2981.76053563307,2979.60839470364,-2.15214092942688,2416.15977907181,0.106287119697098,0.0660063837848583,-0.0302844142901288,-0.0654392410570334,-0.0801755915659031,-0.147487992190599,-0.147664758833974,0.0721827581036109,0.106287119697098,0.0660063837848583,-0.0302844142901288,-0.0654392410570334,-0.0801755915659031,-0.147487992190599,-0.147664758833974,0.0721827581036109,1,1,1,1,1,1,1,1,220,0.315186246418338,799,3.69907407407407,698,216
11,"ok","bobcat_baseline","null",0,0,-0.00932652401194613,0.0838951307568451,1,NA,0.210139777250964,0.00631839200048971,0.639388550663722,2991.9837506609,3031.2851469574,39.3013962965078,1846.04099416733,-0.077312843687661,-0.0886590574758308,0.12324026477637,-0.0790935094559397,-0.0418220254400421,0.134909753231502,-0.0195079140159407,-0.0263668600280265,-0.077312843687661,-0.0886590574758308,0.12324026477637,-0.0790935094559397,-0.0418220254400421,0.134909753231502,-0.0195079140159407,-0.0263668600280265,1,1,1,1,1,1,1,1,227,0.325214899713467,1050,4.86111111111111,698,216
12,"ok","bobcat_baseline","null",0,0,0.00349151970185209,0.0146296739182405,1,NA,0.0778332093369501,0.00205011047336272,0.311324223269018,2828.03277300928,2825.83029299235,-2.20248001692426,2342.60293984413,0.00668241014481463,-0.00941143746511589,-0.014148693398524,-0.00819503414075869,0.00587035864493668,0.0210804377779217,-0.00267947807441324,0.0287335941259555,0.00668241014481463,-0.00941143746511589,-0.014148693398524,-0.00819503414075869,0.00587035864493668,0.0210804377779217,-0.00267947807441324,0.0287335941259555,1,1,1,1,1,1,1,1,197,0.282234957020057,771,3.56944444444444,698,216
13,"ok","bobcat_baseline","null",0,0,-0.01176132810011,0.158144402732856,1,NA,0.308846982628852,0.061344137509916,0.810786762651333,3173.5570411893,3193.70475378614,20.1477125968327,1997.81054735184,-0.0586940419155017,0.113372497742401,-0.0663419815415544,0.236046787909271,0.0173308848154437,0.12096709829108,-0.275321472931607,-0.181450397170413,-0.0586940419155017,0.113372497742401,-0.0663419815415544,0.236046787909271,0.0173308848154437,0.12096709829108,-0.275321472931607,-0.181450397170413,1,1,1,1,1,1,1,1,257,0.368194842406877,812,3.75925925925926,698,216
14,"ok","bobcat_baseline","null",0,0,-0.00914657170594904,0.0632522752683921,1,NA,0.175775036824721,0.0260642945974856,0.481034782034407,2935.85211455627,2939.62181682326,3.76970226698904,2546.19896245003,0.0365476329533162,-0.0187384193320334,-0.0492548880915804,-0.00714652175667565,0.0622286068344475,0.0370033184126989,-0.149514615641751,0.0157023129739856,0.0365476329533162,-0.0187384193320334,-0.0492548880915804,-0.00714652175667565,0.0622286068344475,0.0370033184126989,-0.149514615641751,0.0157023129739856,1,1,1,1,1,1,1,1,216,0.30945558739255,819,3.79166666666667,698,216
15,"ok","bobcat_baseline","null",0,0,-0.00390873340359027,0.0988996630154402,1,NA,0.238645648711721,0.0355346891886826,0.672256383422734,3127.32060124979,3135.38616156169,8.06556031189439,2566.96574401855,-0.0599872560545688,0.0538806686277627,0.103993470558874,0.0622783258723747,0.0268382504821655,0.0711217729709844,-0.0761375123476938,-0.213257587338621,-0.0599872560545688,0.0538806686277627,0.103993470558874,0.0622783258723747,0.0268382504821655,0.0711217729709844,-0.0761375123476938,-0.213257587338621,1,1,1,1,1,1,1,1,255,0.365329512893983,982,4.5462962962963,698,216
16,"ok","bobcat_baseline","null",0,0,-0.0222937878246429,0.0752034538195004,1,NA,0.226331786616042,0.0147145966078494,0.766371484549844,3162.79155510411,3158.1471812714,-4.64437383271024,2447.56227278709,-0.039337216899053,0.13606859998016,-0.0831917416961142,-0.101699958325369,-0.0499191114795825,0.0422524707180221,-0.0303895156174206,-0.0521338292777865,-0.039337216899053,0.13606859998016,-0.0831917416961142,-0.101699958325369,-0.0499191114795825,0.0422524707180221,-0.0303895156174206,-0.0521338292777865,1,1,1,1,1,1,1,1,255,0.365329512893983,937,4.33796296296296,698,216
17,"ok","bobcat_baseline","null",0,0,-0.0184892496103153,0.08696399045057,1,NA,0.259292178245727,0.0250159757976789,0.934441768904433,2962.13626395328,2942.44094854357,-19.6953154097123,2410.42876005173,0.108828704736714,0.0184833241751259,-0.0281864608834877,-0.0791395103724887,-0.0049135944854285,0.0241078396583706,-0.201137940163967,0.014043640452639,0.108828704736714,0.0184833241751259,-0.0281864608834877,-0.0791395103724887,-0.0049135944854285,0.0241078396583706,-0.201137940163967,0.014043640452639,1,1,1,1,1,1,1,1,196,0.28080229226361,997,4.61574074074074,698,216
18,"ok","bobcat_baseline","null",0,0,-0.00159195702352345,0.0152433972233204,1,NA,0.0875607064445466,0.0124221174295717,0.241444225014617,2927.93479217786,2917.7816749886,-10.1531171892589,2447.92966246605,0.00130275661654641,-0.00307480304517898,-0.00501888115586694,0.012050142227642,-0.0198888759163335,0.0298292167310246,-0.0149176074219539,-0.0130176042240673,0.00130275661654641,-0.00307480304517898,-0.00501888115586694,0.012050142227642,-0.0198888759163335,0.0298292167310246,-0.0149176074219539,-0.0130176042240673,1,1,1,1,1,1,1,1,208,0.297994269340974,827,3.8287037037037,698,216
19,"ok","bobcat_baseline","null",0,0,-0.000429499037835723,0.0799070416528865,1,NA,0.221251663911404,0.0257246708654119,0.549079636022189,3036.22518772659,3041.80376072628,5.57857299969055,2512.09889578819,0.0167812232709141,0.00184169272586652,0.0907800119870894,-0.0476276286146009,-0.157773704761166,-0.00375669533260785,-0.0251252995375461,0.121444407959365,0.0167812232709141,0.00184169272586652,0.0907800119870894,-0.0476276286146009,-0.157773704761166,-0.00375669533260785,-0.0251252995375461,0.121444407959365,1,1,1,1,1,1,1,1,235,0.336676217765043,873,4.04166666666667,698,216
