"rep","status","camera_level","n_site_keep","site_replace","inat_level","global_mult","bias_all","rmse_all","coverage_all","frac_sign_correct","sigma_region_mean","elapsed_sec"
1,"ok","0.5x",350,FALSE,"0.25x",0.25,0.00207764403268321,0.376949199611561,1,0.25,0.533531562224212,1441.77968072891
2,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.0677959735642487,0.228724514903309,1,0.625,0.631647403666203,1258.28104615211
3,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.0175077853000271,0.201875040925684,1,0.25,0.314058222400434,1228.68363285065
4,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.0851812681981535,0.629043421153985,1,0.5,0.930364728854501,1258.98437929153
5,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.135047237280714,0.491648440870451,1,0.25,1.04395957212869,1360.14616322517
6,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.055815885275736,0.251565597530514,1,0.75,0.530155217979479,1317.80754756927
7,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.252510723220793,0.646113850126322,1,0.375,1.34386327321235,1333.03287935257
8,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.0177450857774464,0.193927230479609,1,0.75,0.319410545606168,1325.17348861694
9,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.00119164801875967,0.201712427317148,1,0.5,0.282903008763341,1320.38418340683
10,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.0405855583265144,0.173940452673175,1,0.375,0.477870446784594,970.346055984497
11,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.0216826410488559,0.241740966424314,1,0.5,0.382164503891472,887.142524957657
12,"ok","0.5x",350,FALSE,"0.25x",0.25,0.0225008958230347,0.17012826445773,1,0.625,0.207146769469005,1275.03394341469
13,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.00367399125525163,0.200797896478011,1,0.375,0.225303019624679,1268.10516834259
14,"ok","0.5x",350,FALSE,"0.25x",0.25,0.00360656575374746,0.191090808073265,1,0.625,0.299192739725064,1316.66682529449
15,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.032497655566549,0.299733288745817,1,0.75,0.612759310836908,879.768391370773
16,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.0154393244956384,0.182775646360948,1,0.625,0.300094683031609,912.246970176697
17,"ok","0.5x",350,FALSE,"0.25x",0.25,3.63496581853046e-05,0.191970872974849,1,0.625,0.2813151804924,1319.91115736961
18,"ok","0.5x",350,FALSE,"0.25x",0.25,0.0251771950972608,0.437969136640773,1,0.375,0.590805702350243,1327.5329117775
19,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.0739342359530782,0.255997740167275,1,0.375,0.607081801329221,1304.74808263779
20,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.00662414150793901,0.187601957773339,1,0.5,0.18665302662086,1460.32786560059
21,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.0709850800628334,0.351169513541543,1,0.5,0.547820457765648,954.026644945145
22,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.00118855445285832,0.20019288191624,1,0.5,0.278833188048166,879.735288143158
23,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.106475342811256,0.382096214082684,1,0.375,1.10098176406597,944.694082736969
24,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.0489604344297812,0.230407549408005,1,0.375,0.444969059045893,1322.64855027199
25,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.0087596855044018,0.285541645785354,1,0.5,0.500450779456664,1294.68884897232
26,"ok","0.5x",350,FALSE,"0.25x",0.25,0.00399482521241663,0.171683146869675,1,0.75,0.329039602282892,1286.86096930504
27,"ok","0.5x",350,FALSE,"0.25x",0.25,0.215175672491166,0.739812863926703,1,0.5,1.10896434966709,1344.57479047775
28,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.136891082633686,0.27805509698604,1,0.75,0.999531297041062,1301.92729067802
29,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.005071722830506,0.212431131114503,1,0.25,0.191010797483423,1327.12774324417
30,"ok","0.5x",350,FALSE,"0.25x",0.25,-0.00977294508055012,0.200456815572849,1,0.5,0.376524406026859,1252.51869130135
1,"ok","0.5x",350,FALSE,"16x",16,0.00903768359134881,0.113205638829422,1,1,0.21271331473215,1431.2244913578
2,"ok","0.5x",350,FALSE,"16x",16,-0.00329419279920963,0.143124038289142,1,0.875,0.153580986767879,1279.35398697853
3,"ok","0.5x",350,FALSE,"16x",16,-0.0167420647688138,0.143932641291434,1,0.75,0.177146556449062,982.790106773376
4,"ok","0.5x",350,FALSE,"16x",16,0.0126937007204869,0.13061596309592,1,1,0.377087550836915,1305.50363874435
5,"ok","0.5x",350,FALSE,"16x",16,-0.00380178244965365,0.17124808055777,0.5,0.625,0.0805322328020712,1325.58515524864
6,"ok","0.5x",350,FALSE,"16x",16,-0.0082918370763905,0.141736928291518,1,0.75,0.25352102113096,1307.12420487404
7,"ok","0.5x",350,FALSE,"16x",16,0.00261873935481804,0.135401565884535,1,0.875,0.159283114248694,1417.7814013958
