"rep","status","bias_all","rmse_all","coverage_all","n_informed","bias_NE","rmse_NE","coverage_NE","n_NE","bias_West","rmse_West","coverage_West","n_West","bias_other","rmse_other","coverage_other","n_other","ne_minus_west_est","sign_recovered","elapsed_sec"
1,"ok",-0.0427034309908748,0.184736036106975,1,178,-0.295848130004147,0.303030104922178,1,44,0.152737045191429,0.156033276781426,1,66,-0.0685961467474638,0.0792814860824367,1,68,0.126819917397016,TRUE,1336.05741405487
2,"ok",-0.127237356961696,1.38694667951488,0.99438202247191,178,-0.937962805707529,2.10602419436793,0.977272727272727,44,0.603142157533015,1.05927215321496,1,66,-0.31154806595926,1.03748771631178,1,68,-0.965699870647952,FALSE,1438.06804823875
3,"ok",-0.0143843181859206,0.125923698394682,1,178,-0.137573471888957,0.179940503386581,1,44,0.057008434701264,0.0944078964084497,1,66,-0.00396665535681164,0.109114117435792,1,68,0.380823186002372,TRUE,1338.63913273811
4,"ok",-0.0446797512878865,0.306765122758992,1,178,-0.347585208564788,0.377408047230201,1,44,0.239828727552199,0.275060803463242,1,66,-0.124822684865269,0.284139141184687,1,68,-0.0120088435243942,FALSE,1359.67738246918
5,"ok",-0.0351015628759903,0.216560585287369,1,178,-0.215550549228807,0.289740341807851,1,44,0.201762212124553,0.20690642739,1,66,-0.148237647442342,0.163988719769483,1,68,0.158092331239233,TRUE,1346.18642830849
6,"ok",-0.0598751764861467,0.249193142279286,1,178,-0.383417748617428,0.393099587480213,1,44,0.211529128402176,0.21414095169752,1,66,-0.113945925733984,0.134360471018354,1,68,-0.0195417844270117,FALSE,1382.03929901123
7,"ok",-0.0302216642008963,0.177270945716136,1,178,-0.160344593744315,0.227968517308925,1,44,0.143997917268937,0.158143884104825,1,66,-0.115119950628817,0.15607112399033,1,68,0.271062581579341,TRUE,1636.77292227745
8,"ok",-0.0768848005536563,0.291111814165838,0.926966292134832,178,-0.473863952620362,0.478212922618281,0.704545454545455,44,0.228681310247935,0.232260367916058,1,66,-0.116594809700273,0.146638178794646,1,68,-0.127140170275705,FALSE,1647.04783535004
9,"ok",-0.0263188988872678,0.160599598680208,1,178,-0.19353891623888,0.23072996988185,1,44,0.135539743003561,0.145031372272606,1,66,-0.0752158047890877,0.112483238542286,1,68,0.246326433350151,TRUE,1688.57033896446
10,"ok",-0.0143030899747821,0.154936108173286,1,178,-0.0336157469782008,0.146118868733026,1,44,0.00713886777414536,0.178705737952993,1,66,-0.0226179767877055,0.134259101845691,1,68,0.534650477840246,TRUE,1636.51292848587
11,"ok",-0.0211025963006723,0.152639224025953,1,178,-0.127827911084616,0.233949523277624,1,44,0.0920600851247358,0.115112202586457,1,66,-0.0618794069416045,0.11274617907945,1,68,0.35551709638324,TRUE,1349.15468645096
12,"ok",-0.0364183017625469,0.167555543846057,1,178,-0.270360729989995,0.284450493141236,1,44,0.0520109796287066,0.085801321461375,1,66,0.0291277904460559,0.118278725407186,1,68,0.253033382973891,TRUE,1362.08491754532
13,"ok",-0.0372344055256041,0.17238138463169,1,178,-0.253914930658039,0.270387089404112,1,44,0.0948365553272102,0.138996737377168,1,66,-0.0252158806794074,0.108288887825455,1,68,0.226653606607344,TRUE,1340.68838214874
14,"ok",-0.0204452018758737,0.437335686638956,0.98876404494382,178,0.0308368831844023,0.578781893263536,0.954545454545455,44,-0.220635062648466,0.381855735619091,1,66,0.140674196187934,0.377326535811829,1,68,0.826877038425461,TRUE,1278.93738865852
