"rep","status","grain","label","bias_all","rmse_all","coverage_all","n_informed","spatial_cor"
1,"ok",0,"grain=0 (noise-seeded)",0.0238099109968223,0.339863189997277,0.97752808988764,178,-0.106700781925803
10,"ok",0,"grain=0 (noise-seeded)",0.00118874263421699,0.302739430138019,1,178,-0.0871409276489713
11,"ok",0,"grain=0 (noise-seeded)",-0.0171997123542045,0.222876734409289,1,178,-0.0313143034407051
12,"ok",0,"grain=0 (noise-seeded)",-0.0217651581770152,0.221523226528997,1,178,0.0206826321135636
13,"ok",0,"grain=0 (noise-seeded)",-0.0578880527298979,0.233520586904015,0.99438202247191,178,0.0976126209410292
14,"ok",0,"grain=0 (noise-seeded)",-0.028837770820198,0.211918712815681,0.99438202247191,178,0.061493029288125
15,"ok",0,"grain=0 (noise-seeded)",-0.0488426599270781,0.244431731101841,0.943820224719101,178,0.101762350707898
2,"ok",0,"grain=0 (noise-seeded)",-0.0640892473698117,0.565492720313184,1,178,0.0320942760177351
3,"ok",0,"grain=0 (noise-seeded)",-0.0407121998832266,0.21096189226672,0.99438202247191,178,0.0869515734364427
4,"ok",0,"grain=0 (noise-seeded)",-0.0222226214928392,0.304747051272397,1,178,0.040471015080134
5,"ok",0,"grain=0 (noise-seeded)",-0.0382206184147551,0.218171161606732,0.98876404494382,178,0.0857171845962356
6,"ok",0,"grain=0 (noise-seeded)",-0.112735604282567,0.39652973852181,0.99438202247191,178,0.163138440169357
7,"ok",0,"grain=0 (noise-seeded)",-0.0275715147197006,0.215932301415028,0.99438202247191,178,-0.0445622755117374
8,"ok",0,"grain=0 (noise-seeded)",-0.037118785259248,0.21282934088795,0.971910112359551,178,0.120217477050644
9,"ok",0,"grain=0 (noise-seeded)",-0.00748331325024272,0.261530817349738,0.98314606741573,178,-0.0854139103994812
1,"ok",1,"grain=1 (noise-seeded)",-0.035151914099284,0.232867278232233,1,178,-0.0161945136878215
10,"ok",1,"grain=1 (noise-seeded)",-0.0120096614578457,0.218020615757066,0.938202247191011,178,-0.0900918024909522
11,"ok",1,"grain=1 (noise-seeded)",-0.00955490477969061,0.216871898597139,0.960674157303371,178,-0.0983920688845547
12,"ok",1,"grain=1 (noise-seeded)",-0.0533918500273843,0.222399752770711,0.99438202247191,178,0.110780397307228
13,"ok",1,"grain=1 (noise-seeded)",0.0771760464326105,0.508211645127046,0.98314606741573,178,-0.0971929191971372
14,"ok",1,"grain=1 (noise-seeded)",-0.0657450996651725,0.48541956865878,1,178,0.0047463622318308
15,"ok",1,"grain=1 (noise-seeded)",-0.0163253183659462,0.211597978424304,1,178,-0.0549008487195827
