"rep","status","bias_all","rmse_all","coverage_all","n_informed","bias_NE","rmse_NE","coverage_NE","n_NE","bias_West","rmse_West","coverage_West","n_West","bias_other","rmse_other","coverage_other","n_other","ne_minus_west_est","sign_recovered","elapsed_sec"
1,"ok",-0.0202574993202756,0.172669053867778,1,435,-0.208044425733139,0.233650505007833,1,85,0.158335495391672,0.170775539968744,1,179,-0.113861343228728,0.134828837676634,1,171,0.208447046848132,TRUE,3667.66757941246
10,"ok",-0.0145087874758937,0.204630063916008,0.997701149425287,435,-0.196237312092215,0.244309552524668,1,85,0.183760661221627,0.193520354177924,1,179,-0.131721107502027,0.194033445413326,0.994152046783626,171,0.194828994659101,TRUE,3591.55801439285
11,"ok",-0.0126638873492657,0.119979500099827,1,435,-0.12956847884593,0.174831657152298,1,85,0.104490290581213,0.111888023198379,1,179,-0.0771884930354596,0.0912182769177812,1,171,0.340768198545801,TRUE,3571.66936993599
12,"ok",-0.0275550777687194,0.173494421115685,0.951724137931034,435,-0.30718296407604,0.313533727171471,0.752941176470588,85,0.135816670657929,0.14605582112714,1,179,-0.0595736311736777,0.0733239868890835,1,171,0.131827333238974,TRUE,3817.64830756187
13,"ok",-0.0170535230276212,0.135229399669837,1,435,-0.169577453139294,0.204471422401708,1,85,0.108110570281712,0.121593728808892,1,179,-0.0722572577812959,0.101295463232046,1,171,0.297138944551938,TRUE,3673.72359418869
14,"ok",-0.0267946213561396,0.266487629307386,1,435,-0.186817067277393,0.27309389359126,1,85,0.228125897159464,0.263154741974834,1,179,-0.21409792492916,0.266630067627001,1,171,0.159884003536086,TRUE,3921.99064660072
15,"ok",-0.0130807284228334,0.128588864997611,1,435,-0.15791938925916,0.182446032129859,1,85,0.111182063447534,0.122773671101388,1,179,-0.0711611586784355,0.098683607504019,1,171,0.30572551526625,TRUE,3920.18276834488
16,"ok",-0.0169900935198681,0.135495993804348,0.997701149425287,435,-0.21669851408334,0.233145329175489,0.988235294117647,85,0.0989470470177842,0.120344046413817,1,179,-0.0390809263172052,0.0672566777883997,1,171,0.259181406871819,TRUE,3647.12263798714
17,"ok",0.00765279215627004,0.172767637611149,1,435,0.0610850840688934,0.285697148615286,1,85,0.0645284978866708,0.0981893368676824,1,179,-0.0784436764888453,0.158952296168184,1,171,0.571383554155166,TRUE,3824.63938736916
18,"ok",-0.0208945971720917,0.147327843127527,0.995402298850575,435,-0.193172733992451,0.226856408110327,0.976470588235294,85,0.125115138342164,0.131370661391143,1,179,-0.088099866337713,0.107557605933415,1,171,0.256539095638328,TRUE,4006.93972849846
19,"ok",-0.0145599502586293,0.145503561977952,0.997701149425287,435,-0.125151204330286,0.186872319180221,1,85,0.10870127919251,0.144951562869454,0.994413407821229,179,-0.0886155261397,0.12043394218434,1,171,0.340974484450148,TRUE,4229.52785539627
2,"ok",0.00128618676551492,0.169120556854882,1,435,-0.0223865428280338,0.295738581168948,1,85,0.0888000420574982,0.134263232578676,1,179,-0.078554737689534,0.102048932962601,1,171,0.463640383087411,TRUE,3847.81861424446
20,"ok",-0.0148558405827607,0.106857918936503,0.997701149425287,435,-0.153447948321408,0.168391676348873,0.988235294117647,85,0.0816850029608042,0.0894761629827043,1,179,-0.0470224010302055,0.0810669728509727,1,171,0.339694016690731,TRUE,3949.44675254822
3,"ok",-0.0240997258164029,0.256809794789823,0.974712643678161,435,-0.340034077607544,0.389451025959156,0.870588235294118,85,0.208589303174777,0.226113059812288,1,179,-0.110631400010405,0.197127328242994,1,171,0.0262035871906224,TRUE,3676.52875947952
4,"ok",0.00551905578256549,0.161226346261646,0.997701149425287,435,0.0033704504967875,0.190055584082496,1,85,-0.00502555093551193,0.171679512373257,1,179,0.0176249976061151,0.131594938027709,0.994152046783626,171,0.583222969405243,TRUE,3828.0843129158
5,"ok",-0.0129846403556724,0.201735795535002,1,435,-0.0775758514835082,0.317502703014875,1,85,0.130611981022111,0.155158391668383,1,179,-0.131192489950743,0.167984148545473,1,171,0.366639135467324,TRUE,3956.15634727478
6,"ok",-0.0106579754683924,0.117980601867735,1,435,-0.158781676248248,0.174916026151104,1,85,0.092473855658122,0.116957743576309,1,179,-0.0449859474295525,0.0766918344267719,1,171,0.323571436066574,TRUE,3737.89912390709
7,"ok",-0.0255294424873496,0.174764319702297,1,435,-0.189355169757969,0.245316340992182,1,85,0.135786858946924,0.162088930841212,1,179,-0.112958864351281,0.142407714647911,1,171,0.24968493926805,TRUE,3703.36842894554
8,"ok",-0.0268810652488243,0.206451893414194,0.96551724137931,435,-0.277816087345243,0.32504365068488,0.823529411764706,85,0.178667635008355,0.186640324381677,1,179,-0.117312296054904,0.139439248610168,1,171,0.118343245619344,TRUE,4003.8346824646
9,"ok",-0.0156392713360337,0.148415263267498,1,435,-0.188108239712891,0.223488254401085,1,85,0.0972572346467426,0.152378364064911,1,179,-0.0480872962417888,0.083071822623857,1,171,0.28946149361331,TRUE,3989.53617620468
