species,J,n_dep,mean_prop,frac_all_obs,RN_max,excess,inside
white-tailed_deer,4,2234,0.811,0.577,0.539,0.039,False
kit_fox,4,44,0.778,0.545,0.487,0.058,False
eastern_gray_squirrel,4,1185,0.741,0.48,0.387,0.093,False
eastern_fox_squirrel,4,296,0.665,0.399,0.268,0.131,False
black-tailed_jackrabbit,4,356,0.637,0.312,0.23,0.082,False
red_squirrel,4,199,0.634,0.302,0.23,0.072,False
northern_raccoon,4,1504,0.621,0.317,0.198,0.119,False
golden_mantled_ground_squirrel,4,82,0.598,0.293,0.165,0.128,False
california_ground_squirrel,4,130,0.594,0.254,0.165,0.089,False
mule_deer,4,933,0.58,0.226,0.165,0.061,False
western_gray_squirrel,4,227,0.57,0.242,0.139,0.103,False
grey_fox,4,584,0.553,0.209,0.139,0.07,False
eastern_chipmunk,4,287,0.546,0.202,0.114,0.088,False
virginia_opossum,4,861,0.546,0.193,0.114,0.079,False
nine-banded_armadillo,4,283,0.541,0.17,0.114,0.055,False
white-tailed_antelope_squirrel,4,56,0.518,0.161,0.093,0.067,False
pronghorn,4,57,0.504,0.088,0.093,-0.006,True
red_fox,4,325,0.502,0.138,0.093,0.045,False
coyote,4,1528,0.5,0.152,0.073,0.08,False
snowshoe_hare,4,64,0.465,0.078,0.056,0.022,False
striped_skunk,4,487,0.464,0.099,0.056,0.042,False
collared_peccary,4,56,0.46,0.071,0.056,0.015,False
elk,4,180,0.454,0.094,0.056,0.038,False
american_black_bear,4,543,0.442,0.072,0.041,0.03,False
bobcat,4,810,0.417,0.059,0.029,0.031,False
north_american_porcupine,4,69,0.395,0.072,0.02,0.053,False
moose,4,54,0.384,0.056,0.02,0.036,False
puma,4,204,0.353,0.034,0.012,0.022,False
american_badger,4,91,0.324,0.022,0.003,0.019,False
fisher,4,64,0.312,0.016,0.003,0.013,False
white-tailed_deer,5,1895,0.806,0.525,0.491,0.034,False
eastern_gray_squirrel,5,1018,0.724,0.452,0.301,0.151,False
eastern_fox_squirrel,5,352,0.658,0.392,0.225,0.167,False
northern_raccoon,5,1274,0.594,0.274,0.133,0.141,False
mule_deer,5,375,0.552,0.195,0.112,0.083,False
red_squirrel,5,201,0.55,0.229,0.112,0.117,False
elk,5,167,0.537,0.186,0.092,0.094,False
eastern_chipmunk,5,264,0.524,0.159,0.072,0.087,False
virginia_opossum,5,730,0.517,0.148,0.072,0.076,False
white-tailed_antelope_squirrel,5,43,0.516,0.023,0.072,-0.049,False
nine-banded_armadillo,5,235,0.51,0.149,0.072,0.077,False
western_gray_squirrel,5,73,0.51,0.178,0.072,0.106,False
black-tailed_jackrabbit,5,93,0.499,0.108,0.057,0.05,False
red_fox,5,262,0.495,0.168,0.057,0.111,False
grey_fox,5,234,0.479,0.145,0.057,0.088,False
snowshoe_hare,5,47,0.468,0.17,0.044,0.126,False
collared_peccary,5,56,0.461,0.018,0.044,-0.026,True
coyote,5,1179,0.418,0.07,0.023,0.047,False
american_black_bear,5,345,0.374,0.055,0.01,0.045,False
striped_skunk,5,255,0.374,0.067,0.01,0.057,False
bobcat,5,474,0.339,0.034,0.006,0.028,False
north_american_porcupine,5,90,0.316,0.033,0.003,0.03,False
moose,5,59,0.308,0.0,0.003,-0.003,False
puma,5,77,0.281,0.0,0.001,-0.001,False
fisher,5,49,0.253,0.02,0.001,0.02,False
american_badger,5,52,0.242,0.0,0.0,-0.0,False
white-tailed_deer,6,1800,0.798,0.515,0.398,0.117,False
eastern_gray_squirrel,6,1078,0.732,0.44,0.301,0.138,False
eastern_fox_squirrel,6,373,0.604,0.3,0.131,0.169,False
northern_raccoon,6,1336,0.576,0.234,0.109,0.124,False
mule_deer,6,311,0.535,0.183,0.073,0.111,False
black-tailed_jackrabbit,6,62,0.532,0.161,0.073,0.089,False
nine-banded_armadillo,6,261,0.529,0.149,0.073,0.077,False
snowshoe_hare,6,58,0.517,0.138,0.056,0.082,False
virginia_opossum,6,758,0.515,0.125,0.056,0.07,False
red_squirrel,6,182,0.498,0.165,0.043,0.122,False
eastern_chipmunk,6,215,0.493,0.13,0.043,0.087,False
coyote,6,1267,0.407,0.053,0.017,0.036,False
red_fox,6,324,0.395,0.086,0.012,0.075,False
elk,6,138,0.365,0.014,0.007,0.007,False
grey_fox,6,219,0.355,0.037,0.007,0.029,False
american_black_bear,6,376,0.335,0.051,0.005,0.046,False
bobcat,6,530,0.332,0.03,0.005,0.026,False
striped_skunk,6,238,0.313,0.038,0.002,0.035,False
north_american_porcupine,6,63,0.304,0.048,0.002,0.045,False
moose,6,69,0.266,0.0,0.001,-0.001,False
fisher,6,51,0.232,0.0,0.0,-0.0,False
puma,6,46,0.21,0.0,0.0,-0.0,False
