species,cells_occupied,dep_in_range,naive_occupancy_in_range,implied_animals_per_site,mean_prop,screen
white-tailed_deer,249,23791,0.794,1.58,0.8102387235062637,1 - check fitted occupancy before trusting the trend
eastern_gray_squirrel,185,20757,0.478,0.65,0.7328343307201282,2 - expected fine; confirm fitted occupancy when the fit lands
mule_deer,113,6315,0.452,0.6,0.5724029096584123,2 - expected fine; confirm fitted occupancy when the fit lands
northern_raccoon,257,24774,0.442,0.58,0.6101813405204803,2 - expected fine; confirm fitted occupancy when the fit lands
coyote,299,26374,0.325,0.39,0.4568728061895312,3 - well inside occupancy's informative range
collared_peccary,20,832,0.321,0.39,0.4433927754915409,3 - well inside occupancy's informative range
elk,46,3210,0.28,0.33,0.4952431876652341,3 - well inside occupancy's informative range
nine-banded_armadillo,78,5981,0.275,0.32,0.5317983452415369,3 - well inside occupancy's informative range
white-tailed_antelope_squirrel,12,535,0.273,0.32,0.5026378896882494,3 - well inside occupancy's informative range
virginia_opossum,206,22244,0.25,0.29,0.5357362869069499,3 - well inside occupancy's informative range
pronghorn,14,841,0.25,0.29,0.5185204081632653,3 - well inside occupancy's informative range
kit_fox,9,389,0.249,0.29,0.6565799187892211,3 - well inside occupancy's informative range
black-tailed_jackrabbit,58,3168,0.228,0.26,0.5899585758481464,3 - well inside occupancy's informative range
american_black_bear,140,16746,0.209,0.23,0.3984413402788065,3 - well inside occupancy's informative range
western_gray_squirrel,37,2713,0.18,0.2,0.5785696124368893,3 - well inside occupancy's informative range
brown_bear,9,567,0.173,0.19,0.416365231990232,3 - well inside occupancy's informative range
red_squirrel,80,6817,0.157,0.17,0.5687708604469647,3 - well inside occupancy's informative range
bobcat,233,22975,0.144,0.16,0.3791969049675139,3 - well inside occupancy's informative range
california_ground_squirrel,28,1787,0.133,0.14,0.5577081974342248,3 - well inside occupancy's informative range
eastern_fox_squirrel,139,16402,0.127,0.14,0.6430249217190241,3 - well inside occupancy's informative range
rock_squirrel,20,940,0.127,0.14,0.3808084157222088,3 - well inside occupancy's informative range
red_fox,145,19396,0.125,0.13,0.4837339892014998,3 - well inside occupancy's informative range
golden_mantled_ground_squirrel,18,1166,0.119,0.13,0.5398316310425686,3 - well inside occupancy's informative range
grey_fox,158,19609,0.118,0.13,0.489518632083951,3 - well inside occupancy's informative range
eastern_chipmunk,95,13510,0.117,0.12,0.5317849148206292,3 - well inside occupancy's informative range
grey_wolf,21,1272,0.116,0.12,0.2923610510224683,3 - well inside occupancy's informative range
moose,32,2855,0.113,0.12,0.3409756115083296,3 - well inside occupancy's informative range
snowshoe_hare,52,4035,0.09,0.09,0.5098601558890368,3 - well inside occupancy's informative range
striped_skunk,186,19349,0.088,0.09,0.4149320264604255,3 - well inside occupancy's informative range
north_american_porcupine,57,4799,0.076,0.08,0.3550686624760699,3 - well inside occupancy's informative range
puma,61,5895,0.074,0.08,0.3146947643350521,3 - well inside occupancy's informative range
fisher,37,4768,0.062,0.06,0.2993549546018682,3 - well inside occupancy's informative range
american_badger,63,4100,0.057,0.06,0.2946651090342679,3 - well inside occupancy's informative range
groundhog,39,5066,0.039,0.04,0.3701132201132201,3 - well inside occupancy's informative range
