abundance,estimator,n,yb_mean,yb_bias,yb_bias_med,tvb_bias
bobcat_like,array_occ,60,-0.0135,-0.078,-0.1115,-0.2109
bobcat_like,array_rn,60,0.0145,-0.05,-0.0721,0.0255
bobcat_like,camera_occ,60,-0.0427,-0.1072,-0.1073,-0.1548
bobcat_like,camera_rn,60,-0.0277,-0.0922,-0.093,0.0053
intermediate,array_occ,60,-0.2984,-0.3629,-0.3616,-0.7341
intermediate,array_rn,60,0.0295,-0.035,-0.0523,-0.0089
intermediate,camera_occ,60,0.0259,-0.0386,-0.0372,-0.2492
intermediate,camera_rn,60,-0.0354,-0.0999,-0.1168,0.012
deer_like,array_occ,60,-0.2216,-0.2861,-0.2465,-0.9318
deer_like,array_rn,60,0.0371,-0.0274,-0.0237,-0.0101
deer_like,camera_occ,60,0.0025,-0.062,-0.0592,-0.4079
deer_like,camera_rn,60,0.0044,-0.0601,-0.0611,0.049
