key_sp,det_dep,mean_prop,frac_all_windows,naive_psi_all_dep,lambda_from_prop
white-tailed_deer,9566,0.8102387235062637,0.5682625966966339,0.705258440394383,1.6619884363101978
eastern_gray_squirrel,5164,0.7328343307201282,0.4622385747482572,0.37040633403047507,1.3198863288083367
kit_fox,86,0.6565799187892211,0.37209302325581395,0.003622647146698536,1.0688008546199523
eastern_fox_squirrel,1543,0.6430249217190241,0.36228127025275436,0.07753211831490887,1.0300893083760037
northern_raccoon,6389,0.6101813405204803,0.29754265143214903,0.4087242306543173,0.9420736236867033
black-tailed_jackrabbit,652,0.5899585758481464,0.25766871165644173,0.02700179265013445,0.8914970898707104
western_gray_squirrel,437,0.5785696124368893,0.2585812356979405,0.018225276366895728,0.8641006692410825
mule_deer,2363,0.5724029096584123,0.22302158273381295,0.10666268299970122,0.8495739044811813
red_squirrel,883,0.5687708604469647,0.2480181200453001,0.04003585300268898,0.8411156838574655
california_ground_squirrel,219,0.5577081974342248,0.2191780821917808,0.008851210038840754,0.8157854279314825
golden_mantled_ground_squirrel,128,0.5398316310425686,0.21875,0.005191216014341201,0.7761628369951058
virginia_opossum,3545,0.5357362869069499,0.17235543018335683,0.207573946818046,0.767302541020675
nine-banded_armadillo,1153,0.5317983452415369,0.1647875108412836,0.061323573349268,0.7588561896332744
eastern_chipmunk,1092,0.5317849148206292,0.1794871794871795,0.058896026292201975,0.7588275049241361
pronghorn,140,0.5185204081632653,0.11428571428571428,0.007842844338213325,0.7308914331972756
snowshoe_hare,277,0.5098601558890368,0.16967509025270758,0.01363161039737078,0.7130645324503746
white-tailed_antelope_squirrel,139,0.5026378896882494,0.09352517985611511,0.0054526441589483115,0.6984369260033745
elk,779,0.4952431876652341,0.14634146341463414,0.03361219002091425,0.6836785254270403
grey_fox,1495,0.489518632083951,0.1591973244147157,0.08619659396474455,0.6724011397593436
red_fox,1433,0.4837339892014998,0.15212840195394278,0.09060352554526442,0.6611331215345387
coyote,5947,0.45687280618953124,0.10929880612073314,0.32043621153271584,0.610411743733872
collared_peccary,243,0.4433927754915409,0.06584362139917696,0.009971616372871228,0.5858954502612171
brown_bear,96,0.416365231990232,0.020833333333333332,0.003659994024499552,0.5384798890398879
striped_skunk,1394,0.4149320264604255,0.09110473457675754,0.06326561099492083,0.5360272444155476
american_black_bear,2006,0.39844134027880657,0.07477567298105683,0.1308634598147595,0.508231225926404
rock_squirrel,116,0.3808084157222088,0.05172413793103448,0.004444278458320884,0.47934054808161897
bobcat,2561,0.3791969049675139,0.05466614603670441,0.12361816552136241,0.47674132457064916
groundhog,143,0.3701132201132201,0.04195804195804196,0.007357334926800119,0.462215190212567
north_american_porcupine,324,0.3550686624760699,0.06172839506172839,0.013668957275171796,0.4386114213042066
moose,296,0.3409756115083296,0.02702702702702703,0.012063041529728116,0.41699473683108224
puma,417,0.3146947643350521,0.026378896882494004,0.016357932476844937,0.37789094045901833
fisher,243,0.2993549546018682,0.01646090534979424,0.011054675829100687,0.3557538748272481
american_badger,214,0.2946651090342679,0.014018691588785047,0.00870182252763669,0.34908256631098084
grey_wolf,127,0.29236105102246834,0.031496062992125984,0.005527337914550344,0.3458212744330507
