species,cells_occupied,dep_in_range,naive_psi_in_range,mean_prop,frac_all_windows,lambda_implied
white-tailed_deer,249,23791,0.794,0.8102387235062637,0.5682625966966339,1.58
eastern_gray_squirrel,185,20757,0.478,0.7328343307201282,0.4622385747482572,0.65
mule_deer,113,6315,0.452,0.5724029096584123,0.22302158273381295,0.6
northern_raccoon,257,24774,0.442,0.6101813405204803,0.29754265143214903,0.58
coyote,299,26374,0.325,0.45687280618953124,0.10929880612073314,0.39
collared_peccary,20,832,0.321,0.4433927754915409,0.06584362139917696,0.39
elk,46,3210,0.28,0.4952431876652341,0.14634146341463414,0.33
nine-banded_armadillo,78,5981,0.275,0.5317983452415369,0.1647875108412836,0.32
white-tailed_antelope_squirrel,12,535,0.273,0.5026378896882494,0.09352517985611511,0.32
virginia_opossum,206,22244,0.25,0.5357362869069499,0.17235543018335683,0.29
pronghorn,14,841,0.25,0.5185204081632653,0.11428571428571428,0.29
kit_fox,9,389,0.249,0.6565799187892211,0.37209302325581395,0.29
black-tailed_jackrabbit,58,3168,0.228,0.5899585758481464,0.25766871165644173,0.26
american_black_bear,140,16746,0.209,0.39844134027880657,0.07477567298105683,0.23
western_gray_squirrel,37,2713,0.18,0.5785696124368893,0.2585812356979405,0.2
brown_bear,9,567,0.173,0.416365231990232,0.020833333333333332,0.19
red_squirrel,80,6817,0.157,0.5687708604469647,0.2480181200453001,0.17
bobcat,233,22975,0.144,0.3791969049675139,0.05466614603670441,0.16
california_ground_squirrel,28,1787,0.133,0.5577081974342248,0.2191780821917808,0.14
eastern_fox_squirrel,139,16402,0.127,0.6430249217190241,0.36228127025275436,0.14
rock_squirrel,20,940,0.127,0.3808084157222088,0.05172413793103448,0.14
red_fox,145,19396,0.125,0.4837339892014998,0.15212840195394278,0.13
golden_mantled_ground_squirrel,18,1166,0.119,0.5398316310425686,0.21875,0.13
grey_fox,158,19609,0.118,0.489518632083951,0.1591973244147157,0.13
eastern_chipmunk,95,13510,0.117,0.5317849148206292,0.1794871794871795,0.12
grey_wolf,21,1272,0.116,0.29236105102246834,0.031496062992125984,0.12
moose,32,2855,0.113,0.3409756115083296,0.02702702702702703,0.12
snowshoe_hare,52,4035,0.09,0.5098601558890368,0.16967509025270758,0.09
striped_skunk,186,19349,0.088,0.4149320264604255,0.09110473457675754,0.09
north_american_porcupine,57,4799,0.076,0.3550686624760699,0.06172839506172839,0.08
puma,61,5895,0.074,0.3146947643350521,0.026378896882494004,0.08
fisher,37,4768,0.062,0.2993549546018682,0.01646090534979424,0.06
american_badger,63,4100,0.057,0.2946651090342679,0.014018691588785047,0.06
groundhog,39,5066,0.039,0.3701132201132201,0.04195804195804196,0.04
