abundance,estimator,n,year_beta_mean,year_var_mean,total_var_beta_mean,tvb_true,yb+yv
bobcat_like,array_occ,60,-0.013,-0.377,-0.39,-0.18,-0.39
bobcat_like,array_rn,60,0.015,-0.169,-0.154,-0.18,-0.154
bobcat_like,camera_occ,60,-0.043,-0.292,-0.334,-0.18,-0.335
bobcat_like,camera_rn,60,-0.028,-0.147,-0.174,-0.18,-0.175
deer_like,array_occ,60,-0.222,-0.89,-1.111,-0.18,-1.112
deer_like,array_rn,60,0.037,-0.227,-0.19,-0.18,-0.19
deer_like,camera_occ,60,0.002,-0.59,-0.587,-0.18,-0.588
deer_like,camera_rn,60,0.004,-0.135,-0.131,-0.18,-0.131
intermediate,array_occ,60,-0.298,-0.615,-0.914,-0.18,-0.913
intermediate,array_rn,60,0.03,-0.218,-0.188,-0.18,-0.188
intermediate,camera_occ,60,0.026,-0.455,-0.429,-0.18,-0.429
intermediate,camera_rn,60,-0.035,-0.132,-0.168,-0.18,-0.167
