species,parameterisation,parameter,role,mean,q025,q975,rhat,excludes_zero
Bobcat,national,year_beta,camera-anchored,-5.52986232427934e-05,-0.061154327747358,0.061176952505402,1.00019069773223,False
Bobcat,national,year_var,iNaturalist-only,-0.241710648752739,-0.335494772211705,-0.149744117184037,1.00038634331816,True
Bobcat,national,total_var_beta,iNaturalist-side total,-0.241765947375982,-0.314209863406138,-0.172109543300636,1.00055500020597,True
Bobcat,ecoregion,year_beta,camera-anchored,0.0098198362564899,-0.0506797359367666,0.0736759717304821,1.00048734664585,False
Bobcat,ecoregion,year_var,iNaturalist-only,-0.155268195884505,-0.389116896228369,0.0568910033341566,1.00381385909948,False
Bobcat,ecoregion,total_var_beta,iNaturalist-side total,-0.145448359628015,-0.371922041877364,0.0656560729209822,1.00442461771724,False
White-tailed deer,national,year_beta,camera-anchored,0.154716724514254,0.115982302592983,0.192038181226312,1.00032608632054,True
White-tailed deer,national,year_var,iNaturalist-only,0.0222097763843026,-0.0295785684253503,0.0801826140763975,1.00230404963104,False
White-tailed deer,national,total_var_beta,iNaturalist-side total,0.176926500898557,0.13621707274349,0.220685389567046,1.00351630437916,True
White-tailed deer,ecoregion,year_beta,camera-anchored,0.156582224372235,0.117643709671435,0.194999232641733,1.00028507323434,True
White-tailed deer,ecoregion,year_var,iNaturalist-only,0.0301765367338937,-0.0513949531609235,0.114906932016151,1.00405317173405,False
White-tailed deer,ecoregion,total_var_beta,iNaturalist-side total,0.186758761106128,0.109149669246337,0.265589044175115,1.00572799500588,True
Moose,national,year_beta,camera-anchored,-0.120468210887213,-0.312639859199644,0.0421597453165956,1.00342817153049,False
Moose,national,year_var,iNaturalist-only,-0.000559453724949,-0.195112334842473,0.206267785108026,1.00118064370166,False
Moose,national,total_var_beta,iNaturalist-side total,-0.121027664612162,-0.22704020864515,-0.0248605704254157,1.0062059375496,True
Moose,ecoregion,year_beta,camera-anchored,-0.109354035040203,-0.305632681898745,0.0569344234114355,1.00132729042336,False
Moose,ecoregion,year_var,iNaturalist-only,-0.0089656444541741,-0.2770346606734,0.262762581265331,1.00814770097617,False
Moose,ecoregion,total_var_beta,iNaturalist-side total,-0.118319679494377,-0.341621495979274,0.0877123681168533,1.01035776250769,False
