species,parameterisation,stream,parameter,coefficient,step_per_year,pct_per_year,pct_lo,pct_hi,excludes_zero,years_covered
Bobcat,national,Camera surveys,year_beta,-5.52986232427934e-05,0.2740821,-0.0015156247928360678,-1.6621617420540136,1.690887127023033,False,16
Bobcat,national,iNaturalist,total_var_beta,-0.241765947375982,0.1873172,-4.42767739215636,-5.715833100127021,-3.172493861301262,True,18
Bobcat,ecoregion,Camera surveys,year_beta,0.0098198362564899,0.2740821,0.26950665226759263,-1.3794381859880467,2.0398528345397793,False,16
Bobcat,ecoregion,iNaturalist,total_var_beta,-0.145448359628015,0.1873172,-2.6877182791116505,-6.729601013724162,1.2374449425611722,False,18
White-tailed deer,national,Camera surveys,year_beta,0.154716724514254,0.2580241,4.072818247104748,3.0378519345821475,5.0798634010599475,True,16
White-tailed deer,national,iNaturalist,total_var_beta,0.176926500898557,0.1873172,3.36966695912313,2.5844115154933567,4.220448747443295,True,18
White-tailed deer,ecoregion,Camera surveys,year_beta,0.156582224372235,0.2580241,4.122925123956445,3.08203198582242,5.160177471266358,True,16
White-tailed deer,ecoregion,iNaturalist,total_var_beta,0.186758761106128,0.1873172,3.5602236184495872,2.0656053683651976,5.100767675352902,True,18
Moose,national,Camera surveys,year_beta,-0.120468210887213,0.5309095,-6.195533853571089,-15.293976514531183,2.263538834223211,False,7
Moose,national,iNaturalist,total_var_beta,-0.121027664612162,0.1873172,-2.2415517021413756,-4.163688288288325,-0.4645986303049132,True,18
Moose,ecoregion,Camera surveys,year_beta,-0.109354035040203,0.5309095,-5.6403929724946344,-14.978268233199909,3.068850075610108,False,7
Moose,ecoregion,iNaturalist,total_var_beta,-0.118319679494377,0.1873172,-2.191950936175513,-6.198710439122735,1.6565750479531571,False,18
