"parameter","mean","median","sd","q025","q975","p_negative","n_na","rhat","model"
"theta0",-6.01833832918434,-6.0167786192461,0.102109557884824,-6.21963285944437,-5.82139610206658,1,0,1.00616968897179,"bobcat_v2b_national_scalar"
"theta1",0.612663569128388,0.61228743873273,0.0267744125350857,0.560464513443183,0.665832524237893,0,0,1.00591225347133,"bobcat_v2b_national_scalar"
"theta0",-6.02941462701039,-6.02791454285047,0.102983892742133,-6.23447808334412,-5.83456751936447,1,0,1.00555814639395,"bobcat_v2b_ecoregion"
"theta1",0.614586055370604,0.61397916468415,0.0267885452329713,0.564014079683979,0.668934820138137,0,0,1.00658037160048,"bobcat_v2b_ecoregion"
"theta0",-4.10787739537215,-4.11200455227486,0.0853121331567228,-4.27266396322025,-3.93704914904009,1,0,1.03857192031843,"white-tailed_deer_v2b_national_scalar"
"theta1",0.411521350641632,0.412342244297898,0.015764234811231,0.379660660156294,0.441426635028727,0,0,1.0410551934861,"white-tailed_deer_v2b_national_scalar"
"theta0",-4.09970135192901,-4.10297505205852,0.0841985209739321,-4.25859526261794,-3.92397555129019,1,0,1.01797191388415,"white-tailed_deer_v2b_ecoregion"
"theta1",0.409793738291225,0.410311838297261,0.0156990447128735,0.377211931024209,0.439636001147636,0,0,1.01948517095416,"white-tailed_deer_v2b_ecoregion"
"theta0",-4.00411820609664,-3.99450808878193,0.183363698610384,-4.38226096436776,-3.66851574088778,1,0,1.02986064699876,"moose_v2b_national_scalar"
"theta1",0.528544424997021,0.524939629834579,0.0498407123839487,0.440472031819199,0.631322597785084,0,0,1.02423901414344,"moose_v2b_national_scalar"
"theta0",-3.95393902128214,-3.95074017342335,0.163255344322512,-4.28912210645375,-3.64166591144989,1,0,1.02994405657624,"moose_v2b_ecoregion"
"theta1",0.525638030664218,0.525335541811069,0.0434841540272561,0.443193107443559,0.612043328731503,0,0,1.03563528312386,"moose_v2b_ecoregion"
"theta0",-3.91422809026334,-3.9060510379205,0.157017407141743,-4.24427050709701,-3.62764479948737,1,0,1.01099298030699,"moose_v1fix9_national_scalar"
"theta1",0.471327420596007,0.468156484134565,0.0457362868241478,0.388196260640282,0.567628299747743,0,0,1.01431217212995,"moose_v1fix9_national_scalar"
"theta0",-3.88559052016491,-3.87945398760913,0.148319800678362,-4.19868711073691,-3.60938485589799,1,0,1.02027655939533,"moose_v1fix9_ecoregion"
"theta1",0.466172517013634,0.465995615870455,0.0427638931660374,0.385861339689387,0.556492453663127,0,0,1.06780312770052,"moose_v1fix9_ecoregion"
