cell50,year,species_count,total_mammal_count_same_cell
8,2008,0,1
15,2008,0,2
17,2008,0,3
19,2008,0,1
20,2008,0,5
34,2008,0,1
36,2008,1,2
37,2008,0,3
54,2008,1,7
55,2008,0,20
77,2008,0,1
83,2008,0,3
92,2008,0,4
99,2008,0,1
130,2008,0,1
147,2008,0,7
150,2008,0,3
157,2008,0,5
166,2008,1,3
168,2008,0,1
170,2008,2,4
216,2008,0,4
230,2008,0,1
263,2008,0,1
264,2008,0,2
265,2008,0,1
266,2008,0,2
275,2008,0,4
311,2008,0,2
328,2008,1,2
333,2008,0,1
338,2008,0,2
339,2008,0,6
351,2008,0,1
372,2008,0,4
400,2008,0,1
401,2008,0,2
402,2008,0,1
404,2008,0,1
409,2008,1,1
410,2008,0,4
467,2008,0,1
472,2008,0,1
474,2008,0,1
475,2008,1,5
476,2008,0,6
480,2008,0,1
482,2008,0,2
483,2008,0,4
485,2008,0,1
501,2008,0,1
504,2008,0,1
508,2008,0,1
513,2008,0,1
535,2008,0,2
540,2008,0,1
552,2008,0,4
556,2008,0,1
557,2008,1,3
559,2008,0,1
561,2008,0,1
577,2008,0,1
586,2008,0,23
587,2008,0,11
588,2008,2,4
614,2008,0,1
619,2008,0,1
621,2008,0,1
623,2008,0,1
626,2008,3,19
630,2008,2,4
631,2008,1,1
636,2008,0,4
640,2008,0,1
662,2008,0,2
663,2008,0,2
664,2008,0,35
691,2008,0,1
692,2008,0,1
696,2008,0,1
701,2008,0,1
709,2008,0,1
713,2008,0,1
715,2008,0,25
716,2008,0,3
717,2008,0,1
740,2008,0,1
741,2008,0,1
742,2008,0,2
751,2008,0,3
770,2008,0,1
772,2008,0,1
775,2008,1,4
776,2008,1,1
787,2008,0,4
792,2008,0,14
793,2008,0,1
795,2008,0,1
796,2008,1,12
797,2008,0,1
820,2008,0,9
821,2008,0,7
831,2008,0,1
832,2008,1,2
850,2008,0,2
853,2008,2,14
869,2008,0,1
870,2008,0,3
872,2008,0,1
878,2008,0,1
879,2008,0,2
880,2008,0,3
881,2008,0,1
882,2008,0,1
919,2008,1,23
921,2008,0,3
936,2008,0,1
943,2008,0,1
949,2008,3,8
953,2008,0,4
957,2008,1,2
958,2008,3,9
961,2008,1,4
964,2008,1,2
966,2008,0,1
967,2008,0,1
1005,2008,0,2
1025,2008,0,1
1026,2008,0,1
1027,2008,0,1
1028,2008,0,1
1029,2008,1,3
1030,2008,0,1
1033,2008,0,1
1039,2008,0,1
1042,2008,1,2
1110,2008,0,3
1111,2008,1,7
1112,2008,0,1
1113,2008,0,4
1115,2008,0,3
1116,2008,0,1
1117,2008,11,37
1118,2008,5,19
1119,2008,1,7
1124,2008,0,1
1125,2008,0,1
1130,2008,2,3
1131,2008,1,8
1132,2008,0,1
1133,2008,1,1
1134,2008,0,2
1181,2008,1,1
1195,2008,0,5
1197,2008,0,1
1198,2008,0,2
1199,2008,1,5
1200,2008,1,5
1202,2008,1,6
1203,2008,0,1
1204,2008,1,2
1206,2008,1,3
1214,2008,0,1
1216,2008,0,1
1217,2008,0,22
1270,2008,0,1
1279,2008,1,4
1280,2008,0,2
1285,2008,0,1
1287,2008,2,3
1289,2008,0,2
1290,2008,1,5
1292,2008,0,1
1296,2008,0,2
1300,2008,1,2
1302,2008,0,1
1334,2008,0,1
1355,2008,0,2
1356,2008,0,2
1359,2008,1,1
1360,2008,1,3
1364,2008,1,1
1366,2008,0,1
1368,2008,1,1
1375,2008,2,5
1383,2008,0,2
1385,2008,0,2
1386,2008,0,1
1435,2008,0,1
1458,2008,1,1
1462,2008,0,3
1463,2008,0,1
1468,2008,0,1
1469,2008,0,2
1471,2008,0,1
1530,2008,2,2
1537,2008,0,1
1541,2008,0,1
1546,2008,1,1
1548,2008,0,1
1550,2008,1,4
1551,2008,1,5
1552,2008,1,6
1554,2008,1,1
1555,2008,0,1
1586,2008,0,25
1587,2008,0,2
1604,2008,0,1
1615,2008,0,2
1618,2008,2,3
1623,2008,1,1
1624,2008,0,2
1630,2008,0,2
1633,2008,0,2
1634,2008,2,11
1635,2008,0,4
1636,2008,0,1
1637,2008,0,1
1668,2008,0,5
1669,2008,0,7
1670,2008,0,2
1700,2008,0,1
1704,2008,1,1
1709,2008,0,1
1713,2008,1,3
1715,2008,2,8
1717,2008,0,2
1721,2008,0,3
1782,2008,0,1
1787,2008,1,1
1801,2008,1,1
1803,2008,0,5
1834,2008,0,10
1841,2008,0,1
1850,2008,0,1
1853,2008,0,1
1856,2008,1,2
1880,2008,1,1
1881,2008,0,2
1934,2008,0,2
1940,2008,0,1
1945,2008,1,1
1959,2008,1,2
1962,2008,0,14
1964,2008,0,1
2034,2008,0,1
2040,2008,0,2
2046,2008,0,1
2101,2008,0,1
2108,2008,3,3
2117,2008,0,1
2127,2008,0,3
2177,2008,0,1
2196,2008,0,1
2201,2008,0,1
2202,2008,0,2
2206,2008,0,1
2207,2008,1,2
2238,2008,0,1
2272,2008,0,2
2275,2008,0,1
2279,2008,0,1
2284,2008,3,4
2285,2008,0,3
2319,2008,0,2
2354,2008,0,3
2358,2008,4,4
2360,2008,0,1
2363,2008,0,2
2385,2008,0,1
2386,2008,0,1
2397,2008,0,1
2412,2008,1,1
2419,2008,0,1
2422,2008,0,4
2433,2008,0,1
2436,2008,0,1
2437,2008,0,1
2438,2008,0,1
2441,2008,0,1
2463,2008,0,1
2509,2008,1,2
2524,2008,0,1
2537,2008,0,1
2555,2008,2,5
2577,2008,0,1
2591,2008,0,1
2597,2008,0,3
2614,2008,0,2
2643,2008,0,1
2659,2008,0,1
2661,2008,0,1
2679,2008,0,1
2697,2008,0,7
2700,2008,1,1
2709,2008,1,3
2724,2008,0,1
2729,2008,0,2
2736,2008,0,1
2746,2008,0,1
2751,2008,0,1
2755,2008,0,3
2763,2008,1,1
2772,2008,0,1
2790,2008,0,1
2809,2008,0,14
2810,2008,0,1
2815,2008,0,1
2859,2008,0,1
2862,2008,0,1
2869,2008,0,1
2870,2008,2,9
2871,2008,0,1
2872,2008,0,1
2873,2008,1,9
2895,2008,0,4
2896,2008,0,6
2897,2008,0,2
2927,2008,0,1
2928,2008,0,1
2929,2008,2,7
2967,2008,0,1
2975,2008,0,1
2976,2008,0,2
2983,2008,0,1
2996,2008,0,1
3046,2008,0,1
3047,2008,0,1
3055,2008,0,1
3061,2008,0,3
3064,2008,0,1
3079,2008,0,1
3083,2008,0,2
3087,2008,0,4
3099,2008,1,2
3105,2008,0,1
3109,2008,0,1
3123,2008,0,1
3133,2008,0,1
3137,2008,0,1
3139,2008,0,1
3144,2008,0,4
3145,2008,0,1
3147,2008,0,2
3148,2008,0,1
3151,2008,0,1
3156,2008,0,1
3157,2008,0,1
3162,2008,0,2
3174,2008,0,1
3176,2008,0,1
3185,2008,0,1
3189,2008,0,2
3190,2008,1,2
3191,2008,0,2
3192,2008,1,13
3203,2008,0,2
3209,2008,1,1
3216,2008,0,1
3221,2008,1,9
3226,2008,0,3
3228,2008,1,9
3229,2008,0,1
3232,2008,0,2
3233,2008,0,1
3234,2008,0,1
3235,2008,0,1
3236,2008,0,1
3248,2008,0,1
3249,2008,0,1
3266,2008,0,1
3275,2008,0,1
3276,2008,0,1
3277,2008,0,3
3279,2008,0,2
3289,2008,0,1
3292,2008,0,1
3294,2008,0,1
3295,2008,0,1
3296,2008,1,1
3297,2008,0,1
3305,2008,2,4
3309,2008,1,1
3320,2008,0,1
3322,2008,1,5
3324,2008,0,1
3325,2008,0,2
3334,2008,0,8
3335,2008,0,5
3344,2008,0,1
3345,2008,0,1
3349,2008,2,11
3355,2008,0,1
3356,2008,0,12
3357,2008,0,6
3358,2008,0,2
28,2009,0,1
36,2009,0,1
37,2009,1,10
51,2009,0,1
54,2009,0,3
55,2009,0,20
59,2009,0,2
77,2009,0,1
81,2009,0,1
83,2009,0,1
92,2009,1,6
100,2009,0,2
116,2009,0,1
117,2009,1,2
120,2009,1,2
141,2009,0,1
144,2009,0,1
157,2009,0,1
164,2009,0,1
167,2009,1,1
170,2009,0,4
173,2009,0,1
206,2009,0,1
207,2009,0,1
216,2009,0,2
225,2009,0,1
226,2009,0,1
233,2009,0,1
255,2009,0,1
257,2009,1,1
263,2009,0,1
265,2009,0,1
266,2009,0,5
275,2009,0,2
293,2009,0,1
309,2009,0,1
339,2009,1,4
356,2009,0,2
373,2009,0,17
383,2009,0,1
385,2009,0,2
389,2009,0,4
396,2009,0,1
400,2009,0,4
401,2009,0,9
402,2009,0,3
403,2009,0,2
407,2009,0,1
408,2009,0,1
409,2009,0,2
441,2009,0,1
449,2009,0,1
455,2009,0,1
462,2009,0,1
467,2009,0,1
469,2009,3,5
471,2009,0,1
472,2009,0,2
473,2009,0,1
474,2009,1,2
475,2009,1,10
476,2009,0,4
479,2009,0,1
482,2009,0,5
483,2009,0,2
508,2009,0,1
535,2009,0,1
536,2009,0,1
547,2009,0,2
550,2009,0,3
552,2009,1,3
553,2009,1,2
554,2009,0,2
555,2009,0,4
556,2009,1,4
557,2009,1,3
559,2009,0,3
561,2009,0,5
585,2009,0,1
586,2009,0,31
587,2009,0,7
588,2009,0,2
614,2009,0,2
615,2009,0,1
619,2009,0,1
620,2009,0,2
626,2009,1,11
631,2009,1,2
632,2009,0,1
633,2009,0,2
636,2009,0,2
