cell100,count,x100,y100,xi,yi,in_iucn,in_expanded,in_presence
1,0,-1975000,3210000,-20,32,FALSE,FALSE,FALSE
3,0,-2075000,3110000,-21,31,FALSE,FALSE,FALSE
4,0,-1975000,3110000,-20,31,FALSE,FALSE,FALSE
5,0,-1875000,3110000,-19,31,TRUE,TRUE,FALSE
6,13,-1775000,3110000,-18,31,TRUE,TRUE,TRUE
7,46,-1675000,3110000,-17,31,TRUE,TRUE,TRUE
8,14,-1575000,3110000,-16,31,TRUE,TRUE,TRUE
10,0,-2075000,3010000,-21,30,FALSE,FALSE,FALSE
11,0,-1975000,3010000,-20,30,FALSE,FALSE,FALSE
16,89,-1475000,3010000,-15,30,TRUE,TRUE,TRUE
17,150,-1375000,3010000,-14,30,TRUE,TRUE,TRUE
18,191,-1275000,3010000,-13,30,TRUE,TRUE,TRUE
12,0,-1875000,3010000,-19,30,TRUE,TRUE,FALSE
19,0,-1175000,3010000,-12,30,TRUE,TRUE,FALSE
26,0,-1975000,2910000,-20,29,TRUE,TRUE,FALSE
27,0,-1875000,2910000,-19,29,TRUE,TRUE,FALSE
30,284,-1575000,2910000,-16,29,TRUE,TRUE,TRUE
33,2,-1275000,2910000,-13,29,TRUE,TRUE,TRUE
37,17,-875000,2910000,-9,29,TRUE,TRUE,TRUE
39,0,-675000,2910000,-7,29,TRUE,TRUE,FALSE
47,6,125000,2910000,1,29,TRUE,TRUE,TRUE
24,0,-2175000,2910000,-22,29,FALSE,FALSE,FALSE
25,0,-2075000,2910000,-21,29,TRUE,TRUE,FALSE
28,0,-1775000,2910000,-18,29,TRUE,TRUE,FALSE
46,17,25000,2910000,0,29,TRUE,TRUE,TRUE
48,3,1925000,2910000,19,29,TRUE,TRUE,TRUE
51,0,-2175000,2810000,-22,28,FALSE,FALSE,FALSE
52,3,-2075000,2810000,-21,28,TRUE,TRUE,TRUE
57,117,-1575000,2810000,-16,28,TRUE,TRUE,TRUE
