cell50,n,x50,y50,in_range
1,0,-1950000,3185000,FALSE
2,0,-2100000,3135000,FALSE
3,0,-2000000,3135000,FALSE
4,0,-1950000,3135000,FALSE
5,0,-1900000,3135000,TRUE
6,0,-1850000,3135000,TRUE
7,0,-1800000,3135000,TRUE
8,4,-1750000,3135000,TRUE
9,0,-2100000,3085000,FALSE
10,0,-2050000,3085000,FALSE
11,0,-2000000,3085000,FALSE
12,0,-1950000,3085000,FALSE
13,0,-1900000,3085000,TRUE
14,0,-1850000,3085000,TRUE
15,2,-1800000,3085000,TRUE
16,7,-1750000,3085000,TRUE
17,18,-1700000,3085000,TRUE
18,28,-1650000,3085000,TRUE
19,11,-1600000,3085000,TRUE
20,3,-1550000,3085000,TRUE
21,0,-2100000,3035000,FALSE
22,0,-2050000,3035000,FALSE
23,0,-2000000,3035000,FALSE
24,0,-1950000,3035000,FALSE
25,0,-1900000,3035000,TRUE
26,0,-1850000,3035000,TRUE
27,5,-1800000,3035000,TRUE
28,1,-1750000,3035000,TRUE
29,1,-1700000,3035000,TRUE
30,3,-1650000,3035000,TRUE
31,22,-1600000,3035000,TRUE
32,16,-1550000,3035000,TRUE
33,37,-1500000,3035000,TRUE
34,4,-1450000,3035000,TRUE
35,21,-1400000,3035000,TRUE
36,16,-1350000,3035000,TRUE
37,80,-1300000,3035000,TRUE
38,0,2100000,3035000,TRUE
39,0,-2100000,2985000,TRUE
40,0,-2050000,2985000,FALSE
41,0,-2000000,2985000,FALSE
42,0,-1950000,2985000,TRUE
43,0,-1900000,2985000,TRUE
44,0,-1850000,2985000,TRUE
45,0,-1800000,2985000,TRUE
46,0,-1750000,2985000,TRUE
47,0,-1700000,2985000,TRUE
48,5,-1650000,2985000,TRUE
49,56,-1600000,2985000,TRUE
50,25,-1550000,2985000,TRUE
51,43,-1500000,2985000,TRUE
52,5,-1450000,2985000,TRUE
53,8,-1400000,2985000,TRUE
54,105,-1350000,2985000,TRUE
55,110,-1300000,2985000,TRUE
56,1,-1250000,2985000,TRUE
57,0,-1200000,2985000,TRUE
58,0,-1150000,2985000,TRUE
59,1,-1100000,2985000,TRUE
60,2,-1050000,2985000,TRUE
61,0,-1000000,2985000,TRUE
62,0,2000000,2985000,TRUE
63,3,2050000,2985000,TRUE
64,7,2100000,2985000,TRUE
65,6,2150000,2985000,TRUE
66,0,-2150000,2935000,TRUE
67,0,-2100000,2935000,TRUE
68,0,-2050000,2935000,TRUE
69,0,-2000000,2935000,TRUE
70,0,-1950000,2935000,TRUE
71,0,-1900000,2935000,TRUE
72,0,-1850000,2935000,TRUE
73,0,-1800000,2935000,TRUE
74,0,-1750000,2935000,TRUE
75,0,-1700000,2935000,TRUE
76,9,-1650000,2935000,TRUE
77,143,-1600000,2935000,TRUE
78,98,-1550000,2935000,TRUE
79,97,-1500000,2935000,TRUE
80,5,-1450000,2935000,TRUE
81,6,-1400000,2935000,TRUE
82,172,-1350000,2935000,TRUE
83,1,-1300000,2935000,TRUE
84,1,-1250000,2935000,TRUE
85,0,-1200000,2935000,TRUE
86,0,-1150000,2935000,TRUE
87,0,-1100000,2935000,TRUE
88,0,-1050000,2935000,TRUE
89,0,-1000000,2935000,TRUE
90,0,-950000,2935000,TRUE
91,0,-900000,2935000,TRUE
92,16,-850000,2935000,TRUE
93,6,-800000,2935000,TRUE
94,1,-750000,2935000,TRUE
95,0,-700000,2935000,TRUE
96,0,-650000,2935000,TRUE
97,0,-600000,2935000,TRUE
98,3,50000,2935000,TRUE
99,2,100000,2935000,TRUE
100,2,2000000,2935000,TRUE
101,4,2050000,2935000,TRUE
102,8,2100000,2935000,TRUE
103,7,2150000,2935000,TRUE
104,0,-2150000,2885000,TRUE
105,0,-2100000,2885000,TRUE
106,0,-2050000,2885000,TRUE
107,0,-2000000,2885000,TRUE
108,0,-1950000,2885000,TRUE
109,0,-1900000,2885000,TRUE
110,0,-1850000,2885000,TRUE
111,0,-1800000,2885000,TRUE
112,0,-1750000,2885000,TRUE
113,0,-1700000,2885000,TRUE
114,3,-1650000,2885000,TRUE
115,12,-1600000,2885000,TRUE
116,31,-1550000,2885000,TRUE
117,2,-1500000,2885000,TRUE
118,16,-1450000,2885000,TRUE
119,35,-1400000,2885000,TRUE
120,46,-1350000,2885000,TRUE
121,0,-1300000,2885000,TRUE
122,0,-1250000,2885000,TRUE
123,13,-1200000,2885000,TRUE
124,0,-1150000,2885000,TRUE
125,0,-1100000,2885000,TRUE
126,0,-1050000,2885000,TRUE
127,0,-1000000,2885000,TRUE
128,0,-950000,2885000,TRUE
129,0,-900000,2885000,TRUE
130,1,-850000,2885000,TRUE
131,0,-800000,2885000,TRUE
132,1,-750000,2885000,TRUE
133,0,-700000,2885000,TRUE
134,0,-650000,2885000,TRUE
135,0,-600000,2885000,TRUE
136,0,-550000,2885000,TRUE
137,1,-500000,2885000,TRUE
138,1,-450000,2885000,TRUE
139,9,-400000,2885000,TRUE
140,0,-350000,2885000,TRUE
141,1,-300000,2885000,TRUE
142,0,-250000,2885000,TRUE
144,0,-150000,2885000,TRUE
145,1,-100000,2885000,TRUE
146,6,-50000,2885000,TRUE
147,6,0,2885000,TRUE
148,8,50000,2885000,TRUE
149,4,100000,2885000,TRUE
150,3,1950000,2885000,TRUE
151,0,2000000,2885000,TRUE
152,5,2050000,2885000,TRUE
153,9,2100000,2885000,TRUE
154,5,2150000,2885000,TRUE
155,0,-2150000,2835000,TRUE
156,0,-2100000,2835000,TRUE
157,3,-2050000,2835000,TRUE
158,0,-2000000,2835000,TRUE
159,0,-1950000,2835000,TRUE
160,0,-1900000,2835000,TRUE
161,0,-1850000,2835000,TRUE
162,0,-1800000,2835000,TRUE
163,0,-1750000,2835000,TRUE
164,1,-1700000,2835000,TRUE
165,2,-1650000,2835000,TRUE
166,94,-1600000,2835000,TRUE
167,9,-1550000,2835000,TRUE
168,1,-1500000,2835000,TRUE
169,8,-1450000,2835000,TRUE
170,30,-1400000,2835000,TRUE
171,52,-1350000,2835000,TRUE
172,2,-1300000,2835000,TRUE
173,3,-1250000,2835000,TRUE
174,0,-1200000,2835000,TRUE
175,6,-1150000,2835000,TRUE
176,0,-1100000,2835000,TRUE
177,2,-1050000,2835000,TRUE
178,0,-1000000,2835000,TRUE
179,0,-950000,2835000,TRUE
180,0,-900000,2835000,TRUE
181,0,-850000,2835000,TRUE
182,3,-800000,2835000,TRUE
183,0,-750000,2835000,TRUE
184,0,-700000,2835000,TRUE
185,0,-650000,2835000,TRUE
186,0,-600000,2835000,TRUE
187,0,-550000,2835000,TRUE
188,1,-500000,2835000,TRUE
189,1,-450000,2835000,TRUE
190,14,-400000,2835000,TRUE
191,1,-350000,2835000,TRUE
192,1,-300000,2835000,TRUE
193,0,-250000,2835000,TRUE
194,0,-200000,2835000,TRUE
195,1,-150000,2835000,TRUE
196,0,-100000,2835000,TRUE
197,5,-50000,2835000,TRUE
198,7,0,2835000,TRUE
199,0,50000,2835000,TRUE
200,3,100000,2835000,TRUE
201,14,150000,2835000,TRUE
202,36,200000,2835000,TRUE
